group,status_rep,status_raw,mode_rep,mode_raw,W_line_repaired_um,W_line_raw_um,D_line_repaired_um,D_line_raw_um,sigma_W_rep,sigma_W_raw,sigma_D_rep,sigma_D_raw,D_max_rep_um,D_max_raw_um,delta_D_um,delta_W_um,rel_D_pct,rel_W_pct,N_cones_repaired,max_cone_correction_um
13,ok,ok,continuous,continuous,12.355226395243193,12.406927834375441,14.157416473491914,14.248300770903903,0.48700279038611455,0.4710437844191288,0.5209803118676254,0.6306584160787229,16.628292443427874,16.02490613522847,0.0909,0.0517,0.64,0.42,25,13.454053596346247
19,ok,ok,continuous,continuous,10.668577887527215,10.782265985247818,12.015817554408267,14.02552495089416,0.5611326465648493,0.527799045859045,2.119816347267311,2.7717068827197844,22.217657707592597,23.42647295119409,2.0097,0.1137,16.73,1.07,40,16.6175961391582
33,ok,ok,continuous,continuous,7.042298516985525,7.037826031040417,4.1160331667767105,4.160017807713084,0.7567182496629346,0.7156930692938512,0.26843017576132394,0.2968463512898871,5.740780911530961,5.740406324196965,0.044,-0.0045,1.07,-0.06,8,7.779855257744534
34,ok,ok,continuous,continuous,8.174824188121331,8.181477713146627,4.6875894495544275,5.357987118736026,0.782074859963556,0.8298791993435676,1.3778882056628947,1.4331098646018148,8.303817220134402,10.000309730356959,0.6704,0.0067,14.3,0.08,21,5.447058767351327
43,ok,ok,continuous,continuous,7.084013188079652,7.086319018765682,4.850861568244857,5.949562665400859,0.6836029804613855,0.781940857578088,2.5125011648224667,3.957744943865849,12.958908266093607,14.12749848895342,1.0987,0.0023,22.65,0.03,21,9.027059130756307
44,ok,ok,continuous,continuous,4.877285799088714,5.164163789551541,2.2397368756027967,2.863471872224968,1.4345758174994647,1.0942739154215275,1.0216341951375938,0.856642031010773,5.145669244133927,5.147975387641909,0.6237,0.2869,27.85,5.88,19,5.443739073261474
48,ok,ok,continuous,continuous,6.918960685437124,6.875988252980317,2.672420566666619,3.628566302457929,0.9321498225725968,0.9719662183960387,1.4869599137282594,2.751075417863776,11.363067902514642,12.710855657832887,0.9561,-0.043,35.78,-0.62,22,12.073950862778288
51,ok,ok,continuous,continuous,7.518035264355875,7.5045230183420895,4.0935458641873215,4.111338877694543,0.6058516206897504,0.6458261081965634,0.25213346602978154,0.2517401017703849,5.126169618329734,5.126274599531901,0.0178,-0.0135,0.43,-0.18,11,7.348565890040733
60,ok,ok,discrete,discrete,4.99010159220042,3.053224328101621,2.127267242970153,2.0188431403857856,0.0,0.0,0.0,0.0,2.454921850388116,2.1610726346216076,-0.1084,-1.9369,-5.1,-38.81,3,7.514515747380163
68,ok,ok,continuous,continuous,11.217828121918053,11.279762848858958,7.859544268005702,8.042855045767986,0.5943150736444822,0.5672313334710115,0.8286605289678486,0.7185452209409364,10.241711626021692,10.050543478844148,0.1833,0.0619,2.33,0.55,20,8.768250678995907
94,ok,ok,continuous,continuous,8.050618991407696,8.100936166515847,7.2165381946645795,8.8109770356088,0.46236624064662835,0.39566673628116045,2.1095048947780044,2.0809572640512926,16.667236534112654,16.666195484796134,1.5944,0.0503,22.09,0.63,28,8.517988681407537
95,ok,ok,continuous,continuous,5.152190121806504,5.163138193375422,2.66496438077745,2.695078128326422,0.6977875040233418,0.6933608006837321,0.3034766408704775,0.3561014952637824,3.938621070665776,4.335178810147896,0.0301,0.0109,1.13,0.21,9,4.5424474313189585
101,ok,ok,continuous,continuous,8.783854419443294,8.827945542730111,9.674450918751011,10.681780916313127,0.6306090952881798,0.5437056253333965,2.9081637106025306,1.8959841294200772,18.7847565905718,18.7797678910196,1.0073,0.0441,10.41,0.5,24,10.237838199586315
104,ok,ok,continuous,continuous,7.676357532770906,7.6931692672977325,10.788408320332742,10.852761236532196,0.4724915961620814,0.5233298803533937,0.477549538185139,0.5261990885416717,12.360116270633048,12.36102602862093,0.0644,0.0168,0.6,0.22,15,12.54136704527895
116,ok,ok,continuous,continuous,10.213003812241855,10.15348803340052,15.083833382668466,15.174628134261628,0.5600751042617056,0.5348261423575822,0.5337354133803737,0.6107396982844652,17.014377253167297,17.092451612145457,0.0908,-0.0595,0.6,-0.58,24,6.480712820718867
