outer_fold,model_id,family,selected_alpha,inner_risk
0,B0,Ridge,0.001,419.0466537770781
0,BQ,Ridge,0.1,306.4647120111518
0,BU,Ridge,1.0,86.87674218957905
0,BA,Ridge,0.1,363.0803434419069
0,BP,Ridge,1.0,218.91085747105294
0,BPE,Ridge,1.0,235.97750341490348
0,BG,Ridge,100.0,391.94842512260374
0,BT,Ridge,0.1,332.3588655031973
0,BM,Ridge,10.0,239.69404530643428
0,BUM,Ridge,10.0,89.16438870858396
0,B0,GAM,0.001,419.0466537770781
0,BQ,GAM,0.001,305.0989173780592
0,BU,GAM,0.1,96.03170260294617
0,BA,GAM,10.0,381.60878067601885
0,BP,GAM,0.1,238.26270166361633
0,BPE,GAM,0.01,266.92223537650784
0,BG,GAM,1.0,294.05083478107593
0,BT,GAM,0.01,354.5452901821709
0,BM,GAM,10.0,263.75509756325647
0,BUM,GAM,1.0,122.93738051426777
1,B0,Ridge,0.001,427.67019230546686
1,BQ,Ridge,1.0,313.1034978894573
1,BU,Ridge,1.0,93.09470510830901
1,BA,Ridge,100.0,377.91986538843236
1,BP,Ridge,0.1,239.74705536600922
1,BPE,Ridge,1.0,249.92030265693347
1,BG,Ridge,100.0,387.7216485317897
1,BT,Ridge,0.1,321.94657684250615
1,BM,Ridge,10.0,259.75200344566116
1,BUM,Ridge,10.0,106.45974130967586
1,B0,GAM,0.001,427.67019230546686
1,BQ,GAM,1.0,320.3112648496717
1,BU,GAM,0.1,99.40345476255766
1,BA,GAM,1.0,336.47814803152943
1,BP,GAM,1.0,267.7753070219979
1,BPE,GAM,0.001,246.86615942040387
1,BG,GAM,1.0,328.6941633509907
1,BT,GAM,0.01,335.84034059735444
1,BM,GAM,1.0,257.6911395603814
1,BUM,GAM,1.0,121.56659805561996
2,B0,Ridge,0.001,411.6190755016857
2,BQ,Ridge,1.0,286.4134727755109
2,BU,Ridge,10.0,94.67505840100138
2,BA,Ridge,100.0,388.5773711839506
2,BP,Ridge,1.0,229.51384456291103
2,BPE,Ridge,1.0,240.1874134560022
2,BG,Ridge,100.0,383.83198166295506
2,BT,Ridge,1.0,327.08265457176276
2,BM,Ridge,10.0,241.37746888813138
2,BUM,Ridge,10.0,106.42702309584301
2,B0,GAM,0.001,411.6190755016857
2,BQ,GAM,0.1,304.96656210249546
2,BU,GAM,0.1,92.86690035794054
2,BA,GAM,1.0,370.02248371790523
2,BP,GAM,1.0,246.33043338468744
2,BPE,GAM,0.1,251.53627131948807
2,BG,GAM,0.01,289.13351005182244
2,BT,GAM,1.0,349.2479014562123
2,BM,GAM,10.0,265.74408075537644
2,BUM,GAM,1.0,114.43301786784245
3,B0,Ridge,0.001,434.6474365274925
3,BQ,Ridge,1.0,290.6828843814337
3,BU,Ridge,10.0,92.79955940150603
3,BA,Ridge,0.001,358.03789979480865
3,BP,Ridge,1.0,227.320626909989
3,BPE,Ridge,1.0,229.22038637896813
3,BG,Ridge,10.0,384.63853151289845
3,BT,Ridge,0.1,315.60022107467415
3,BM,Ridge,10.0,248.61301834043186
3,BUM,Ridge,10.0,98.02944511945633
3,B0,GAM,0.001,434.6474365274925
3,BQ,GAM,0.1,285.26127193424645
3,BU,GAM,0.1,93.01440779547227
3,BA,GAM,1.0,329.62138234493915
3,BP,GAM,1.0,248.31819372791287
3,BPE,GAM,0.1,243.20148266258386
3,BG,GAM,0.1,276.79948907293146
3,BT,GAM,0.001,325.7491372363224
3,BM,GAM,10.0,255.8567297311922
3,BUM,GAM,1.0,105.76080487099135
4,B0,Ridge,0.001,409.2496816894938
4,BQ,Ridge,1.0,253.59982467497275
4,BU,Ridge,1.0,64.68116986945329
4,BA,Ridge,0.001,367.9984939477711
4,BP,Ridge,0.001,198.15146699167485
4,BPE,Ridge,1.0,213.7395743313928
4,BG,Ridge,10.0,341.8243059074416
4,BT,Ridge,0.01,277.056581660369
4,BM,Ridge,1.0,202.18838663814188
4,BUM,Ridge,10.0,72.06506675715133
4,B0,GAM,0.001,409.2496816894938
4,BQ,GAM,0.001,241.36502205133425
4,BU,GAM,0.001,53.76454720280083
4,BA,GAM,1.0,347.03842559588384
4,BP,GAM,0.1,214.57640098226395
4,BPE,GAM,0.1,243.27948962376038
4,BG,GAM,0.1,260.287358999053
4,BT,GAM,0.001,295.63250078811274
4,BM,GAM,1.0,236.13263865238332
4,BUM,GAM,1.0,80.274174115886
