model_id,family,session_role,MAE_um,n_rows,n_components
B0,GAM,formal,19.30709086318037,120,111
B0,GAM,pass_main,16.03710902134369,60,15
BA,GAM,formal,16.754114540961165,120,111
BA,GAM,pass_main,15.909942626785883,60,15
BG,GAM,formal,14.001848114307302,120,111
BG,GAM,pass_main,14.637965834514294,60,15
BM,GAM,formal,13.057041869510638,120,111
BM,GAM,pass_main,11.885701477637317,60,15
BP,GAM,formal,12.400357171061119,120,111
BP,GAM,pass_main,11.551160754552923,60,15
BPE,GAM,formal,13.328498373027864,120,111
BPE,GAM,pass_main,12.311543902892398,60,15
BQ,GAM,formal,14.884757918443189,120,111
BQ,GAM,pass_main,12.978517050429396,60,15
BT,GAM,formal,16.339301298380025,120,111
BT,GAM,pass_main,14.837334590451572,60,15
BU,GAM,formal,6.549845900154326,120,111
BU,GAM,pass_main,6.095395569364849,60,15
BUM,GAM,formal,7.94574260929351,120,111
BUM,GAM,pass_main,7.464932633170987,60,15
B0,Ridge,formal,19.30709086318037,120,111
B0,Ridge,pass_main,16.03710902134369,60,15
BA,Ridge,formal,17.70416163074056,120,111
BA,Ridge,pass_main,15.259227456875731,60,15
BG,Ridge,formal,18.569688751627403,120,111
BG,Ridge,pass_main,17.172021948754622,60,15
BM,Ridge,formal,12.389815883998727,120,111
BM,Ridge,pass_main,11.303398980583856,60,15
BP,Ridge,formal,12.025095796435528,120,111
BP,Ridge,pass_main,11.69536244122704,60,15
BPE,Ridge,formal,12.295850689113953,120,111
BPE,Ridge,pass_main,12.20000187719614,60,15
BQ,Ridge,formal,14.938662971643076,120,111
BQ,Ridge,pass_main,12.340792964309923,60,15
BT,Ridge,formal,15.712241624807746,120,111
BT,Ridge,pass_main,14.951505353467924,60,15
BU,Ridge,formal,7.136436502656196,120,111
BU,Ridge,pass_main,5.303282236285082,60,15
BUM,Ridge,formal,7.485147914312711,120,111
BUM,Ridge,pass_main,5.858252331190512,60,15
