model_id,family,MAE_um,RMSE_um,component_balanced_Q2,risk_MSE_um2,coverage,n_components
BU,GAM,6.527572492943998,8.386107846686468,0.8394497461526969,70.32680481625636,180,126
BU,Ridge,7.002263763797176,9.088676562995731,0.8114218342058961,82.60404166674789,180,126
INTERACTION,Ridge,7.056655863567769,8.983527645529696,0.8157599989578179,80.70376895799633,180,126
RESIDUAL_M|U,GAM,6.4578872520992725,8.348841159418253,0.8408735012515631,69.70314870519633,180,126
RESIDUAL_M|U,Ridge,6.886649239706856,9.003717010710208,0.814930955272864,81.06692000895237,180,126
U+A,GAM,7.417094390945966,9.060044506833554,0.8126081182072434,82.08440646580485,180,126
U+A,Ridge,7.057527094651959,9.048896980537169,0.8130689704243095,81.8825365643747,180,126
U+G,GAM,7.164846954887363,8.985230652728138,0.815690139588463,80.73436988272533,180,126
U+G,Ridge,7.058805274220145,9.095978778708783,0.8111186896016296,82.73682994272052,180,126
U+P,GAM,7.160398674833279,9.090413519056487,0.8113497481798821,82.63561794744494,180,126
U+P,Ridge,7.192253666190844,9.282509969218491,0.8032924819105932,86.16499132864067,180,126
U+PE,GAM,7.255985992834585,9.049771771701458,0.8130328260151785,81.89836911988455,180,126
U+PE,Ridge,7.22350339988862,9.19067611582723,0.8071653679957125,84.46852746603712,180,126
U+T,GAM,7.193036952400435,9.096846227714245,0.8110826620950852,82.75261129067889,180,126
U+T,Ridge,7.058614775148526,9.082877388707468,0.8116624080120288,82.4986616582934,180,126
UTREE,ExtraTrees,5.419284769979129,7.110236777698425,0.8845860680428409,50.55546703493528,180,126
