model_id,family,delta_MAE_um_vs_BU,delta_RMSE_um_vs_BU,delta_risk_MSE_um2_vs_BU,interpretation
INTERACTION,Ridge,0.05439209977059356,-0.10514891746603539,-1.900272708751558,negative favors this model
RESIDUAL_M|U,GAM,-0.06968524084472527,-0.03726668726821458,-0.6236561110600292,negative favors this model
RESIDUAL_M|U,Ridge,-0.11561452409031947,-0.08495955228552354,-1.5371216577955238,negative favors this model
U+A,GAM,0.8895218980019681,0.6739366601470866,11.75760164954849,positive favors BU
U+A,Ridge,0.055263330854782744,-0.0397795824585625,-0.721505102373186,negative favors this model
U+G,GAM,0.637274461943365,0.5991228060416702,10.407565066468976,positive favors BU
U+G,Ridge,0.056541510422968955,0.007302215713052007,0.13278827597262932,positive favors BU
U+P,GAM,0.6328261818892811,0.704305672370019,12.308813131188586,positive favors BU
U+P,Ridge,0.18998990239366798,0.19383340622276002,3.560949661892778,positive favors BU
U+PE,GAM,0.7284134998905873,0.6636639250149905,11.571564303628193,positive favors BU
U+PE,Ridge,0.22123963609144415,0.10199955283149897,1.864485799289227,positive favors BU
U+T,GAM,0.6654644594564374,0.7107383810277774,12.42580647442253,positive favors BU
U+T,Ridge,0.056351011351350344,-0.005799174288263487,-0.10538000845448892,negative favors this model
