model_id,family,session_role,MAE_um,RMSE_um,n_rows,n_components
BU,GAM,formal,6.549845900154326,8.516384866294835,120,111
BU,GAM,pass_main,6.095395569364849,7.0830402587683885,60,15
BU,Ridge,formal,7.136436502656196,9.290088539808984,120,111
BU,Ridge,pass_main,5.303282236285082,6.355867088030721,60,15
INTERACTION,Ridge,formal,7.25622405471991,9.109598678502671,120,111
INTERACTION,Ridge,pass_main,5.394957024899935,7.758413172501031,60,15
RESIDUAL_M|U,GAM,formal,6.53163800159994,8.522835951765417,120,111
RESIDUAL_M|U,GAM,pass_main,6.008091335957692,6.9734251235165825,60,15
RESIDUAL_M|U,Ridge,formal,7.047404140677858,9.215265552005699,120,111
RESIDUAL_M|U,Ridge,pass_main,5.230958925924797,6.39005288145288,60,15
U+A,GAM,formal,7.453030407935313,9.100660543390026,120,111
U+A,GAM,pass_main,6.689180189599258,8.1826934435313,60,15
U+A,Ridge,formal,7.234039665273826,9.25705347787225,120,111
U+A,Ridge,pass_main,5.302003655007058,6.378627361647243,60,15
U+G,GAM,formal,7.298440410224549,9.18726445565996,120,111
U+G,GAM,pass_main,6.205695145172384,7.306870656212717,60,15
U+G,Ridge,formal,7.14025730353912,9.249600481170326,120,111
U+G,Ridge,pass_main,5.721177639375955,6.841036637038762,60,15
U+P,GAM,formal,7.205144381246978,9.143062071916669,120,111
U+P,GAM,pass_main,6.287153775164214,8.298276499290711,60,15
U+P,Ridge,formal,7.381449864643049,9.494393559203113,120,111
U+P,Ridge,pass_main,5.618346376070395,6.847733019157316,60,15
U+PE,GAM,formal,7.351644453511025,9.191392166744693,120,111
U+PE,GAM,pass_main,6.679933678367318,8.118436934144603,60,15
U+PE,Ridge,formal,7.358792231341768,9.3625608427422,120,111
U+PE,Ridge,pass_main,5.772991343100561,7.056842542069508,60,15
U+T,GAM,formal,7.328496402071819,9.360151895977761,120,111
U+T,GAM,pass_main,6.188650255415966,7.487249912347788,60,15
U+T,Ridge,formal,7.259179505293522,9.33718234230326,120,111
U+T,Ridge,pass_main,5.283426589124229,6.314859386968133,60,15
UTREE,ExtraTrees,formal,5.447228338183728,7.429470547600214,120,111
UTREE,ExtraTrees,pass_main,5.722541667460454,6.621161927755569,60,15
