加工顺序,s_um,depth_p95_um,width_um,included_in_stable_region
1,-100,1.380208908,2.099143199,0
1,-99,2.135570563,2.979022174,0
1,-98,2.467171593,3.258570921,0
1,-97,1.498053373,7.364615481,0
1,-96,1.591046874,7.703461875,0
1,-95,1.620126238,9.191953087,0
1,-94,1.988355773,8.924767538,0
1,-93,2.210434238,8.003037697,0
1,-92,2.321822068,8.459679215,0
1,-91,2.799623028,9.480624522,0
1,-90,3.205890671,9.524066942,0
1,-89,3.221093823,9.285662818,0
1,-88,4.117661622,9.030156094,0
1,-87,7.327562229,8.919344783,0
1,-86,12.18066441,9.008660243,0
1,-85,11.03239302,9.194841378,0
1,-84,11.22246336,9.446014994,0
1,-83,11.34015157,9.611725349,0
1,-82,11.21570631,10.443537,0
1,-81,10.92818201,10.49406957,0
1,-80,10.09532788,10.30162798,0
1,-79,9.841472721,9.636184795,0
1,-78,9.673631025,9.198172094,0
1,-77,9.474781302,8.49037067,0
1,-76,9.126920707,8.772730843,0
1,-75,8.453169187,9.357665009,0
1,-74,8.247905589,8.921089535,0
1,-73,7.762265252,9.785217211,0
1,-72,7.864967864,9.36623166,0
1,-71,7.534643938,9.210252823,0
1,-70,7.106813036,9.093506626,0
1,-69,7.116068784,9.107333939,0
1,-68,6.846951723,8.953029715,0
1,-67,6.908978796,9.015799001,0
1,-66,6.774865922,9.337399473,0
1,-65,6.641367104,9.133776845,0
1,-64,6.646806413,9.774133208,0
1,-63,6.579322517,10.00591275,0
1,-62,6.683854035,10.1655912,0
1,-61,7.055585082,9.413997571,0
1,-60,7.204302486,9.304964871,0
1,-59,6.323056438,9.751236516,0
1,-58,5.91857308,9.383295041,0
1,-57,5.762641914,9.567153049,0
1,-56,5.653583796,9.80429122,0
1,-55,5.307648259,9.459592628,0
1,-54,5.199026802,9.173464683,0
1,-53,5.635730747,8.530636013,1
1,-52,5.664141231,8.232182289,1
1,-51,5.370061539,8.17810715,1
1,-50,5.189051686,10.53580119,1
1,-49,5.30330685,9.601180733,1
1,-48,5.353417887,9.233389601,1
1,-47,5.292558992,9.318526321,1
1,-46,5.314199704,9.10095119,1
1,-45,5.195652777,9.038644233,1
1,-44,4.983070777,8.636996073,1
1,-43,5.042234394,8.571671192,1
1,-42,5.012370772,8.72628199,1
1,-41,5.028529128,8.562696803,1
1,-40,4.97936921,8.175328802,1
1,-39,5.508738288,7.630101001,1
1,-38,5.443899113,7.800429144,1
1,-37,5.040387898,7.97193686,1
1,-36,4.810927234,8.723847991,1
1,-35,4.757182677,8.923329711,1
1,-34,4.788224348,8.643731741,1
