dataset_index,component_id,outer_fold,inner_fold
0,4db5fedaca3a9977a840ef0a14e0a347ebf06f58add282691f9764d395c85c56,0,0
1,4158b4ed1d621be17c0f4c7cd25cc4fd5fe8c20a14d93a2ba34e39f37e99b6f2,0,1
2,b37df1aed4968aa8eb3314a64c3014ae9750b8208c938b6c286132a05cb70c01,0,0
4,20caa3962d19a1c914fd7e4ad138c3326e95fec7d73688d1d6b577885be05ce6,0,1
6,59ab2c8a76e6cea570ab2bdbab7ec1c6b4a24bf5487ed181e33d3819c2dcf2f6,0,2
7,b81f1a89267dc027a918d7fdd21883843b646707941bd3c6b1588ddfa55e2354,0,1
9,7374ab8bcdc516fd8ff63f4e609f73f9064a59eb0114fa48fdd2554679d9a876,0,1
10,cb9be340a74e68176b7e3bd98e6f419817eaebc6abb8ea912bdbf7a5c5c10579,0,2
11,96862a41ec960ce1e9ac06b48dad2308ccd05ed8299c6010ee55bc2d7729a83b,0,2
12,0ab16dbb0eafab9ea903793e46df86153f53035cd04d0ae8f2ae7b57a528fb9c,0,1
13,f53192358bead2012e60074318af5f16d7b1dd6ebc9b1930f8b56ed817ac2f20,0,0
14,5d358d88eb01d2343e2814639067c269c27e39a1913ae399dbdce8aae7ccfc5a,0,1
15,8320198d6b750dba772a0e6acbad0f0e283bed44595fb3a4adb50c6d6af03770,0,2
16,87f152dade804f5b19b9d4681d676dc2747996a88f5f39ce329846617e1222ea,0,0
17,26611906f033b61bf220bf93ad35552a42e2ec4d6d54372da30f5a0f3bb7deec,0,0
18,02495b203f4e92e4d84d061078678dfd5ea9465249cd1858a9b84e7b7ffaaf24,0,1
20,59923924a2a32b66894219e86e1fbcbbad735ec10b54c5d10adf485dddfe540f,0,1
21,3e82fb2a6944aaa8f9f1da3121bc0805ed614903c8e64509a2e7f66c19e70db5,0,0
22,8fd7101200e3b1cb67e396805be6ff4533f7aa6bb922fa7af059fad2c392f70e,0,0
23,1cc20ba113bb8c81584260fdfdb122fb5f8380ab4610533dedf6e7951b5dd601,0,0
24,f60df8a644040bd0be92f658adf4a27a588d9061d14c5f9eac373efd44410172,0,1
25,29df981316e2ec1429a8852627cec65def69b5a421a66109aec528bf167f657a,0,0
26,4f62a47e4f77d454946cedf270fdcc933224efa07a5240ce3b8562d1d19cf86c,0,1
27,603622c1fc454d943e7bccc8cb062a41eee8581cbcad34ffeb7de56c13a625ca,0,0
28,432bf64dffb15dc46bcf356604f79c43e0238dae3dca2dd01efd91c4d1703112,0,2
29,a97bac9b2c736cc33758f16f5332b4e974ef6ef447181c619ab9ff02d88ffb89,0,2
30,4f7fcbe1719005d11d07758bb4161ee87609b38be4446916dc57c94322330ae2,0,2
31,cc255d9703401474177cd4c742d77bceb1d9a5aa17481d0048411b58ddf9c519,0,0
32,052788fd2e1aceae61efd5c34e8e3d76de906357c39fe9b8ec5b8912aaae073e,0,2
34,49be816d3f38705a74dbb36266214c3e232f4efa1137b6dc5a33f7fff88a2412,0,2
36,37b0c28a28a8f3eb013b209db4dc026e7a8b3642f5e16d25d836c7a5dacffa65,0,2
38,d73fc8da155734c1b9df67d55a45a97780a6633b3b0e61b3d61b3e01c3d4d5b8,0,2
39,fa5882873103aa52140e4b087c0124ec6f5e29a6267b8238115a0afb2f7a75eb,0,0
40,16cd7d03a922a4569cb1f5c8ec1269f8c4c0cc50a98c497a54784441eb27bc6d,0,0
41,2eeaf71a116d44a24fd554fdc0a8fa13fb10e29ab498f0c725a08261101ea391,0,1
42,6463d0644a2c1a7038a2068f8c6dd9a391c72f5ee724ae075755ce69054f72ff,0,1
43,97cdbd709d1cdc651b15abf2347ee874b5a0f4bdddafd2fce6eeacaf576ceda5,0,1
44,bfce9310f057ffd5a57ffbba380d69a6351ca7fe57b578a67c47b4662bdf52be,0,1
46,5404563b0b3f1459042a691c0755a27284de48f249020910321075b3ec11a323,0,1
