model_id,outer_fold,selected_epoch,max_epochs,inner_folds
CONST_DQ,0,0,300,3
TREE_U_DQ,0,0,300,3
STATIC_PHY_K4_AUX,0,30,300,3
GRU_PHY_K4_AUX,0,30,300,3
MAMBA_RAW_K4_AUX,0,30,300,3
MAMBA_PHY_K4_NOAUX,0,30,300,3
MAMBA_PHY_K4_AUX,0,30,300,3
MAMBA_PHY_K32_AUX,0,30,300,3
CONST_DQ,1,0,300,3
TREE_U_DQ,1,0,300,3
STATIC_PHY_K4_AUX,1,30,300,3
GRU_PHY_K4_AUX,1,30,300,3
MAMBA_RAW_K4_AUX,1,30,300,3
MAMBA_PHY_K4_NOAUX,1,30,300,3
MAMBA_PHY_K4_AUX,1,30,300,3
MAMBA_PHY_K32_AUX,1,30,300,3
CONST_DQ,2,0,300,3
TREE_U_DQ,2,0,300,3
STATIC_PHY_K4_AUX,2,30,300,3
GRU_PHY_K4_AUX,2,30,300,3
MAMBA_RAW_K4_AUX,2,30,300,3
MAMBA_PHY_K4_NOAUX,2,30,300,3
MAMBA_PHY_K4_AUX,2,30,300,3
MAMBA_PHY_K32_AUX,2,30,300,3
CONST_DQ,3,0,300,3
TREE_U_DQ,3,0,300,3
STATIC_PHY_K4_AUX,3,30,300,3
GRU_PHY_K4_AUX,3,30,300,3
MAMBA_RAW_K4_AUX,3,30,300,3
MAMBA_PHY_K4_NOAUX,3,30,300,3
MAMBA_PHY_K4_AUX,3,30,300,3
MAMBA_PHY_K32_AUX,3,30,300,3
CONST_DQ,4,0,300,3
TREE_U_DQ,4,0,300,3
STATIC_PHY_K4_AUX,4,30,300,3
GRU_PHY_K4_AUX,4,30,300,3
MAMBA_RAW_K4_AUX,4,30,300,3
MAMBA_PHY_K4_NOAUX,4,30,300,3
MAMBA_PHY_K4_AUX,4,30,300,3
MAMBA_PHY_K32_AUX,4,30,300,3
