subset,scale,n,evr_pc1,evr_cum3,eigengap_l1_over_l2,theta1_q25_deg,theta1_q50_deg,theta1_q75_deg,theta1_q90_deg,theta1_q95_deg,theta3_q50_deg,loco_median_deg,loco_max_deg,baseline_pool,rand_theta1_q50_deg,rand_theta1_q25_deg,rand_theta1_q75_deg,rand_theta1_q90_deg,prank1,stable_call
global,total,200,0.25119318766818477,0.5401941858812664,1.2478408941673185,24.810898388463436,34.404694153973665,56.134289426307674,61.1210618870467,62.90795580142717,56.16171249962082,0.03584304163635818,51.2161118402466,session_composition_matched,32.089606413914595,29.745395278245788,35.35837489013871,39.55148036336684,0.35,not_called
global,G2,200,0.2644366738518037,0.5654352872323324,1.2626674217051284,23.96484451884833,33.73187015640546,56.231367682599064,61.60586030063878,63.5576256510283,55.4201395919669,,,session_composition_matched,31.118104251544185,29.047545113129484,36.249680332039766,39.336530841500874,0.33,not_called
global,G4,200,0.28464447242026636,0.6032091958642695,1.2877955939078707,22.65684597372217,32.47796317061925,56.54905614027129,62.41435823421249,64.58636366538983,53.81469994345745,,,session_composition_matched,31.153596481203707,28.428596158207398,34.373624096737075,36.91844101918477,0.38,not_called
global,G8,200,0.3196839663502182,0.6652217626362149,1.3463874844575745,20.47056244681947,29.830902685884567,56.00493211433181,63.201990405157375,65.61500834150755,49.77260859470059,,,session_composition_matched,28.373997820615475,25.935862544074432,32.00828076623372,35.232212390793265,0.38,not_called
global,G16,200,0.37410551815052945,0.7573053099887334,1.452150189671959,17.931822039178268,26.26386063818059,52.23735727546711,62.456026406730885,65.67623728284511,39.927742527205424,,,session_composition_matched,24.29798366851463,22.69718500165962,26.62342919106409,33.16051790099289,0.26,not_called
global,DCT_8_16,200,0.23641120120440043,0.37873350131529304,2.6982933454862286,8.179211412245888,11.268425108386493,16.285312641422475,31.208521983938812,58.78060717826243,77.54420989612393,,,session_composition_matched,11.401463371604134,11.018331477394488,11.88002187662969,12.33043780262658,0.62,not_called
global,DCT_16_32,200,0.15029147587577088,0.34901051633876945,1.3252999969656996,27.206682455201395,47.2249330498353,59.336916120507055,71.24607619454942,80.706216772847,75.20695480747517,,,session_composition_matched,45.319872354294844,40.1943242008565,48.43961380552273,50.15426071981063,0.35,not_called
global,DCT_32_64,200,0.3285917366188256,0.580564584476472,2.0636925548925533,9.853065099822068,14.267665470723106,59.46452612298114,76.87529313307874,83.56651687025169,63.64845543460836,,,session_composition_matched,13.986944320218438,12.80720743569617,15.775708840674502,19.242916086849934,0.45,not_called
global,DCT_64_inf,200,0.39134236547379464,0.765033616456877,1.6173583974939143,16.186416471410713,23.379889356607634,48.452598810730784,61.005873682627985,63.81601069630577,49.19795020487356,,,session_composition_matched,22.152653919872783,21.080158457397072,25.01799033044592,28.628209434269234,0.33,not_called
formal f=2kHz,total,24,0.3852759353146749,0.5988382549201835,3.0297738931836773,12.736634668256693,17.951971215499363,24.37798528572788,40.906087831821665,82.87066648410794,78.00846745451592,0.563704647078734,18.585932342370455,zro2_120_formal,9.317936743951655,4.500514019340029,32.29228735653507,56.01079429858033,0.38,not_called
formal f=2kHz,G2,24,0.3623809934282931,0.6132351576223973,2.1643536454122505,12.838783216443368,18.413858378152323,29.275412534963156,77.96405438022383,85.53643085289137,64.60178801308905,0.5544528169546392,19.01583050622174,zro2_120_formal,8.994108991837098,3.9052322877249708,22.003346153305404,34.43835542074288,0.28,not_called
formal f=2kHz,G4,24,0.28357742730799607,0.622712765837663,1.2599698238858372,14.90924662926512,40.92126686571821,82.07995002915455,87.79881766326373,89.01502796977982,42.91878284730752,1.478454839736469,88.81806578263648,zro2_120_formal,7.939832912345029,3.6397554466495574,30.017116878369723,42.117384137155064,0.12,not_called
