scale,permutation,null_median_cos_pc1_next
total,1,0.8888910223522986
total,2,0.9757055562834691
total,3,0.9946689700212691
total,4,0.817504191115343
total,5,0.9967172630617238
total,6,0.9945024319255196
total,7,0.767011341323333
total,8,0.9982423541705203
total,9,0.9896398416049168
total,10,0.9531849475694898
total,11,0.9653305199185501
total,12,0.8708277574638954
total,13,0.986848311433063
total,14,0.9859104752511099
total,15,0.9426789865370551
total,16,0.9893096488055633
total,17,0.9981786884590734
total,18,0.9676101319921692
total,19,0.977444330574099
total,20,0.9888452806564728
total,21,0.9698474666103745
total,22,0.991348831129164
total,23,0.9628982496209182
total,24,0.9694086813840507
total,25,0.9966450828553011
total,26,0.9738655871246873
total,27,0.9923133659156332
total,28,0.9721468825341906
total,29,0.9765052914058221
total,30,0.9669280547497914
total,31,0.9884935800206301
total,32,0.9681718641074469
total,33,0.8586772977154213
total,34,0.9079752260925344
total,35,0.8694720719725987
total,36,0.9654861426814739
total,37,0.9810937758565572
total,38,0.9833986666588145
total,39,0.9874469483678666
total,40,0.9930893805507865
total,41,0.9673443411928081
total,42,0.9909061988584003
total,43,0.9737037534244312
total,44,0.9684966181472842
total,45,0.9944608041569613
total,46,0.9962437442356827
total,47,0.9971053669887301
total,48,0.9915558330422662
total,49,0.9468686063404447
total,50,0.9557826476974149
total,51,0.894265381728208
total,52,0.9982971257776014
total,53,0.8564492674641593
total,54,0.9994248600686367
total,55,0.9931236442660945
total,56,0.9160156051545392
total,57,0.9922060662874322
total,58,0.9913706893025144
total,59,0.9938469781900481
total,60,0.9960440074589865
total,61,0.907131368985373
total,62,0.9966680760361302
total,63,0.9930961517393574
total,64,0.9740595252823787
total,65,0.9548411638987683
total,66,0.9912734961729867
total,67,0.9955948555310942
total,68,0.9926779042734505
total,69,0.9919774996183408
total,70,0.9832749221517776
total,71,0.9989186520271152
total,72,0.9906425956525502
total,73,0.9906016237896664
total,74,0.9813952633409907
total,75,0.9903372630193725
total,76,0.9612294574531047
total,77,0.8336156066720786
total,78,0.9988296688768771
total,79,0.9419042720208038
total,80,0.9928921339314127
total,81,0.9621228750096773
total,82,0.9944130408255245
total,83,0.9492514270592733
total,84,0.9786551803933126
total,85,0.9928964129869143
total,86,0.9904646567493876
total,87,0.9831495711921165
total,88,0.9920476628795627
total,89,0.9723525100712079
total,90,0.9740406309002652
total,91,0.9954307099577485
total,92,0.9745535220603417
total,93,0.9865747427186676
total,94,0.9776622031009761
total,95,0.9911709126550006
total,96,0.9923251636777676
total,97,0.9663707587844746
total,98,0.9484368478000461
total,99,0.969534911029125
total,100,0.9933648225007051
total,101,0.9973330188086311
total,102,0.8881431400185175
total,103,0.9923642132413145
total,104,0.9890987651573361
total,105,0.9977934365966535
total,106,0.9919446224049993
total,107,0.9863928792206875
total,108,0.996764668380772
total,109,0.9963952644358649
total,110,0.9892113794018036
total,111,0.9983139596601115
total,112,0.9914541892026123
total,113,0.9795879348740099
total,114,0.9979433404029021
total,115,0.9800809819943583
total,116,0.9858267038207846
total,117,0.962599512886262
total,118,0.9913535018948528
total,119,0.9741302016361889
total,120,0.9761723095835838
total,121,0.9419949915239451
total,122,0.9548348217427192
total,123,0.9265203749863946
total,124,0.9957413406915937
total,125,0.9931598546119024
total,126,0.9927993391573521
total,127,0.98635452168002
total,128,0.9252309367867677
total,129,0.9924666564709769
total,130,0.9758617835814163
total,131,0.9923748692325864
total,132,0.9880160775928837
total,133,0.975119424230823
total,134,0.9810381748875792
total,135,0.9736126402261565
total,136,0.9971572351340979
total,137,0.984868946245327
total,138,0.9947422176444445
total,139,0.9893884089383101
total,140,0.9743530679791261
total,141,0.937652453271707
total,142,0.9423873278040588
total,143,0.9934644730111297
total,144,0.9774163230398777
total,145,0.995184189958244
total,146,0.9473251670221414
total,147,0.9978000967783859
total,148,0.9876485939829446
total,149,0.995599968265225
total,150,0.9581528280276592
total,151,0.6557713993406192
total,152,0.9832835829809135
total,153,0.9773060736848922
total,154,0.9871944417877331
total,155,0.9940526869236652
total,156,0.9951648628103392
total,157,0.9748266470651876
total,158,0.8173345079771798
total,159,0.995317532519069
total,160,0.9901883472271742
total,161,0.977868290331924
total,162,0.9947250248193391
total,163,0.9930949401400468
total,164,0.9964646274314777
total,165,0.9858721615565459
total,166,0.9907527737398426
total,167,0.9281605806788051
total,168,0.9942438003232387
total,169,0.9935314447853191
total,170,0.9760474003524805
total,171,0.9959830650961802
total,172,0.9945398748728389
total,173,0.977957003258365
total,174,0.9689152360115377
total,175,0.7198185920302853
total,176,0.9567982774689089
total,177,0.9926017480830722
total,178,0.9826234886996911
total,179,0.9257700866272133
total,180,0.9962797956713989
total,181,0.9953252382389276
total,182,0.997146781281522
total,183,0.962655963598696
total,184,0.9943908925261754
total,185,0.9951980745800643
total,186,0.842306285095576
total,187,0.9751235502520152
total,188,0.9954271638814295
total,189,0.9256311186861735
total,190,0.98783246574952
total,191,0.977886875885611
total,192,0.9974997381725128
total,193,0.9610702622806278
total,194,0.9858145673478909
total,195,0.9462633604696331
total,196,0.9941570788078399
total,197,0.9819835034377156
total,198,0.9766501719609826
total,199,0.9027497617528069
total,200,0.8277681462041571
G16,1,0.9889957695267558
G16,2,0.9971421509531121
G16,3,0.9820721619537726
G16,4,0.8440602523994989
