observable,unit,sd_across_samples,iqr_across_samples,boot_se_of_median,S_bootstrap_stability,sentinel_abs_delta,sentinel_pct_of_ordinary
median_depth_um,um,19.238343622026402,37.203725,3.865272724358367,0.7990849524107194,0.02719999999999989,0.08056800443124024
residual_Sq_um,um,1.818293108681601,0.8723000000000001,0.04292296664956885,0.9763938132721125,0.0007000000000000062,0.060426003323430184
rms_low_um,um,1.4775380502270998,0.4905798452859751,0.024067909573166152,0.9837108021891775,0.02309739975691947,5.634724809909865
rms_mid_um,um,0.6128682483367693,0.42578682508717114,0.035417294000092976,0.9422105907816075,0.002268613229046812,0.5337630293569666
rms_high_um,um,0.3035381851003878,0.27962241172387975,0.0191088518878964,0.9370462998532569,0.003494788112008207,1.0927035600986958
Sq_um,um,1.8182913776570788,0.8723075171959804,0.04292491641883999,0.976392718490394,0.0006478632447187993,0.050355002769525155
Sa_um,um,1.0111041149739586,0.5844553316175006,0.0359249307896951,0.9644696028255999,0.0050084087310824366,0.7956090437584974
Ssk,-,2.093043117603106,2.2431801915734972,0.12981223703022796,0.9379791864111785,0.256516890463255,13.9130872652198
Sku,-,17.675530350449854,9.36630182052458,0.6050515806918987,0.965768971640701,1.4007281605015431,24.170401329372073
grad_rms,um/um,0.42745384308862777,0.33999849410312355,0.026635203473744862,0.9376887027584347,0.004550538254366243,1.2890880708998438
aniso_x_over_y,-,0.7549154839577723,0.6990514124899994,0.04803642048611045,0.9363684789795655,0.09872047605007483,13.817412759957701
lap_rms_um,um,0.20675049953179545,0.2084674980392955,0.014167620405600875,0.9314747948000867,0.0005056589479884299,0.2366685130167682
corr_len_um,um,7.8467604780571705,14.75,1.6124181180760777,0.7945116175541391,0.5,6.8331738758245635
E_low_frac,-,0.2055584986506871,0.2961451845442866,0.021777793246153025,0.8940554956904954,0.05368332630718549,17.76020947681152
E_mid_frac,-,0.08339919170257953,0.12663738546016615,0.005939484395105936,0.9287824705029818,0.010040794581661405,6.531043859207412
E_high_frac,-,0.11906311525154917,0.1759532513148624,0.010296618846504749,0.9135196586722034,0.02344784781643855,11.198952615942394
pit_count,px,560.3216659874932,21.5,0.9736015612148534,0.9982624238534503,28.0,61.80069489903822
pit_depth_um,um,2.6696368722934705,1.5714613199234009,0.1167955003725256,0.9562504168320888,0.08017909526824951,4.421169243164309
