component,frac_mean,frac_median,frac_q25,frac_q75
R_low (sigma 16/4px),0.26005523454553336,0.21296837068466748,0.09164897302046429,0.37566493893926234
R_mid (sigma 16/4px),0.20687881125021973,0.20502739039955395,0.14264681343835384,0.26949347741357754
R_high (sigma 16/4px),0.18822449752139347,0.17466263834735846,0.0925626540167609,0.2664396232888124
"cross(R_low,R_mid)/Var(R)",0.09679353213911256,,,
"cross(R_mid,R_high)/Var(R)",0.04409555822008055,,,
"cross(R_low,R_high)/Var(R)",0.008759619990196508,,,
lowpass G_2px (1.0um),0.8005755095276728,0.811449231242053,0.7219891339758121,0.8942587412402587
lowpass G_4px (2.0um),0.5915794539695957,0.5935762738308655,0.4296819845898603,0.7682727945463175
lowpass G_8px (4.0um),0.403614158056603,0.3667319674355416,0.20882957324067097,0.577614673053631
lowpass G_16px (8.0um),0.26005523454553336,0.21296837068466748,0.09164897302046429,0.37566493893926234
