band,n_clusters,n_draws,rand_theta1_median_deg,rand_theta1_p25_deg,rand_theta1_p75_deg,rand_theta3_median_deg,rand_theta3_p25_deg,rand_theta3_p75_deg
high,15,200,27.17326238230862,13.507309309561078,53.70649173417044,84.36231849348754,80.38193209879854,86.56426247728908
high,24,200,32.765197774225925,9.654237960150585,59.5218415298561,85.29097731925356,82.96205519649872,87.13592016705552
high,41,200,40.85923213213812,20.95353241904281,65.42060654724253,85.52109023367166,82.80381204708247,87.05625331597936
high,46,200,31.196222942773087,16.86038709443585,63.32816065200207,86.16731606272178,83.77264511747134,87.37539957678733
high,47,200,36.667695457937526,18.545432924131994,68.17084651553438,85.88599340154605,83.55117655090852,87.08636969890847
high,160,200,24.147983839374227,21.310274239997092,31.453672062422836,85.40003019357154,84.4109067262013,86.82326206453753
low,15,200,9.796425730384362,4.243204960477485,25.88786068179665,58.85630976084741,48.50767739139948,69.60612823799052
low,24,200,12.98989584958363,5.703226025198891,26.749227497881265,59.681386375481644,49.02069768569051,69.10249307950758
low,41,200,15.381297689645491,6.389343422444943,28.580180412532506,56.153831536352946,47.91098305327697,64.3638875029703
low,46,200,17.89778543790663,6.748420319409312,28.5775064786243,54.95751838945252,45.4935575189979,65.36790158082086
low,47,200,21.888602123784757,11.010578635616026,32.339456505402254,56.18946994901805,46.57268206509177,65.48704624111558
low,160,200,24.691541672956497,22.12661429713968,31.763325873522657,39.091741130086504,36.150058146534604,42.042502337970724
mid,15,200,16.743126195863262,6.560812362074838,47.48722586137505,83.78597011999848,80.1119015050239,85.71370759916982
mid,24,200,24.723916903589156,6.900229195909649,51.01622051700511,82.65257866790384,79.31393377661266,85.03219943132017
mid,41,200,37.43727368197004,9.484196195953675,58.617019648525,82.36699841891468,79.0611637779526,84.92526175665391
mid,46,200,38.71709590777695,8.55068071618961,60.30389987120559,82.49126601629686,79.25488955191707,85.04910616893059
mid,47,200,43.963655297841335,12.322202909400431,64.31937964535689,82.42817591381636,78.19355814745569,85.14933809374574
mid,160,200,41.60541885391105,18.77106084286408,74.45779763752533,80.29920355947823,76.9066673153655,82.83675429055728
total,15,200,13.24334306112431,4.698338593165815,37.6946244448793,79.65783474571927,73.83645255391289,83.3056762352131
total,24,200,15.426411657953754,5.7530314800397,32.98669581665865,79.25684753741305,73.17528955355846,82.84295206039997
total,41,200,17.249373189956074,8.184999976842587,37.405973890944075,77.00531553313552,70.3426739714824,81.40952401998781
total,46,200,24.09534882668125,9.939254446584284,40.95644729120145,75.1016656075492,69.13052622794818,80.17468076226683
total,47,200,22.863054191273495,9.188092104647655,37.19572550486976,75.65608532804411,66.74152846395566,79.80628920742595
total,160,200,33.756009430244504,28.961921354306654,40.51613517909436,56.1464790982382,53.03334360621702,58.349699235604035
