observable,unit,sd_across_samples,iqr_across_samples,sentinel_abs_delta_49_50,sentinel_pct_of_ordinary
median_depth_um,um,19.238343622026402,37.203725,0.02719999999999989,0.08056800443124024
residual_Sq_um,um,1.818293108681601,0.8723000000000001,0.0007000000000000062,0.060426003323430184
rms_DCT_8_16_um,um,0.4130962505434496,0.42545324265342954,0.006302136797252347,1.3897980764388942
rms_DCT_16_32_um,um,0.5988528718422621,0.45021213453321596,0.001579991858617652,0.49851452741829905
rms_DCT_32_64_um,um,0.8362750507540048,0.4225748060756735,0.0005410397644833517,0.18127800997029053
rms_DCT_64_inf_um,um,1.516778793136273,0.5018421210809678,0.02801648326635032,6.364872350067979
Sq_um,um,1.8182913776570788,0.8723075171959804,0.0006478632447187993,0.050355002769525155
Sa_um,um,1.0111041149739586,0.5844553316175006,0.0050084087310824366,0.7956090437584974
Ssk_skewness,-,2.093043117603106,2.2431801915734972,0.256516890463255,13.9130872652198
kurtosis_excess_fisher,-,17.675530350449854,9.36630182052458,1.4007281605015431,24.170401329372073
grad_rms,um/um,0.42745384308862777,0.33999849410312355,0.004550538254366243,1.2890880708998438
aniso_x_over_y,-,0.7549154839577723,0.6990514124899994,0.09872047605007483,13.817412759957701
lap_rms_um_per_px2,um/px^2,0.20675049953179545,0.2084674980392955,0.0005056589479884299,0.2366685130167682
acf_e_fold_lag_um,um,7.8467604780571705,14.75,0.5,6.8331738758245635
E_DCT_8_16_frac,-,0.20628846657885574,0.2541906057846026,0.030849411370818536,10.15156855833627
E_DCT_16_32_frac,-,0.1178320070462668,0.16461303374234293,0.006903844084316629,3.655773201067526
E_DCT_32_64_frac,-,0.09207796668268453,0.1123792086993485,0.0008406915636073459,0.7452540409889723
E_DCT_64_inf_frac,-,0.24315524970229221,0.3540855223420214,0.061949288090213855,18.862984037464123
pit_density_per_Mpx,1/Mpx,21887.565077636456,839.84375,1093.75,61.80069489903822
pit_depth_um,um,2.6696368722934705,1.5714613199234009,0.08017909526824951,4.421169243164309
