replicate,k,max_principal_angle_deg,note
1,1,57.80994364989954,
1,2,78.87449100490971,
1,3,87.88099515548971,
1,4,84.47718894156165,
1,5,59.6373165620817,
1,6,83.27894876121209,
2,1,35.79626040674398,
2,2,24.504905619095442,
2,3,87.83505302035847,
2,4,85.49777029189922,
2,5,56.90151328193922,
2,6,51.614415783755724,
3,1,25.01169041361324,
3,2,40.35647713175814,
3,3,42.0293432342565,
3,4,40.487524543404085,
3,5,44.28941929190633,
3,6,62.40006801395672,
4,1,20.103034993861197,
4,2,34.0010375951216,
4,3,65.5012327160224,
4,4,70.96368199480386,
4,5,85.65121450568847,
4,6,51.83121143117533,
5,1,38.87808046856634,
5,2,85.3068488293292,
5,3,51.33799635442998,
5,4,49.50399978127377,
5,5,75.20756712639937,
5,6,77.0106258606055,
6,1,28.446114929507893,
6,2,37.87673691182252,
6,3,62.05174824268319,
6,4,51.42756531123807,
6,5,59.60741736992657,
6,6,82.55649339621097,
7,1,60.269361666532774,
7,2,20.816354337911378,
7,3,56.80175770808268,
7,4,82.31659163689311,
7,5,75.03299209820844,
7,6,71.78453313324556,
8,1,45.51921831450819,
8,2,27.968061063189776,
8,3,36.47455262729467,
8,4,79.81338026742468,
8,5,32.3451007246476,
8,6,38.24693268518033,
9,1,21.011284123583557,
9,2,13.250372218328177,
9,3,29.820489517241498,
9,4,42.29359854731791,
9,5,41.075873030254016,
9,6,42.08866770560153,
10,1,16.31079149648675,
10,2,44.74937201216433,
10,3,43.3438573329677,
10,4,49.99231584936556,
10,5,71.56508726466866,
10,6,71.99907603406375,
11,1,59.355302634347886,
11,2,53.75864916154671,
11,3,65.15332799231597,
11,4,88.5018973141062,
11,5,66.62153396916491,
11,6,40.98315520338507,
12,1,12.332596683633643,
12,2,15.14332657194246,
12,3,32.10566918475692,
12,4,27.265004089062117,
12,5,43.50210038219685,
12,6,55.93742130583981,
13,1,30.872828200968303,
13,2,81.36604594551744,
13,3,81.13945240257016,
13,4,86.8958269060327,
13,5,87.22410322227515,
13,6,87.6887452764818,
14,1,28.63439875926046,
14,2,15.11876318763852,
14,3,60.05406499243195,
14,4,81.38453349217666,
14,5,86.92424267925003,
14,6,87.6152379251397,
15,1,64.08606455576952,
15,2,15.627535719651664,
15,3,34.777489610702915,
15,4,87.96668869806456,
15,5,60.092773271629625,
15,6,85.96484285608068,
16,1,56.634395124381406,
16,2,13.871827890462018,
16,3,77.85395128671283,
16,4,72.6555680004229,
16,5,38.38796976322419,
16,6,20.87461067479737,
17,1,42.34800490650357,
17,2,62.18122953512535,
17,3,57.2797869019136,
17,4,66.78426437284895,
17,5,55.42732070954147,
17,6,63.94982898818415,
18,1,25.73645018272288,
18,2,44.371464995108646,
18,3,88.40645785095869,
18,4,86.69874179847984,
18,5,52.1791280764851,
18,6,61.721253358829664,
19,1,58.34944206106432,
19,2,50.802536135891444,
19,3,46.12577203638916,
19,4,41.27897163397344,
19,5,66.78213194835816,
19,6,80.8477511689584,
20,1,20.289430988564046,
20,2,50.968578374445926,
20,3,54.922329536741785,
20,4,55.65805144001474,
20,5,69.12556885443665,
20,6,87.66362890304488,
21,1,21.509785435049015,
21,2,16.04328170395509,
21,3,77.40690509081308,
21,4,86.08590391823088,
21,5,74.72551247647476,
21,6,88.1910240919471,
22,1,63.39907745172941,
22,2,46.68488080432825,
22,3,55.110583333560086,
22,4,38.730082337338246,
22,5,53.92025977035233,
22,6,75.07636920935863,
23,1,20.37817025439176,
23,2,14.800801106214937,
23,3,38.193171915921866,
23,4,86.40123717368932,
23,5,88.48814830812694,
23,6,67.8841501247036,
24,1,52.68898744218476,
24,2,44.59778948161945,
24,3,80.32253245997605,
24,4,54.06473890574171,
24,5,61.375511537035806,
24,6,86.38637953000323,
25,1,62.085964022792176,
25,2,36.73033375892099,
25,3,84.9398684857227,
25,4,83.77175967085849,
25,5,55.81665914168899,
25,6,67.77309259840374,
26,1,58.06244313026045,
26,2,11.632920039407857,
26,3,15.777052985029481,
26,4,26.57498040654604,
26,5,30.343222590141597,
26,6,30.663190126461622,
27,1,64.64544909453605,
27,2,16.53823197198534,
27,3,70.34618543509752,
27,4,58.610154857617836,
27,5,89.61540216326753,
27,6,83.20977945549544,
28,1,59.887478800871754,
28,2,79.16607599251965,
28,3,69.19912509315996,
28,4,43.20012064951163,
28,5,79.99737640086302,
28,6,88.81560444088073,
29,1,51.775682313866795,
29,2,62.64686095867134,
29,3,50.506009037331374,
29,4,25.19382169945558,
29,5,54.11582763674557,
29,6,33.383613557880246,
30,1,39.01444654214144,
30,2,84.03260885758108,
30,3,56.293420331913886,
30,4,83.92803416934002,
30,5,79.97015242803813,
30,6,88.34539956446574,
31,1,46.08333741541985,
31,2,87.25888361183424,
31,3,77.80633681969009,
31,4,73.18245903356883,
31,5,65.6917245883452,
31,6,83.59886256340639,
32,1,20.4332238652074,
32,2,15.114583648806086,
32,3,30.622022717664077,
32,4,33.94202294073269,
32,5,64.2974621178558,
32,6,68.22851856099147,
33,1,18.615956799133027,
33,2,36.163609950156875,
33,3,44.0452936355358,
33,4,40.28877969404254,
33,5,52.21787643110453,
33,6,57.03862027748805,
34,1,60.833187498988714,
34,2,60.815976184842846,
34,3,60.80819413084094,
34,4,69.58931712962803,
34,5,85.54688808770514,
34,6,72.71523378479564,
35,1,31.06395655144575,
35,2,85.99976102616962,
35,3,59.309006206714365,
35,4,60.32305772367679,
35,5,63.13040756152278,
35,6,79.6858125059495,
36,1,29.849484255799855,
36,2,72.69309530153258,
36,3,83.63877352653424,
36,4,84.27552096591062,
36,5,74.42452798739504,
36,6,89.85080747126342,
37,1,19.348800896963994,
37,2,36.13968660948885,
37,3,35.22827951345023,
37,4,44.584929839923284,
37,5,74.87738303458138,
37,6,87.08803238502914,
38,1,24.066834724745892,
38,2,59.69959167321669,
38,3,45.24447551508408,
38,4,88.98360687266674,
38,5,59.5673117302938,
38,6,65.98973372974406,
39,1,62.54290585180742,
39,2,85.26137331327759,
39,3,62.93398746644212,
39,4,48.36899674123656,
39,5,68.72542714442079,
39,6,75.95621980364304,
40,1,63.77807446983661,
40,2,17.250362172585675,
40,3,89.66462032588585,
40,4,89.84174011614905,
40,5,76.01127049709106,
40,6,87.09042115096108,
41,1,27.80457306177635,
41,2,85.8654987382267,
