dataset_index,session_id,measurement_id,sample_id,shared_height_source_id,roi_within_measurement,session_role,design_group,processing_order,x_position_um,y_position_um,compressor_steps,pulse_duration_fs,pulse_duration_calibration_id,pulse_duration_calibration_version,frequency_kHz,hatch_spacing_um,pass_count,velocity_mm_s,valid_fraction,repair_fraction,median_depth_um,residual_Sq_um
0,zro2_120_formal,1,1,zro2_120_formal:m001,single,formal,,1,-3300.0,16400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,4,11,1.0,0.0,13.5066,0.5699
1,zro2_120_formal,2,2,zro2_120_formal:m002,single,formal,,2,-3300.0,15800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,4.0,5,9,1.0,0.0,8.6371,0.2474
2,zro2_120_formal,3,3,zro2_120_formal:m003,single,formal,,3,-3300.0,15200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,3,7,1.0,0.0,3.897,0.2425
3,zro2_120_formal,4,4,zro2_120_formal:m004,single,formal,,4,-3300.0,14600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,8.0,3,9,1.0,0.0,2.162,0.351
4,zro2_120_formal,5,5,zro2_120_formal:m005,single,formal,,5,-3300.0,14000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,8.0,5,7,1.0,0.0,4.774,0.3828
5,zro2_120_formal,6,6,zro2_120_formal:m006,single,formal,,6,-3300.0,13400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,2,7,1.0,0.0,0.7912,0.7215
6,zro2_120_formal,7,7,zro2_120_formal:m007,single,formal,,7,-3300.0,12800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,5,5,1.0,0.0,6.1178,0.8692
7,zro2_120_formal,8,8,zro2_120_formal:m008,single,formal,,8,-3300.0,12200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,5,11,1.0,0.0,2.6327,1.0928
8,zro2_120_formal,9,9,zro2_120_formal:m009,single,formal,,9,-3300.0,11600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,4,3,1.0,0.0,57.0338,0.34
9,zro2_120_formal,10,10,zro2_120_formal:m010,single,formal,,10,-3300.0,11000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,1,3,1.0,0.0,3.669,0.8399
10,zro2_120_formal,11,11,zro2_120_formal:m011,single,formal,,11,-3300.0,10400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,6.0,4,3,1.0,0.0066015625,46.2398,2.2115
11,zro2_120_formal,12,12,zro2_120_formal:m012,single,formal,,12,-3300.0,9800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,4,11,1.0,0.0,17.7364,0.7303
12,zro2_120_formal,13,13,zro2_120_formal:m013,single,formal,,13,-3300.0,9200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,5,7,1.0,0.000546875,30.7015,1.189
13,zro2_120_formal,14,14,zro2_120_formal:m014,single,formal,,14,-3300.0,8600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,2,9,1.0,0.0,7.0837,1.3309
14,zro2_120_formal,15,15,zro2_120_formal:m015,single,formal,,15,-3300.0,8000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,8.0,1,7,1.0,0.0,6.0985,1.6924
15,zro2_120_formal,16,16,zro2_120_formal:m016,single,formal,,16,-3300.0,7400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,8.0,4,11,1.0,0.0,46.0401,0.6027
16,zro2_120_formal,17,17,zro2_120_formal:m017,single,formal,,17,-3300.0,6800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,2.0,2,3,1.0,0.0,54.5754,1.928
17,zro2_120_formal,18,18,zro2_120_formal:m018,single,formal,,18,-3300.0,6200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,1,9,1.0,0.0,5.3911,0.8637
18,zro2_120_formal,19,19,zro2_120_formal:m019,single,formal,,19,-3300.0,5600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,1,11,1.0,0.0,6.0179,0.7175
19,zro2_120_formal,20,20,zro2_120_formal:m020,single,formal,,20,-3300.0,5000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,5,3,1.0,0.018671875,63.1156,9.0641
20,zro2_120_formal,21,21,zro2_120_formal:m021,single,formal,,21,-3300.0,4400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,3,3,1.0,0.0,56.6237,1.3446
21,zro2_120_formal,22,22,zro2_120_formal:m022,single,formal,,22,-3300.0,3800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,3,11,1.0,0.0,49.3129,1.3731
22,zro2_120_formal,23,23,zro2_120_formal:m023,single,formal,,23,-3300.0,3200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,8.0,4,3,1.0,0.0045703125,63.9191,6.5075
23,zro2_120_formal,24,24,zro2_120_formal:m024,single,formal,,24,-3300.0,2600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,5,11,1.0,0.005,65.0842,6.8297
24,zro2_120_formal,25,25,zro2_120_formal:m025,single,formal,,25,-3900.0,2600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,3,7,1.0,0.000703125,16.0061,0.5573
25,zro2_120_formal,26,26,zro2_120_formal:m026,single,formal,,26,-3900.0,3200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,1,11,1.0,0.0,0.1715,0.2535
26,zro2_120_formal,27,27,zro2_120_formal:m027,single,formal,,27,-3900.0,3800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,4,7,1.0,0.0025390625,48.2729,1.7548
27,zro2_120_formal,28,28,zro2_120_formal:m028,single,formal,,28,-3900.0,4400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,1,9,1.0,0.0,9.989,0.3221
28,zro2_120_formal,29,29,zro2_120_formal:m029,single,formal,,29,-3900.0,5000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,4,7,1.0,0.0002734375,39.5635,0.5222
29,zro2_120_formal,30,30,zro2_120_formal:m030,single,formal,,30,-3900.0,5600.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,6.0,2,7,1.0,0.0,17.5765,0.3347
30,zro2_120_formal,31,31,zro2_120_formal:m031,single,formal,,31,-3900.0,6200.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,2,9,1.0,0.0,10.0665,0.5314
31,zro2_120_formal,32,32,zro2_120_formal:m032,single,formal,,32,-3900.0,6800.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,2,3,1.0,0.0,48.3655,0.8646
32,zro2_120_formal,33,33,zro2_120_formal:m033,single,formal,,33,-3900.0,7400.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,5,11,1.0,0.0001171875,57.5403,0.8677
33,zro2_120_formal,34,34,zro2_120_formal:m034,single,formal,,34,-3900.0,8000.0,43800,1000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,6.0,3,3,1.0,0.0,55.1854,0.5843
