dataset_index,anon_code,reviewer,blind_morphology_pattern,blind_artifact_suspected,blind_notes,unblind_artifact_suspected,artifact_reason,morphology_pattern,confidence,notes
191,AUDIT-01,,,,,,,,,
182,AUDIT-02,,,,,,,,,
153,AUDIT-03,,,,,,,,,
65,AUDIT-04,,,,,,,,,
110,AUDIT-05,,,,,,,,,
19,AUDIT-06,,,,,,,,,
66,AUDIT-07,,,,,,,,,
37,AUDIT-08,,,,,,,,,
22,AUDIT-09,,,,,,,,,
129,AUDIT-10,,,,,,,,,
98,AUDIT-11,,,,,,,,,
175,AUDIT-12,,,,,,,,,
149,AUDIT-13,,,,,,,,,
167,AUDIT-14,,,,,,,,,
179,AUDIT-15,,,,,,,,,
23,AUDIT-16,,,,,,,,,
82,AUDIT-17,,,,,,,,,
178,AUDIT-18,,,,,,,,,
154,AUDIT-19,,,,,,,,,
44,AUDIT-20,,,,,,,,,
155,AUDIT-21,,,,,,,,,
43,AUDIT-22,,,,,,,,,
78,AUDIT-23,,,,,,,,,
152,AUDIT-24,,,,,,,,,
183,AUDIT-25,,,,,,,,,
111,AUDIT-26,,,,,,,,,
48,AUDIT-27,,,,,,,,,
49,AUDIT-28,,,,,,,,,
