anon_code,dataset_index,session_id,sample_id,session_role,processing_order,A_consensus,spectral_rank_min,rank_Sq,rank_loco_total_pc1,rank_D_morph_k10,rank_pit_density,Sq_um,D_morph_k10,D_proc_phys_k5,loco_total_pc1_deg,repair_fraction,selection_reason,repair_present
AUDIT-01,191,zro2_60_pass,52,pass_main,52,2.0,1.0,25.0,16.5,2.0,2.0,2.413869221433437,99.66985320770618,0.40565936667287833,1.4672524344370228,0.0,morph_isolation_top10|proc_near_morph_far_top10,False
AUDIT-02,182,zro2_60_pass,43,pass_main,43,3.0,2.0,20.0,55.5,3.0,3.0,2.8341842495836995,50.43936994976549,0.11155651847049466,0.13109310399395177,0.0028125,loco_DCT_8_16_top5|morph_isolation_top10|proc_near_morph_far_top10,True
AUDIT-03,153,zro2_60_pass,14,pass_main,14,4.0,9.0,4.0,6.5,1.0,1.0,8.122106487674202,244.86933023292005,0.23022153916796523,12.510204094686959,0.01109375,loco_DCT_64_inf_top5|loco_total_pc1_top10|morph_isolation_top10|proc_near_morph_far_top10|sq_top10,True
AUDIT-04,65,zro2_120_formal,66,formal,66,6.0,6.0,1.0,1.0,9.0,153.0,12.603457527561158,17.601482900241425,0.6568672123319635,51.2161118402466,0.0019140625,loco_DCT_16_32_top5|loco_DCT_32_64_top5|loco_DCT_64_inf_top5|loco_total_pc1_top10|morph_isolation_top10|sq_top10,True
AUDIT-05,110,zro2_120_formal,111,formal,111,6.0,6.0,46.0,85.0,4.0,4.0,1.5684377427191978,33.08600913215123,0.4850718563723048,0.06617383285013667,0.0,morph_isolation_top10|proc_near_morph_far_top10,False
AUDIT-06,19,zro2_120_formal,20,formal,20,7.0,7.0,3.0,5.0,15.0,153.0,9.064103038694258,11.884345683837772,2.0231242707069796,12.712658142651984,0.018671875,loco_DCT_32_64_top5|loco_DCT_64_inf_top5|loco_total_pc1_top10|sq_top10,True
AUDIT-07,66,zro2_120_formal,67,formal,67,8.0,1.0,32.0,23.0,8.0,7.0,2.150660599802733,17.814947673255965,2.167352353482426,0.5710553307608884,0.001171875,morph_isolation_top10,True
AUDIT-08,37,zro2_120_formal,38,formal,38,9.0,9.0,2.0,2.0,10.0,153.0,12.560357387242096,16.977763569495554,0.4950014354176543,19.309217657981627,0.0271484375,loco_DCT_16_32_top5|loco_DCT_32_64_top5|loco_DCT_64_inf_top5|loco_DCT_8_16_top5|loco_total_pc1_top10|morph_isolation_top10|sq_top10,True
AUDIT-09,22,zro2_120_formal,23,formal,23,10.0,5.0,7.0,10.0,24.0,153.0,6.507496998933839,6.793164831075755,1.2702419891715861,4.636344558020923,0.0045703125,loco_DCT_16_32_top5|loco_DCT_32_64_top5|loco_total_pc1_top10|sq_top10,True
AUDIT-10,129,zro2_20_supplement,10,pass_supplement,10,10.0,10.0,73.0,38.5,6.0,5.0,0.9098665806604722,22.774312530709327,0.255801710186628,0.2426105574970191,0.0002734375,morph_isolation_top10|proc_near_morph_far_top10,True
