field,k,rank,cluster_id,members,loco_angle_deg
total,1,1,zro2_120_formal:m066,65,51.2161118402466
total,1,2,zro2_120_formal:m038,37,19.309217657981627
total,1,3,zro2_60_pass:m008,154|155,12.951873194939845
total,1,4,zro2_120_formal:m020,19,12.712658142651984
total,1,5,zro2_60_pass:m007,152|153,12.510204094686959
total,1,6,zro2_120_formal:m045,44,7.697548926732254
total,1,7,zro2_120_formal:m024,23,5.274674297422882
total,1,8,zro2_120_formal:m023,22,4.636344558020923
total,1,9,zro2_60_pass:m014,166|167,3.005845973997325
total,1,10,zro2_120_formal:m068,67,2.632800278119546
total,1,11,zro2_120_formal:m058,57,2.1756461353705276
total,1,12,zro2_120_formal:m044,43,2.1425362061980016
total,1,13,zro2_60_pass:m026,190|191,1.4672524344370228
total,1,14,zro2_120_formal:m061,60,1.4574193946709295
total,1,15,zro2_120_formal:m071,70,1.0381866180510335
total,1,16,zro2_120_formal:m070,69,0.8286724833273363
total,1,17,zro2_120_formal:m083,82,0.8270310881096177
total,1,18,zro2_120_formal:m119,118,0.769031103672448
total,1,19,zro2_120_formal:m067,66,0.5710553307608884
total,1,20,zro2_120_formal:m059,58,0.5410256429762867
total,1,21,zro2_120_formal:m035,34,0.5299527137911163
total,1,22,zro2_60_pass:m012,162|163,0.5103204724854179
total,1,23,zro2_120_formal:m110,109,0.4377278613174052
total,1,24,zro2_60_pass:m005,148|149,0.3956517757181916
total,1,25,zro2_20_supplement:m003,124|125,0.38441519585146783
total,1,26,zro2_120_formal:m015,14,0.3524597714449039
total,1,27,zro2_120_formal:m052,51,0.33739078822430146
total,1,28,zro2_120_formal:m043,42,0.3225079058017536
total,1,29,zro2_120_formal:m063,62,0.2655826461831945
total,1,30,zro2_120_formal:m118,117,0.24346949336663895
total,1,31,zro2_20_supplement:m005,128|129,0.2426105574970191
total,1,32,zro2_120_formal:m047,46,0.2327889761627342
total,1,33,zro2_120_formal:m084,83,0.23064990490466925
total,1,34,zro2_20_supplement:m009,136|137,0.17168623905323693
total,1,35,zro2_120_formal:m079,78,0.1602983272356915
total,1,36,zro2_20_supplement:m004,126|127,0.15582997269535506
total,1,37,zro2_120_formal:m117,116,0.1541458759709913
total,1,38,zro2_120_formal:m064,63,0.15354266414096548
total,1,39,zro2_120_formal:m060,59,0.1419616593976832
total,1,40,zro2_120_formal:m062,61,0.13999369892528216
total,1,41,zro2_120_formal:m054,53,0.13488317081474924
total,1,42,zro2_60_pass:m004,146|147,0.13437004764662197
total,1,43,zro2_120_formal:m021,20,0.13143827241601067
total,1,44,zro2_60_pass:m022,182|183,0.13109310399395177
total,1,45,zro2_120_formal:m017,16,0.1273724032407027
total,1,46,zro2_120_formal:m065,64,0.11699638588997789
