space,metric,n_pairs,proc_thr_p10,morph_thr_p90,n_near,T_lambda,type_I,type_II,type_III,type_IV,p_perm_T_within,p_perm_type2_within,p_perm_T_global,p_perm_type2_global,formal_only_type2,formal_only_T_lambda,formal_only_p_type2_within,formal_only_p_T_within
raw,D_morph_total_um,19859,1.734210521442821,4.751139607761103,1989,1.0402412824603666,1874,115,15999,1871,1.0,0.9920079920079921,1.0,0.991008991008991,81,1.446019629357959,0.945054945054945,0.977022977022977
raw,D_morph_DCT_8_16_um,19859,1.734210521442821,1.3951373661443287,1989,0.5525979970420383,1814,175,16059,1811,0.999000999000999,0.8251748251748252,0.998001998001998,0.7782217782217782,123,0.7606980540549455,0.7782217782217782,0.942057942057942
raw,D_morph_DCT_16_32_um,19859,1.734210521442821,1.8402678347079573,1989,0.43935089078580203,1860,129,16013,1857,0.999000999000999,0.993006993006993,0.999000999000999,0.9820179820179821,91,0.6937291438380646,0.9070929070929071,0.962037962037962
raw,D_morph_DCT_32_64_um,19859,1.734210521442821,2.380402516818685,1989,0.30600285154708423,1860,129,16013,1857,1.0,0.986013986013986,1.0,0.9820179820179821,95,0.45146545057549586,0.9430569430569431,0.986013986013986
raw,D_morph_DCT_64_inf_um,19859,1.734210521442821,3.509670221834825,1989,0.45057471044385156,1882,107,15991,1879,1.0,0.999000999000999,1.0,0.995004995004995,72,0.6055008347768978,0.958041958041958,0.9100899100899101
raw,D_morph_desc,19859,1.734210521442821,32.185099640926694,1989,5.20056957931424,1816,173,16057,1813,0.999000999000999,0.8271728271728271,0.999000999000999,0.7902097902097902,38,5.75723398256892,0.8071928071928072,0.997002997002997
phys,D_morph_total_um,19859,0.8596927190569711,4.751139607761103,1986,1.4084784905706578,1840,146,16033,1840,0.07392607392607392,0.7182817182817183,0.2177822177822178,0.8251748251748252,58,1.7097758054138492,0.7502497502497503,0.5144855144855145
phys,D_morph_DCT_8_16_um,19859,0.8596927190569711,1.3951373661443287,1986,0.6587736968438772,1817,169,16056,1817,0.1008991008991009,0.43656343656343655,0.3806193806193806,0.7162837162837162,85,0.8212068634910826,0.5904095904095904,0.46053946053946054
phys,D_morph_DCT_16_32_um,19859,0.8596927190569711,1.8402678347079573,1986,0.6400711665890723,1790,196,16083,1790,0.00999000999000999,0.3876123876123876,0.12987012987012986,0.5134865134865135,80,0.9255823745782501,0.3936063936063936,0.16583416583416583
phys,D_morph_DCT_32_64_um,19859,0.8596927190569711,2.380402516818685,1986,0.5124870364385568,1862,124,16011,1862,0.06893106893106893,0.7882117882117882,0.16383616383616384,0.9110889110889111,63,0.6639394740329667,0.7722277722277723,0.3966033966033966
phys,D_morph_DCT_64_inf_um,19859,0.8596927190569711,3.509670221834825,1986,0.6119831785810345,1840,146,16033,1840,0.15984015984015984,0.7422577422577422,0.34565434565434566,0.8241758241758241,53,0.6533017843012041,0.7022977022977023,0.6153846153846154
phys,D_morph_desc,19859,0.8596927190569711,32.185099640926694,1986,6.59351518473048,1711,275,16162,1711,0.16983016983016982,0.17282717282717283,0.27672327672327673,0.07892107892107893,11,6.20946570637651,0.935064935064935,0.8151848151848152
