cv_variant,band,fold_a,fold_b,theta_pc1_deg,theta_pc123_deg
src_gkf,8_16,0,1,15.27469592213646,57.97182516957735
src_gkf,8_16,0,2,4.794006783055027,84.44767654482492
src_gkf,8_16,0,3,10.46266585069063,84.89809585412995
src_gkf,8_16,0,4,4.2082924542947024,28.575111344113182
src_gkf,8_16,1,2,18.21044406094513,89.89934157014306
src_gkf,8_16,1,3,23.699351206185906,37.13025342444027
src_gkf,8_16,1,4,15.68630183434648,83.63586397561569
src_gkf,8_16,2,3,9.79122954033686,87.09036106036281
src_gkf,8_16,2,4,6.789923267484273,87.14427101338875
src_gkf,8_16,3,4,12.236367958637853,69.61575759987333
src_gkf,16_32,0,1,17.03204785184119,25.41872101576713
src_gkf,16_32,0,2,53.8889328406141,76.09284761191346
src_gkf,16_32,0,3,6.736055240441361,34.549889855540094
src_gkf,16_32,0,4,12.041408420770491,77.03424777252432
src_gkf,16_32,1,2,58.73455851173054,81.02068056988998
src_gkf,16_32,1,3,22.406208787883877,22.71163985481349
src_gkf,16_32,1,4,20.546602326834048,59.56009072319214
src_gkf,16_32,2,3,54.51026617150779,78.26309925279847
src_gkf,16_32,2,4,63.68975485005283,86.67603840659649
src_gkf,16_32,3,4,13.725598116299533,58.6220024943187
src_gkf,32_64,0,1,6.071910371085637,38.575634583478696
src_gkf,32_64,0,2,42.62030638048334,55.065588237836536
src_gkf,32_64,0,3,6.901957125066594,16.46725793823458
src_gkf,32_64,0,4,11.0411536434325,33.956474660132045
src_gkf,32_64,1,2,41.05109630868831,74.94848737532537
src_gkf,32_64,1,3,4.085684899072636,43.941451121232184
src_gkf,32_64,1,4,8.2683207108122,50.582157823594514
src_gkf,32_64,2,3,40.02989199638906,49.973581484123365
src_gkf,32_64,2,4,47.852988978722635,58.58086231633925
src_gkf,32_64,3,4,9.226160978531357,21.427369367203898
src_gkf,64_inf,0,1,11.68287594772319,65.23707669643716
src_gkf,64_inf,0,2,16.825594855726514,64.27218515671179
src_gkf,64_inf,0,3,10.941118152193399,48.94942398480688
src_gkf,64_inf,0,4,51.280268104822845,46.63877199509361
src_gkf,64_inf,1,2,8.720124224575109,22.397416275585687
src_gkf,64_inf,1,3,6.734681554337839,24.146245810565325
src_gkf,64_inf,1,4,50.93601575542202,54.60230556951159
src_gkf,64_inf,2,3,7.045780662748514,34.14511997536356
src_gkf,64_inf,2,4,56.85361516135912,54.60244251668035
src_gkf,64_inf,3,4,56.03168403618002,41.34927519003369
src_gss,8_16,0,1,11.348921651357095,86.29797320830856
src_gss,8_16,0,2,12.117323668656692,87.89915837608737
src_gss,8_16,0,3,13.58591854598559,89.11760248801367
src_gss,8_16,0,4,13.704983575328974,83.88262898706007
src_gss,8_16,1,2,3.510006053467854,31.398142356176514
src_gss,8_16,1,3,4.334706424152908,19.25125328298659
src_gss,8_16,1,4,4.065352799921836,65.91021522748004
src_gss,8_16,2,3,4.011787766758709,16.688535198761716
src_gss,8_16,2,4,3.968061062613225,84.98471582142363
src_gss,8_16,3,4,2.861692250270685,81.96148279406923
src_gss,16_32,0,1,70.29469350322702,85.57123122505553
src_gss,16_32,0,2,62.695361005831465,80.6078374902957
src_gss,16_32,0,3,55.95887058520953,86.95051448605308
src_gss,16_32,0,4,69.83193748940742,87.59000913628978
src_gss,16_32,1,2,10.494877012851656,56.65456440420529
src_gss,16_32,1,3,18.28766428491372,62.68575463678347
src_gss,16_32,1,4,2.5552156697973647,16.258937636555874
src_gss,16_32,2,3,14.505371643242976,19.49029150187632
src_gss,16_32,2,4,10.47510150164932,50.59123183754675
src_gss,16_32,3,4,18.04834736048196,56.87374992065369
src_gss,32_64,0,1,67.93474997378817,52.1022224791647
src_gss,32_64,0,2,60.820514422972785,47.7144208833222
src_gss,32_64,0,3,60.03473638244916,65.1308839213131
src_gss,32_64,0,4,67.5882168155241,47.105657879980185
src_gss,32_64,1,2,9.45075965169144,33.59146078927206
src_gss,32_64,1,3,8.177413443636354,69.05267679084275
src_gss,32_64,1,4,4.399143587195931,26.553813921423725
src_gss,32_64,2,3,6.680967155658758,52.021833501870354
src_gss,32_64,2,4,8.290725175072598,22.970697257668633
src_gss,32_64,3,4,9.174917649031451,49.790925344949216
src_gss,64_inf,0,1,18.335891117719026,39.46278934410011
src_gss,64_inf,0,2,5.496038708372658,40.039734332235824
src_gss,64_inf,0,3,13.077191958678018,41.57747604552724
src_gss,64_inf,0,4,6.52539934902095,26.408557057130814
src_gss,64_inf,1,2,14.993039368377657,44.973470609598294
src_gss,64_inf,1,3,9.695555390735404,32.87101872025962
src_gss,64_inf,1,4,14.119901917845782,44.58189544065256
src_gss,64_inf,2,3,9.580315276207562,45.41931793987902
src_gss,64_inf,2,4,5.835756941095911,22.946152032659246
src_gss,64_inf,3,4,11.912392910847261,32.62595557790382
proc_gkf,8_16,0,1,13.784032708438007,87.17182044496306
proc_gkf,8_16,0,2,11.02239085328433,87.46419958887232
proc_gkf,8_16,0,3,8.742787393368273,89.07255181995407
proc_gkf,8_16,0,4,10.90146605020858,89.62903564148158
proc_gkf,8_16,1,2,11.84096166308972,38.55414194065667
proc_gkf,8_16,1,3,7.4901343188511955,75.94984650170163
proc_gkf,8_16,1,4,8.009555420200455,80.23056032036381
proc_gkf,8_16,2,3,6.026462862806213,46.56642887919772
proc_gkf,8_16,2,4,8.331103671369195,69.83692113271994
proc_gkf,8_16,3,4,3.664477695038673,25.917044124833357
proc_gkf,16_32,0,1,61.237930241286335,74.76318469652256
proc_gkf,16_32,0,2,70.39192255512121,86.29143084511567
proc_gkf,16_32,0,3,56.351600323423845,83.17612275641439
proc_gkf,16_32,0,4,59.31375962607531,85.95688253535909
proc_gkf,16_32,1,2,12.549863700291782,56.92927173601054
proc_gkf,16_32,1,3,13.4272541780103,28.805095907633913
proc_gkf,16_32,1,4,13.747852320349788,78.83046973793181
proc_gkf,16_32,2,3,18.568388592397962,67.83878854521372
proc_gkf,16_32,2,4,17.175604667804116,77.63828896531432
proc_gkf,16_32,3,4,16.509473436232934,63.0085872619795
proc_gkf,32_64,0,1,60.82160361151707,52.77513302338202
proc_gkf,32_64,0,2,64.7053494507006,55.898267198690036
proc_gkf,32_64,0,3,61.82454584127972,70.01916228392874
proc_gkf,32_64,0,4,68.83775418859001,46.157974024957774
proc_gkf,32_64,1,2,8.446548512718731,49.040818125414745
proc_gkf,32_64,1,3,4.272950187428259,48.49896542097342
proc_gkf,32_64,1,4,9.886200884804186,43.27180428114393
proc_gkf,32_64,2,3,6.713699551316655,87.71322225498953
proc_gkf,32_64,2,4,8.164583721043574,56.10338962840842
proc_gkf,32_64,3,4,7.718815580368825,83.82915380409364
