target_id,family,input_set,model,R2_median,R2_q10,R2_q25,R2_q75,R2_q90,n_folds
DCT_16_32_PC1,D,A,dummy,-0.0479323970921192,-0.10254830684283751,-0.0862452148613093,-0.0116033355218816,-0.004642753686552341,5
DCT_16_32_PC1,D,A,extratrees,-0.9113278085281002,-2.019958989357632,-0.9570728351922512,-0.7990021371185498,-0.4585705693365393,5
DCT_16_32_PC1,D,A,ridge,-0.1277040831765392,-0.6033306957913027,-0.2182077507814559,-0.0406526654134218,-0.02692462236397908,5
DCT_16_32_PC1,D,C,dummy,-0.0479323970921192,-0.10254830684283751,-0.0862452148613093,-0.0116033355218816,-0.004642753686552341,5
DCT_16_32_PC1,D,C,extratrees,-0.716099294663791,-1.9553074255593488,-1.288638901781372,-0.4625762069239636,-0.32740398734758824,5
DCT_16_32_PC1,D,C,ridge,-0.1953591509410492,-0.40783678038622445,-0.2282315152696339,-0.0568140723128556,-0.041108954125456496,5
DCT_16_32_PC1,D,R,dummy,-0.0479323970921192,-0.10254830684283751,-0.0862452148613093,-0.0116033355218816,-0.004642753686552341,5
DCT_16_32_PC1,D,R,extratrees,-0.1473336384047048,-2.233797423645284,-1.5647915996283484,-0.1134685158025476,0.006138456159906311,5
DCT_16_32_PC1,D,R,ridge,-0.1027793016426306,-0.3061736902327442,-0.1368004492745187,-0.065382925391404,-0.03817262766430486,5
DCT_16_32_PC2,D,A,dummy,-0.0191429117039367,-0.10127853252204655,-0.0203993443545837,-0.0105740002158669,-0.00475840227887124,5
DCT_16_32_PC2,D,A,extratrees,-0.9352630919001864,-3.139352948880254,-2.865872313981703,-0.2810654392245615,-0.21697507264534174,5
DCT_16_32_PC2,D,A,ridge,-0.0353078456143407,-1.0179155305767136,-0.4018147140182013,-0.0199652517718069,-0.006460508142882518,5
DCT_16_32_PC2,D,C,dummy,-0.0191429117039367,-0.10127853252204655,-0.0203993443545837,-0.0105740002158669,-0.00475840227887124,5
DCT_16_32_PC2,D,C,extratrees,-0.2274333100057308,-2.9571575788619007,-2.7613258049068934,-0.1071410250634028,-0.05120008298463433,5
DCT_16_32_PC2,D,C,ridge,-0.0016567150346986,-0.636299815300486,-0.6156380806242403,0.0069989089191917,0.07002695087447727,5
DCT_16_32_PC2,D,R,dummy,-0.0191429117039367,-0.10127853252204655,-0.0203993443545837,-0.0105740002158669,-0.00475840227887124,5
DCT_16_32_PC2,D,R,extratrees,-0.4691916164382641,-6.638354490102668,-4.6795079691979495,-0.1077491880926742,0.10554080257522414,5
DCT_16_32_PC2,D,R,ridge,0.0273357345777812,-1.2510933372195736,-0.6681754880569788,0.0653073662602449,0.08452394465532816,5
DCT_16_32_PC3,D,A,dummy,-0.0019370820872102,-0.029405067807614642,-0.0104703617105703,-0.0012337985395025,-0.000496213161081835,5
DCT_16_32_PC3,D,A,extratrees,-0.676706939944175,-1.259016658297128,-0.8234164889622335,-0.3191610848217261,-0.30422651896027475,5
DCT_16_32_PC3,D,A,ridge,0.002510100701048,-0.02927448221492158,-0.025283403893527,0.0345541114506434,0.08438909856102836,5
DCT_16_32_PC3,D,C,dummy,-0.0019370820872102,-0.029405067807614642,-0.0104703617105703,-0.0012337985395025,-0.000496213161081835,5
DCT_16_32_PC3,D,C,extratrees,-0.2435125527696771,-1.039629754704068,-0.4863050905881454,-0.1762409044550148,-0.15199177572093564,5
DCT_16_32_PC3,D,C,ridge,0.0006658773193208,-0.034124844656130277,-0.0103658323356199,0.0417684746113159,0.08565142586542097,5
DCT_16_32_PC3,D,R,dummy,-0.0019370820872102,-0.029405067807614642,-0.0104703617105703,-0.0012337985395025,-0.000496213161081835,5
DCT_16_32_PC3,D,R,extratrees,-0.3160859306502916,-0.9684044658590184,-0.4272274575921886,0.0966844388503789,0.21509756879947745,5
DCT_16_32_PC3,D,R,ridge,0.0542302418032891,-0.04433068052552286,0.0098444452394256,0.0804525159212704,0.09110185036186462,5
DCT_32_64_PC1,D,A,dummy,-0.0280923382293929,-0.1818785604547289,-0.0575312532511242,-0.0116710064928615,-0.005253919645526758,5
DCT_32_64_PC1,D,A,extratrees,-0.0192427833125858,-2.893199044086749,-0.4593651047258351,0.1978850500704547,0.26742625147860966,5
DCT_32_64_PC1,D,A,ridge,0.0726444185828638,-0.7099928528033619,-0.0061899259465401,0.118175590253362,0.12790245589035112,5
DCT_32_64_PC1,D,C,dummy,-0.0280923382293929,-0.1818785604547289,-0.0575312532511242,-0.0116710064928615,-0.005253919645526758,5
DCT_32_64_PC1,D,C,extratrees,-0.0352785210813577,-2.7658594656661517,-0.311624529585347,0.2193030617666208,0.3523640968765295,5
DCT_32_64_PC1,D,C,ridge,0.015872482046821,-0.581671496046134,-0.0006919774148701,0.1103871452275283,0.11270357619890913,5
DCT_32_64_PC1,D,R,dummy,-0.0280923382293929,-0.1818785604547289,-0.0575312532511242,-0.0116710064928615,-0.005253919645526758,5
DCT_32_64_PC1,D,R,extratrees,-0.0922881164329778,-1.646648288205089,-1.2549355597193983,-0.0147905688613969,0.1848844921308742,5
DCT_32_64_PC1,D,R,ridge,-0.0090530490285283,-0.8035035139999723,-0.020928987020119,0.0153051962512708,0.05445163103901611,5
DCT_32_64_PC2,D,A,dummy,-0.1495776340513015,-0.25927403541063815,-0.2319204473019929,-0.0048207456436335,-0.00397106563006542,5
DCT_32_64_PC2,D,A,extratrees,-1.3017991857583389,-1.940712291671979,-1.3822666200454452,-0.8587477987756078,-0.47442755438206935,5
DCT_32_64_PC2,D,A,ridge,-0.1914498412175826,-0.43272560853384684,-0.3769314016770109,-0.0575274732731831,0.019820211847501074,5
DCT_32_64_PC2,D,C,dummy,-0.1495776340513015,-0.25927403541063815,-0.2319204473019929,-0.0048207456436335,-0.00397106563006542,5
DCT_32_64_PC2,D,C,extratrees,-1.2024823315295117,-2.5954416858842446,-1.549458023590094,-0.9497658437645786,-0.3843314445091186,5
DCT_32_64_PC2,D,C,ridge,-0.3550758512307179,-0.7995144987431073,-0.4484822108562849,-0.0521777900301017,0.0259856760416821,5
DCT_32_64_PC2,D,R,dummy,-0.1495776340513015,-0.25927403541063815,-0.2319204473019929,-0.0048207456436335,-0.00397106563006542,5
DCT_32_64_PC2,D,R,extratrees,-1.5308761180072263,-2.3961220395489895,-1.7358453745040574,-0.5326057211607147,-0.22769944389131438,5
DCT_32_64_PC2,D,R,ridge,-0.2950616688478606,-1.069163108628738,-0.93308004312366,-0.0058532835556059,0.020661697490606763,5
DCT_32_64_PC3,D,A,dummy,-0.0353134390232072,-0.07437023954623838,-0.0479655646719503,-0.0136688016350545,-0.012157590075158979,5
DCT_32_64_PC3,D,A,extratrees,-0.3137968486604932,-1.1110481636216607,-0.4442556020594919,-0.0407931397487866,-0.018680100331540418,5
DCT_32_64_PC3,D,A,ridge,-0.0362508112897046,-0.44836320460312595,-0.1215730249391635,-0.0148073214658626,0.01615366722884755,5
DCT_32_64_PC3,D,C,dummy,-0.0353134390232072,-0.07437023954623838,-0.0479655646719503,-0.0136688016350545,-0.012157590075158979,5
DCT_32_64_PC3,D,C,extratrees,-0.5161107747713736,-1.273630711867502,-0.6350296277513141,-0.1940449327520632,-0.18287914152130497,5
DCT_32_64_PC3,D,C,ridge,-0.0362658979149468,-0.3106642865640739,-0.2830751465010634,-0.0357020862609402,0.011338514230562771,5
DCT_32_64_PC3,D,R,dummy,-0.0353134390232072,-0.07437023954623838,-0.0479655646719503,-0.0136688016350545,-0.012157590075158979,5
DCT_32_64_PC3,D,R,extratrees,-0.6700517481965287,-1.7540021149378815,-1.295558629456099,-0.1120130329181308,-0.1071812656352548,5
DCT_32_64_PC3,D,R,ridge,-0.0355271593315218,-0.19704393388274008,-0.1268158312009735,-0.0184916272208854,-0.0084031571102731,5
DCT_64_inf_PC1,D,A,dummy,-0.029158736159182,-0.11139105810356764,-0.0730452415372453,-0.0179879318441498,-0.017168824619044818,5
DCT_64_inf_PC1,D,A,extratrees,-0.3282488720023184,-0.8592334190090792,-0.4855073435071682,-0.09306521990797,-0.084859748039002,5
DCT_64_inf_PC1,D,A,ridge,-0.0516454770062151,-0.2721071395282517,-0.0805751214148136,0.0258675249636688,0.03141111677384452,5
DCT_64_inf_PC1,D,C,dummy,-0.029158736159182,-0.11139105810356764,-0.0730452415372453,-0.0179879318441498,-0.017168824619044818,5
DCT_64_inf_PC1,D,C,extratrees,-0.272539972186463,-1.0947045143803218,-0.2834930619537699,-0.1241188838054681,-0.122937054020684,5
DCT_64_inf_PC1,D,C,ridge,-0.0697081796839309,-0.32408533391511785,-0.0850220201544258,0.0057908206363037,0.028233516845456122,5
DCT_64_inf_PC1,D,R,dummy,-0.029158736159182,-0.11139105810356764,-0.0730452415372453,-0.0179879318441498,-0.017168824619044818,5
DCT_64_inf_PC1,D,R,extratrees,-0.4595801751510977,-1.2076274994531617,-0.5564190934399003,-0.4243526143039469,-0.12859884630639634,5
DCT_64_inf_PC1,D,R,ridge,-0.0677167725266822,-0.4163019850708993,-0.0777446363515459,-0.0577604563652101,-0.022369569994447835,5
DCT_64_inf_PC2,D,A,dummy,-0.0149311730555945,-0.06795532342256626,-0.0482159459946514,-0.003885604460637,-0.0017927628144948596,5
DCT_64_inf_PC2,D,A,extratrees,-0.0177016114131016,-0.45476877033582697,-0.1618561094838717,0.2349923911424027,0.29895380656806936,5
DCT_64_inf_PC2,D,A,ridge,0.0366876176836402,-0.24028915621897184,-0.043824212546341,0.0674036240436184,0.09515836708134394,5
