arm,target_id,input_set,model,fold,R2
repaired,median_depth_um,A,ridge,0,0.7371758155982598
repaired,median_depth_um,A,extratrees,0,0.9656863752407387
repaired,Sq_um,A,ridge,0,0.22852042533262418
repaired,Sq_um,A,extratrees,0,0.1908589130496846
repaired,rms_DCT_8_16_um,A,ridge,0,0.20551462339007887
repaired,rms_DCT_8_16_um,A,extratrees,0,0.4076448611185298
repaired,rms_DCT_16_32_um,A,ridge,0,0.38972471139441933
repaired,rms_DCT_16_32_um,A,extratrees,0,0.47524213715931407
repaired,rms_DCT_32_64_um,A,ridge,0,0.3597129444209197
repaired,rms_DCT_32_64_um,A,extratrees,0,0.27334049042529296
repaired,rms_DCT_64_inf_um,A,ridge,0,0.1501550007774447
repaired,rms_DCT_64_inf_um,A,extratrees,0,0.10289038460873756
repaired,median_depth_um,R,ridge,0,0.42476957753573075
repaired,median_depth_um,R,extratrees,0,0.8172070242671838
repaired,Sq_um,R,ridge,0,0.26200850637606554
repaired,Sq_um,R,extratrees,0,0.3244834128076969
repaired,rms_DCT_8_16_um,R,ridge,0,0.2692751688548597
repaired,rms_DCT_8_16_um,R,extratrees,0,0.6545898106731841
repaired,rms_DCT_16_32_um,R,ridge,0,0.2159993317540243
repaired,rms_DCT_16_32_um,R,extratrees,0,0.6453798610374175
repaired,rms_DCT_32_64_um,R,ridge,0,0.1924657410772771
repaired,rms_DCT_32_64_um,R,extratrees,0,0.4912366042372689
repaired,rms_DCT_64_inf_um,R,ridge,0,0.2291144934691023
repaired,rms_DCT_64_inf_um,R,extratrees,0,0.03582073197350566
repaired,median_depth_um,A,ridge,1,0.5294968979250811
repaired,median_depth_um,A,extratrees,1,0.9019736588875797
repaired,Sq_um,A,ridge,1,-0.08552695577887692
repaired,Sq_um,A,extratrees,1,-0.18998336014917072
repaired,rms_DCT_8_16_um,A,ridge,1,0.10217486732416547
repaired,rms_DCT_8_16_um,A,extratrees,1,0.2667313935962615
repaired,rms_DCT_16_32_um,A,ridge,1,0.24135742310064479
repaired,rms_DCT_16_32_um,A,extratrees,1,0.1572480373640438
repaired,rms_DCT_32_64_um,A,ridge,1,0.12126633307512014
repaired,rms_DCT_32_64_um,A,extratrees,1,-0.043002810016472326
repaired,rms_DCT_64_inf_um,A,ridge,1,-0.08292615617766863
repaired,rms_DCT_64_inf_um,A,extratrees,1,-0.3337481936451949
repaired,median_depth_um,R,ridge,1,0.5511736153427806
repaired,median_depth_um,R,extratrees,1,0.7156461164485336
repaired,Sq_um,R,ridge,1,0.12760264047174508
repaired,Sq_um,R,extratrees,1,0.05266383527163254
repaired,rms_DCT_8_16_um,R,ridge,1,0.1416416307849354
repaired,rms_DCT_8_16_um,R,extratrees,1,0.16797066130030136
repaired,rms_DCT_16_32_um,R,ridge,1,0.2696743051117443
repaired,rms_DCT_16_32_um,R,extratrees,1,0.3646410650424319
repaired,rms_DCT_32_64_um,R,ridge,1,0.16549092733781434
repaired,rms_DCT_32_64_um,R,extratrees,1,0.1674966627189467
repaired,rms_DCT_64_inf_um,R,ridge,1,0.089725244331602
repaired,rms_DCT_64_inf_um,R,extratrees,1,-0.1242800452268753
repaired,median_depth_um,A,ridge,2,0.5963747001560282
repaired,median_depth_um,A,extratrees,2,0.9316497138703512
repaired,Sq_um,A,ridge,2,0.07553542389720669
repaired,Sq_um,A,extratrees,2,0.10650873788341153
repaired,rms_DCT_8_16_um,A,ridge,2,0.07030750204550396
repaired,rms_DCT_8_16_um,A,extratrees,2,0.24325594038223575
repaired,rms_DCT_16_32_um,A,ridge,2,0.14868661082554702
repaired,rms_DCT_16_32_um,A,extratrees,2,0.18905340296870188
repaired,rms_DCT_32_64_um,A,ridge,2,0.08476798013227305
repaired,rms_DCT_32_64_um,A,extratrees,2,0.06242639933537719
repaired,rms_DCT_64_inf_um,A,ridge,2,0.16603279863274045
repaired,rms_DCT_64_inf_um,A,extratrees,2,0.16264314143692749
repaired,median_depth_um,R,ridge,2,0.6045370835433506
repaired,median_depth_um,R,extratrees,2,0.8080698931528247
repaired,Sq_um,R,ridge,2,0.14988758433984972
repaired,Sq_um,R,extratrees,2,0.1456630983501236
repaired,rms_DCT_8_16_um,R,ridge,2,0.08558902914130762
repaired,rms_DCT_8_16_um,R,extratrees,2,0.17490155504724314
repaired,rms_DCT_16_32_um,R,ridge,2,0.1400479236331369
repaired,rms_DCT_16_32_um,R,extratrees,2,0.23566853086362993
repaired,rms_DCT_32_64_um,R,ridge,2,0.05830572494922692
repaired,rms_DCT_32_64_um,R,extratrees,2,0.11965106357096256
repaired,rms_DCT_64_inf_um,R,ridge,2,0.16647992292639835
repaired,rms_DCT_64_inf_um,R,extratrees,2,0.17513532391714948
repaired,median_depth_um,A,ridge,3,0.5421738631222122
repaired,median_depth_um,A,extratrees,3,0.9085457251648902
repaired,Sq_um,A,ridge,3,-0.18082811229671436
repaired,Sq_um,A,extratrees,3,-0.962303206094465
repaired,rms_DCT_8_16_um,A,ridge,3,0.17903578627885153
repaired,rms_DCT_8_16_um,A,extratrees,3,0.1626578901157385
repaired,rms_DCT_16_32_um,A,ridge,3,0.02829517027631334
repaired,rms_DCT_16_32_um,A,extratrees,3,-0.3227947153302202
repaired,rms_DCT_32_64_um,A,ridge,3,-0.034295653692538286
repaired,rms_DCT_32_64_um,A,extratrees,3,-1.0350460614273826
repaired,rms_DCT_64_inf_um,A,ridge,3,-0.2519499092318711
repaired,rms_DCT_64_inf_um,A,extratrees,3,-1.0037375455360764
repaired,median_depth_um,R,ridge,3,0.6618818786671983
repaired,median_depth_um,R,extratrees,3,0.8892211731324223
repaired,Sq_um,R,ridge,3,-0.23205689779509142
repaired,Sq_um,R,extratrees,3,-0.6413478320883448
repaired,rms_DCT_8_16_um,R,ridge,3,0.06623817592935233
repaired,rms_DCT_8_16_um,R,extratrees,3,0.03263035732290376
repaired,rms_DCT_16_32_um,R,ridge,3,0.08388255319063709
repaired,rms_DCT_16_32_um,R,extratrees,3,-0.027010373524527287
repaired,rms_DCT_32_64_um,R,ridge,3,0.09144019696669192
repaired,rms_DCT_32_64_um,R,extratrees,3,-0.5470711502984293
repaired,rms_DCT_64_inf_um,R,ridge,3,-0.4271455098693895
repaired,rms_DCT_64_inf_um,R,extratrees,3,-0.6011165772832605
repaired,median_depth_um,A,ridge,4,0.5070723771205116
repaired,median_depth_um,A,extratrees,4,0.876218458690718
