arm,target_id,input_set,model,R2_med_arm,baseline_target_id,R2_med_base,dR2,sensitivity
dog,DoG_16_32,A,extratrees,0.09625783772874863,DoG_16_32,,,strong
dog,DoG_16_32,A,ridge,0.1299018167993633,DoG_16_32,,,strong
dog,DoG_16_32,R,extratrees,0.17600039862362427,DoG_16_32,,,strong
dog,DoG_16_32,R,ridge,0.11789516188097648,DoG_16_32,,,strong
dog,DoG_32_64,A,extratrees,0.061261971655410585,DoG_32_64,,,strong
dog,DoG_32_64,A,ridge,0.18408355854687963,DoG_32_64,,,strong
dog,DoG_32_64,R,extratrees,0.18859537464028786,DoG_32_64,,,strong
dog,DoG_32_64,R,ridge,0.12107085543494456,DoG_32_64,,,strong
dog,DoG_64_inf,A,extratrees,0.08166631755055698,DoG_64_inf,,,strong
dog,DoG_64_inf,A,ridge,0.09958378607270657,DoG_64_inf,,,strong
dog,DoG_64_inf,R,extratrees,0.0201271084353285,DoG_64_inf,,,strong
dog,DoG_64_inf,R,ridge,0.09773976469190371,DoG_64_inf,,,strong
dog,DoG_8_16,A,extratrees,0.18063014226014817,DoG_8_16,,,strong
dog,DoG_8_16,A,ridge,0.15083524607452659,DoG_8_16,,,strong
dog,DoG_8_16,R,extratrees,0.15119982400414655,DoG_8_16,,,strong
dog,DoG_8_16,R,ridge,0.0874975835276236,DoG_8_16,,,strong
dog,Sq_um,A,extratrees,0.01815707453051374,Sq_um,0.0338103240026558,-0.015653249472142063,stable
dog,Sq_um,A,ridge,0.07789260638234718,Sq_um,0.0778926063823471,8.326672684688674e-17,stable
dog,Sq_um,R,extratrees,0.04717928769102897,Sq_um,0.0511181356604431,-0.003938847969414128,stable
dog,Sq_um,R,ridge,0.12677136503197617,Sq_um,0.1267713650319761,5.551115123125783e-17,stable
dog,median_depth_um,A,extratrees,0.9085457251648902,median_depth_um,0.9100104991988768,-0.0014647740339865933,stable
dog,median_depth_um,A,ridge,0.5421738631222122,median_depth_um,0.5421738631222122,0.0,stable
dog,median_depth_um,R,extratrees,0.8172070242671838,median_depth_um,0.8201221052431125,-0.00291508097592863,stable
dog,median_depth_um,R,ridge,0.6045370835433506,median_depth_um,0.6045370835433506,0.0,stable
exclude_artifact_yes,E_DCT_8_16_frac,A,extratrees,0.5736211210006206,E_DCT_8_16_frac,0.626451115117141,-0.05282999411652045,moderate
exclude_artifact_yes,E_DCT_8_16_frac,A,ridge,0.40769174152093157,E_DCT_8_16_frac,0.4175997250405951,-0.009907983519663544,stable
exclude_artifact_yes,E_DCT_8_16_frac,R,extratrees,0.36490608649021183,E_DCT_8_16_frac,0.3657456608505888,-0.0008395743603769601,stable
exclude_artifact_yes,E_DCT_8_16_frac,R,ridge,0.040867928141004706,E_DCT_8_16_frac,0.036318947146204,0.004548980994800708,stable
exclude_artifact_yes,Sq_um,A,extratrees,0.11510642708904095,Sq_um,0.0338103240026558,0.08129610308638516,moderate
exclude_artifact_yes,Sq_um,A,ridge,0.10465580265149677,Sq_um,0.0778926063823471,0.026763196269149664,stable
exclude_artifact_yes,Sq_um,R,extratrees,0.1460531079996059,Sq_um,0.0511181356604431,0.09493497233916282,moderate
