metric,D_to_metric__given_N_Q,N_to_metric__given_D_Q,Q_to_metric__given_D_N,metric_to_D__given_N_Q,metric_to_D_std_beta__given_N_Q,metric_to_D_partial_spearman__given_N_Q
A2_16_32,0.027180218257603216,0.006282255540796834,0.07449017461770055,0.027180218257603098,0.13193718546431815,0.17187000614160017
A2_32_64,0.004619702610616371,0.006140681125493279,0.0045857042084156046,0.004619702610616511,-0.05327043350740524,-0.09069031937600436
A2_8_16,0.007018255095398048,0.04980855082955478,0.1843961394773312,0.00701825509539792,-0.0743763884185651,-0.011365792444244021
E_DCT_16_32_frac,0.1296507575783417,0.000518959438732458,0.004647790227444169,0.1296507575783413,0.28549988621802463,0.38783910315930337
E_DCT_32_64_frac,0.21113921706591432,0.029529432353035272,0.02390912416682805,0.2111392170659143,0.38416571844272096,0.49154900605337043
E_DCT_64_inf_frac,0.015099999810396727,0.004011426043125813,9.531010232900743e-06,0.015099999810396614,0.09720619063642161,0.18796783267641892
E_DCT_8_16_frac,0.11953797479153633,0.009111736272616192,0.021546874519419126,0.11953797479153623,-0.2862491720659062,-0.286093556893859
Sa_um,0.12036139075934726,0.02156965681101686,0.016150540348453375,0.12036139075934721,0.2701804895451423,0.45863564873708684
Sq_um,0.1487374263935147,0.03189358160690145,0.004517996617458381,0.1487374263935145,0.30107389861470657,0.510206345841111
angular_entropy_8_16,0.043321297711699784,0.05937627138733276,0.17364662110038764,0.043321297711699645,0.18713381221654593,0.03321371110151143
dc_offset_frac,0.05909109245027863,0.02046197976868392,0.003645021862113636,0.0590910924502787,0.19149514940810955,0.259425487823383
dc_to_non_dc_ratio,0.05542463818861293,0.025035005395267547,0.0044986893601185836,0.05542463818861288,0.18548304478920924,0.259425487823383
effective_band_number,0.011830777552972079,0.0587592363175473,0.09825756237197683,0.011830777552972047,0.09084060685232401,0.05051781976244359
lambda_peak_um,0.029945669069713132,0.0016611334216307182,0.008901293173038272,0.02994566906971308,0.13783371517027793,0.2562476591028137
p_16_32,0.13948288105305648,0.0008040542640109933,0.004505179632653682,0.13948288105305648,0.2964579200478999,0.401132703514563
p_32_64,0.21760680054799134,0.03280341175910472,0.024795057434846147,0.21760680054799125,0.39020253220235224,0.4997470166863978
p_64_inf,0.01039045236268705,0.005300229099712924,1.8077944214475208e-07,0.010390452362687048,0.08052962556819694,0.17126852409380489
p_8_16,0.11758836812343748,0.009155705563681987,0.021464434754409463,0.11758836812343747,-0.2836754092460096,-0.28152374663620744
p_lt8,0.18036909669682955,0.03099367887939884,0.05613339211615026,0.18036909669682963,-0.35132360684546565,-0.4234192245253096
rms_DCT_16_32_um,0.256142913622435,0.035107010875227274,0.018900509957075907,0.2561429136224351,0.39526081841352356,0.6253868789778153
rms_DCT_32_64_um,0.19244882143600534,0.03587996987439478,0.0009403487087100245,0.1924488214360054,0.34513857207770954,0.5969259586282651
rms_DCT_64_inf_um,0.10739950220763941,0.0237227663740029,0.000514018896737955,0.10739950220763939,0.2563913927899106,0.49223133746315406
rms_DCT_8_16_um,0.11935344297054995,0.031077519080259117,0.04303457791669164,0.11935344297054966,0.2720328114987905,0.4282962150386343
spectral_centroid_log_um,0.12566298920783048,0.00013581172727648465,0.0003151366190635658,0.12566298920783064,0.28958662531984647,0.3990487383229952
spectral_entropy,0.032000397423027654,0.058738154460879606,0.07027106609151695,0.032000397423027745,0.1476721893286552,0.05051781976244359
