dataset_index,band,orientation_bin,orientation_center_deg,power_fraction
0,8_16,0,2.5,0.03129205671996106
0,8_16,1,7.499999999999999,0.012002584012601136
0,8_16,2,12.499999999999998,0.002664771440167572
0,8_16,3,17.5,0.010981587627184118
0,8_16,4,22.5,0.035584078834567566
0,8_16,5,27.5,0.0457874572392408
0,8_16,6,32.5,0.04102632598781616
0,8_16,7,37.49999999999999,0.057985032182815435
0,8_16,8,42.5,0.01646067333690125
0,8_16,9,47.5,0.07343998470332651
0,8_16,10,52.5,0.024742114972390233
0,8_16,11,57.49999999999999,0.011962251144370438
0,8_16,12,62.50000000000001,0.013799250542710088
0,8_16,13,67.5,0.03460518408464893
0,8_16,14,72.5,0.03906687237406119
0,8_16,15,77.5,0.017957388184965648
0,8_16,16,82.49999999999999,0.040676552139820125
0,8_16,17,87.50000000000001,0.0
0,8_16,18,92.5,0.012349038732805538
0,8_16,19,97.5,0.015494362516903101
0,8_16,20,102.5,0.062160467435840944
0,8_16,21,107.5,0.015385138808968895
0,8_16,22,112.5,0.04384303628520289
0,8_16,23,117.5,0.013753021395804664
0,8_16,24,122.49999999999999,0.025107344656766856
0,8_16,25,127.5,0.019604560779209034
0,8_16,26,132.5,0.0009173346999316637
0,8_16,27,137.5,0.04713892320069367
0,8_16,28,142.5,0.029950374245296486
0,8_16,29,147.5,0.028127381262293943
0,8_16,30,152.5,0.05673798534655348
0,8_16,31,157.5,0.03915355239689864
0,8_16,32,162.5,0.030285976566064826
0,8_16,33,167.5,0.03313473651385874
0,8_16,34,172.5,0.016822599629358382
0,8_16,35,177.5,0.0
0,16_32,0,2.5,0.09657882882831188
0,16_32,1,7.499999999999999,0.0
0,16_32,2,12.499999999999998,0.005414481982927962
0,16_32,3,17.5,0.009396846651770974
0,16_32,4,22.5,0.0
0,16_32,5,27.5,0.008901391157719069
0,16_32,6,32.5,0.006320266188660176
0,16_32,7,37.49999999999999,0.013137207735165971
0,16_32,8,42.5,0.0
0,16_32,9,47.5,0.01944529994298939
0,16_32,10,52.5,0.002837975228896915
0,16_32,11,57.49999999999999,0.035723334791937046
0,16_32,12,62.50000000000001,0.020051056949322833
0,16_32,13,67.5,0.0
0,16_32,14,72.5,0.11048729506583642
0,16_32,15,77.5,0.05120676423941852
0,16_32,16,82.49999999999999,0.0
0,16_32,17,87.50000000000001,0.0
0,16_32,18,92.5,0.18648829734599023
