dataset_index,model,target,fold,y_true,y_pred,abs_error,norm_abs_error
0,extratrees,A2_8_16,4,0.036720770646403,0.158322981858532,0.121602211212129,0.2256792127749113
1,extratrees,A2_8_16,3,0.1961232572137329,0.2016527701253904,0.005529512911657514,0.01055701533600208
2,extratrees,A2_8_16,2,0.2995539380411224,0.4331273186686638,0.13357338062754137,0.24085772968521185
3,extratrees,A2_8_16,1,0.6848565322463434,0.7849098250527653,0.10005329280642195,0.17766151800863295
4,extratrees,A2_8_16,0,0.7663973995223651,0.6134071041486749,0.15299029537369013,0.2743176404542261
5,extratrees,A2_8_16,4,0.9554864475023206,0.9380665713596352,0.017419876142685364,0.032329214208611116
6,extratrees,A2_8_16,3,0.9570384606388984,0.9202519950589136,0.03678646557998477,0.07023318102150872
7,extratrees,A2_8_16,2,0.9327131526105767,0.9164032571510624,0.016309895459514334,0.029409784893710936
8,extratrees,A2_8_16,1,0.2122197834193548,0.2591893981013368,0.04696961468198199,0.08340248292303967
9,extratrees,A2_8_16,0,0.4145163931252033,0.4214842141499061,0.006967821024702836,0.012493578222952656
10,extratrees,A2_8_16,4,0.4833962749584012,0.3347362088793981,0.14866006607900312,0.2758953669456743
11,extratrees,A2_8_16,3,0.814635835404978,0.6025293293011663,0.21210650610381165,0.4049563991582285
12,extratrees,A2_8_16,2,0.5767620748559564,0.601872945987321,0.025110871131364565,0.04527958626714082
13,extratrees,A2_8_16,1,0.9553992553647612,0.9229356744991812,0.03246358086557999,0.05764457015656321
14,extratrees,A2_8_16,0,0.1174318430190041,0.7649469469786955,0.6475151039596914,1.1610201486495184
15,extratrees,A2_8_16,4,0.3098334398959712,0.4033413924115694,0.09350795251559824,0.1735396166036916
16,extratrees,A2_8_16,3,0.6126238653005717,0.3038455965608052,0.3087782687397665,0.5895233396846782
17,extratrees,A2_8_16,2,0.1832275618522172,0.2307595885525195,0.04753202670030229,0.0857091134819353
18,extratrees,A2_8_16,1,0.1760543368890682,0.2976185993014967,0.12156426241242849,0.21585787723725589
19,extratrees,A2_8_16,0,0.2274017509359163,0.3427019692007216,0.1153002182648053,0.206737843998554
20,extratrees,A2_8_16,4,0.4099374185918524,0.3236320017394568,0.08630541685239562,0.16017256873299746
21,extratrees,A2_8_16,3,0.373194618850939,0.3159450723315886,0.057249546519350436,0.10930155155434446
22,extratrees,A2_8_16,2,0.1987831093144119,0.3351279251039983,0.1363448157895864,0.24585514442431516
23,extratrees,A2_8_16,1,0.3935202088388078,0.5805224540794988,0.18700224524069098,0.33205406667386944
24,extratrees,A2_8_16,0,0.1397929970599265,0.1888554159180747,0.04906241885814819,0.08797085425105099
25,extratrees,A2_8_16,4,0.6984861392748491,0.8787312326913589,0.18024509341650974,0.33451341372253723
26,extratrees,A2_8_16,3,0.3277592868738584,0.1422323472379233,0.1855269396359351,0.35421035781449883
27,extratrees,A2_8_16,2,0.4289387730949569,0.2883482470674939,0.14059052602746303,0.25351095222068815
28,extratrees,A2_8_16,1,0.3652046962555679,0.2608129346624228,0.10439176159314512,0.185365202004057
29,extratrees,A2_8_16,0,0.6757951785952275,0.2823612615751449,0.3934339170200826,0.7054425480256504
30,extratrees,A2_8_16,4,0.8450779829639314,0.7173214963966807,0.1277564865672507,0.23710081443412
31,extratrees,A2_8_16,3,0.6693348850193571,0.2894160366543035,0.37991884836505363,0.725345825700197
32,extratrees,A2_8_16,2,0.1659664491631545,0.2489288351811337,0.0829623860179792,0.14959666253620696
33,extratrees,A2_8_16,1,0.4896822762180565,0.4417839398429304,0.04789833637512608,0.08505158512830899
34,extratrees,A2_8_16,0,0.220501840489784,0.7054291423940986,0.4849273019043146,0.8694937997557587
35,extratrees,A2_8_16,4,0.7921170240517623,0.3277814488709593,0.46433557518080304,0.8617514930496353
36,extratrees,A2_8_16,3,0.7663044136600492,0.6331425953089618,0.13316181835108742,0.2542342121199526
37,extratrees,A2_8_16,2,0.3403376777563502,0.4885400237918437,0.14820234603549348,0.2672364840391788
38,extratrees,A2_8_16,1,0.0787764532597981,0.4225240008074354,0.3437475475476373,0.6103818214880194
39,extratrees,A2_8_16,0,0.3810750157115334,0.2616444952531198,0.11943052045841362,0.21414363891741522
40,extratrees,A2_8_16,4,0.5800957967821603,0.4210637072506729,0.1590320895314874,0.2951446064480403
