dataset_index,pulse_fluence_proxy_j_cm2,incubation_threshold_j_cm2,log_fluence_margin_proxy,delta_eff_tau_um,scan_spacing_um,areal_dose_proxy_j_mm2
0,111120.26794820171,8.286030087683958,9.503797413970618,0.0450921,5.5,969.6909090909091
1,111120.26794820171,6.599988685442026,9.731300454062282,0.0450921,4.5,740.7361111111111
2,111120.26794820171,10.40278974499568,9.276294373878956,0.0450921,3.5,380.95000000000005
3,111120.26794820171,10.40278974499568,9.276294373878956,0.0450921,4.5,222.22083333333336
4,111120.26794820171,6.599988685442026,9.731300454062282,0.0450921,3.5,476.1875
5,111120.26794820171,13.060299484,9.048791333787294,0.0450921,3.5,152.38
6,111120.26794820171,6.599988685442026,9.731300454062282,0.0450921,2.5,533.33
7,111120.26794820171,6.599988685442026,9.731300454062282,0.0450921,5.5,242.4227272727273
8,22224.053589640345,8.286030087683958,7.894359501536519,0.0450921,0.3,3555.5333333333333
9,22224.053589640345,16.3967,7.211850381261531,0.0450921,0.3,444.44166666666666
10,22224.053589640345,8.286030087683958,7.894359501536519,0.0450921,0.3,1185.177777777778
11,22224.053589640345,8.286030087683958,7.894359501536519,0.0450921,1.1,242.4227272727273
12,22224.053589640345,6.599988685442026,8.12186254162818,0.0450921,0.7,476.1875
13,22224.053589640345,13.060299484,7.439353421353193,0.0450921,0.9,118.51777777777778
14,4444.810717928069,16.3967,5.60241246882743,0.0450921,0.14,95.2375
15,4444.810717928069,8.286030087683958,6.284921589102418,0.0450921,0.22,242.4227272727273
16,2222.4053589640343,13.060299484,5.136768328359147,0.0450921,0.03,1777.7666666666667
17,2222.4053589640343,16.3967,4.909265288267485,0.0450921,0.09,148.14722222222224
18,2222.4053589640343,16.3967,4.909265288267485,0.0450921,0.11,121.21136363636364
19,2222.4053589640343,6.599988685442026,5.819277448634136,0.0450921,0.03,2222.2083333333335
20,2222.4053589640343,10.40278974499568,5.36427136845081,0.0450921,0.03,888.8833333333334
21,2222.4053589640343,10.40278974499568,5.36427136845081,0.0450921,0.11,242.4227272727273
22,1111.2026794820172,8.286030087683958,4.898627227982527,0.0450921,0.015,888.8833333333333
23,1111.2026794820172,6.599988685442026,5.12613026807419,0.0450921,0.055,242.4227272727273
24,111120.26794820171,10.40278974499568,9.276294373878956,0.0284155,3.5,1142.8500000000001
25,111120.26794820171,16.3967,8.82128829369563,0.0284155,5.5,48.484545454545454
26,22224.053589640345,8.286030087683958,7.894359501536519,0.0284155,0.7,1523.8
27,22224.053589640345,16.3967,7.211850381261531,0.0284155,0.9,148.14722222222224
28,22224.053589640345,8.286030087683958,7.894359501536519,0.0284155,0.7,761.9
29,22224.053589640345,13.060299484,7.439353421353193,0.0284155,0.7,253.96666666666667
30,22224.053589640345,13.060299484,7.439353421353193,0.0284155,0.9,148.14722222222224
31,4444.810717928069,13.060299484,5.829915508919092,0.0284155,0.06,888.8833333333333
32,4444.810717928069,6.599988685442026,6.512424629194081,0.0284155,0.22,606.0568181818181
33,4444.810717928069,10.40278974499568,6.057418549010755,0.0284155,0.06,888.8833333333334
34,4444.810717928069,16.3967,5.60241246882743,0.0284155,0.22,60.60568181818182
35,4444.810717928069,6.599988685442026,6.512424629194081,0.0284155,0.1,666.6625
36,4444.810717928069,10.40278974499568,6.057418549010755,0.0284155,0.22,145.45363636363638
37,2222.4053589640343,13.060299484,5.136768328359147,0.0284155,0.09,592.588888888889
38,2222.4053589640343,16.3967,4.909265288267485,0.0284155,0.03,296.2944444444445
39,2222.4053589640343,6.599988685442026,5.819277448634136,0.0284155,0.05,888.8833333333333
40,2222.4053589640343,6.599988685442026,5.819277448634136,0.0284155,0.03,1111.1041666666667
41,2222.4053589640343,10.40278974499568,5.36427136845081,0.0284155,0.09,177.77666666666667
42,2222.4053589640343,6.599988685442026,5.819277448634136,0.0284155,0.11,242.4227272727273
43,1111.2026794820172,10.40278974499568,4.6711241878908645,0.0284155,0.025,533.33
44,1111.2026794820172,10.40278974499568,4.6711241878908645,0.0284155,0.035,380.95000000000005
45,1111.2026794820172,8.286030087683958,4.898627227982527,0.0284155,0.055,242.4227272727273
46,1111.2026794820172,10.40278974499568,4.6711241878908645,0.0284155,0.045,177.77666666666667
47,1111.2026794820172,6.599988685442026,5.12613026807419,0.0284155,0.055,242.4227272727273
48,111120.26794820171,13.060299484,9.048791333787294,0.0164486,4.5,197.52962962962962
49,111120.26794820171,13.060299484,9.048791333787294,0.0164486,4.5,197.52962962962962
50,111120.26794820171,10.40278974499568,9.276294373878956,0.0164486,4.5,177.77666666666667
51,22224.053589640345,13.060299484,7.439353421353193,0.0164486,0.5,1066.66
52,22224.053589640345,13.060299484,7.439353421353193,0.0164486,0.9,592.588888888889
53,22224.053589640345,10.40278974499568,7.666856461444856,0.0164486,0.5,1599.9900000000002
54,22224.053589640345,8.286030087683958,7.894359501536519,0.0164486,0.5,426.664
55,4444.810717928069,13.060299484,5.829915508919092,0.0164486,0.1,533.33
56,4444.810717928069,10.40278974499568,6.057418549010755,0.0164486,0.18,444.4416666666667
57,4444.810717928069,10.40278974499568,6.057418549010755,0.0164486,0.18,296.2944444444445
58,4444.810717928069,8.286030087683958,6.284921589102418,0.0164486,0.06,1185.177777777778
59,4444.810717928069,16.3967,5.60241246882743,0.0164486,0.1,106.666
60,2222.4053589640343,13.060299484,5.136768328359147,0.0164486,0.11,242.4227272727273
61,2222.4053589640343,6.599988685442026,5.819277448634136,0.0164486,0.09,740.7361111111111
62,2222.4053589640343,8.286030087683958,5.591774408542473,0.0164486,0.05,711.1066666666667
63,2222.4053589640343,13.060299484,5.136768328359147,0.0164486,0.05,266.665
64,2222.4053589640343,13.060299484,5.136768328359147,0.0164486,0.11,121.21136363636364
65,1111.2026794820172,16.3967,4.21611810770754,0.0164486,0.025,533.33
66,1111.2026794820172,10.40278974499568,4.6711241878908645,0.0164486,0.025,1599.9900000000002
67,1111.2026794820172,6.599988685442026,5.12613026807419,0.0164486,0.055,1212.1136363636363
68,1111.2026794820172,16.3967,4.21611810770754,0.0164486,0.035,190.475
69,1111.2026794820172,8.286030087683958,4.898627227982527,0.0164486,0.045,592.588888888889
70,1111.2026794820172,13.060299484,4.4436211477992025,0.0164486,0.015,355.55333333333334
71,1111.2026794820172,6.599988685442026,5.12613026807419,0.0164486,0.015,888.8833333333333
72,111120.26794820171,6.599988685442026,9.731300454062282,0.0333915,2.5,2666.65
73,111120.26794820171,6.599988685442026,9.731300454062282,0.0333915,5.5,1212.1136363636363
74,111120.26794820171,16.3967,8.82128829369563,0.0333915,2.5,177.77666666666667
75,111120.26794820171,10.40278974499568,9.276294373878956,0.0333915,1.5,888.8833333333334
76,22224.053589640345,13.060299484,7.439353421353193,0.0333915,0.7,761.9
77,22224.053589640345,16.3967,7.211850381261531,0.0333915,0.7,95.2375
78,22224.053589640345,13.060299484,7.439353421353193,0.0333915,0.7,152.38
79,4444.810717928069,8.286030087683958,6.284921589102418,0.0333915,0.06,3555.5333333333333
80,4444.810717928069,8.286030087683958,6.284921589102418,0.0333915,0.1,2133.32
81,4444.810717928069,13.060299484,5.829915508919092,0.0333915,0.14,380.95
82,4444.810717928069,10.40278974499568,6.057418549010755,0.0333915,0.06,1333.325
83,4444.810717928069,6.599988685442026,6.512424629194081,0.0333915,0.18,740.7361111111111
84,4444.810717928069,16.3967,5.60241246882743,0.0333915,0.22,80.80757575757576
85,4444.810717928069,16.3967,5.60241246882743,0.0333915,0.1,106.666
86,4444.810717928069,8.286030087683958,6.284921589102418,0.0333915,0.1,426.664
87,2222.4053589640343,16.3967,4.909265288267485,0.0333915,0.11,60.60568181818182
88,2222.4053589640343,10.40278974499568,5.36427136845081,0.0333915,0.11,181.81704545454548
89,1111.2026794820172,13.060299484,4.4436211477992025,0.0333915,0.015,888.8833333333333
90,1111.2026794820172,10.40278974499568,4.6711241878908645,0.0333915,0.045,444.4416666666667
91,1111.2026794820172,16.3967,4.21611810770754,0.0333915,0.035,126.98333333333333
92,1111.2026794820172,13.060299484,4.4436211477992025,0.0333915,0.025,266.665
93,1111.2026794820172,8.286030087683958,4.898627227982527,0.0333915,0.015,888.8833333333333
94,1111.2026794820172,8.286030087683958,4.898627227982527,0.0333915,0.035,304.76
95,1111.2026794820172,6.599988685442026,5.12613026807419,0.0333915,0.035,380.95
96,111120.26794820171,8.286030087683958,9.503797413970618,0.0333915,1.5,3555.5333333333333
97,111120.26794820171,13.060299484,9.048791333787294,0.0333915,1.5,888.8833333333333
98,111120.26794820171,16.3967,8.82128829369563,0.0333915,2.5,177.77666666666667
99,111120.26794820171,16.3967,8.82128829369563,0.0333915,3.5,126.98333333333333
100,111120.26794820171,8.286030087683958,9.503797413970618,0.0333915,3.5,507.93333333333334
101,111120.26794820171,10.40278974499568,9.276294373878956,0.0333915,4.5,222.22083333333336
102,111120.26794820171,6.599988685442026,9.731300454062282,0.0333915,5.5,303.02840909090907
103,22224.053589640345,8.286030087683958,7.894359501536519,0.0333915,0.7,1523.8
104,22224.053589640345,6.599988685442026,8.12186254162818,0.0333915,0.3,4444.416666666667
105,22224.053589640345,16.3967,7.211850381261531,0.0333915,0.5,266.665
106,22224.053589640345,16.3967,7.211850381261531,0.0333915,0.7,95.2375
107,22224.053589640345,10.40278974499568,7.666856461444856,0.0333915,0.7,285.71250000000003
108,22224.053589640345,16.3967,7.211850381261531,0.0333915,0.7,76.19
109,4444.810717928069,8.286030087683958,6.284921589102418,0.0333915,0.18,592.588888888889
110,4444.810717928069,10.40278974499568,6.057418549010755,0.0333915,0.1,533.33
111,4444.810717928069,13.060299484,5.829915508919092,0.0333915,0.22,96.96909090909091
112,2222.4053589640343,13.060299484,5.136768328359147,0.0333915,0.11,484.8454545454546
113,2222.4053589640343,8.286030087683958,5.591774408542473,0.0333915,0.09,1185.177777777778
114,2222.4053589640343,6.599988685442026,5.819277448634136,0.0333915,0.05,2666.65
115,2222.4053589640343,8.286030087683958,5.591774408542473,0.0333915,0.05,533.33
116,2222.4053589640343,16.3967,4.909265288267485,0.0333915,0.09,59.25888888888889
117,1111.2026794820172,16.3967,4.21611810770754,0.0333915,0.015,888.8833333333333
118,1111.2026794820172,10.40278974499568,4.6711241878908645,0.0333915,0.045,444.4416666666667
119,1111.2026794820172,6.599988685442026,5.12613026807419,0.0333915,0.015,1481.4722222222222
120,44448.10717928069,6.599988685442026,8.815009722188126,0.043899,4.0,133.3325
121,44448.10717928069,5.257022987728283,9.04251276227979,0.043899,4.0,159.99900000000002
122,22224.053589640345,6.599988685442026,8.12186254162818,0.0333915,2.0,133.3325
123,22224.053589640345,5.257022987728283,8.349365581719844,0.0333915,2.0,159.99900000000002
124,5556.013397410086,6.599988685442026,6.735568180508291,0.0284155,0.625,177.77666666666667
125,5556.013397410086,5.257022987728283,6.963071220599954,0.0284155,0.625,213.33200000000002
126,11112.026794820173,6.599988685442026,7.428715361068236,0.043899,1.25,266.665
127,11112.026794820173,5.257022987728283,7.656218401159899,0.043899,1.25,319.99800000000005
128,11112.026794820173,6.599988685442026,7.428715361068236,0.0450921,0.75,296.2944444444444
129,11112.026794820173,5.257022987728283,7.656218401159899,0.0450921,0.75,355.55333333333334
130,44448.10717928069,6.599988685442026,8.815009722188126,0.0333915,2.0,333.33125
131,44448.10717928069,5.257022987728283,9.04251276227979,0.0333915,2.0,399.99750000000006
132,22224.053589640345,6.599988685442026,8.12186254162818,0.0164486,0.5,666.6625
133,22224.053589640345,5.257022987728283,8.349365581719844,0.0164486,0.5,799.9950000000001
134,11112.026794820173,6.599988685442026,7.428715361068236,0.0333915,0.75,888.8833333333333
135,11112.026794820173,5.257022987728283,7.656218401159899,0.0333915,0.75,1066.66
136,111120.26794820171,6.599988685442026,9.731300454062282,0.0284155,5.0,1333.325
137,111120.26794820171,5.257022987728283,9.958803494153944,0.0284155,5.0,1599.9900000000002
138,111120.26794820171,6.599988685442026,9.731300454062282,0.0164486,2.5,2666.65
139,111120.26794820171,5.257022987728283,9.958803494153944,0.0164486,2.5,3199.9800000000005
140,5556.013397410086,16.3967,5.82555602014164,0.043899,0.5,66.66625
141,5556.013397410086,13.060299484,6.053059060233303,0.043899,0.5,133.3325
142,5556.013397410086,10.40278974499568,6.280562100324965,0.043899,0.5,199.99875000000003
143,5556.013397410086,8.286030087683958,6.508065140416628,0.043899,0.5,266.665
144,11112.026794820173,8.286030087683958,7.201212320976573,0.0333915,0.75,711.1066666666667
145,11112.026794820173,13.060299484,6.7462062407932475,0.0333915,0.75,355.55333333333334
146,11112.026794820173,10.40278974499568,6.97370928088491,0.0333915,0.75,533.33
147,11112.026794820173,16.3967,6.5187032007015855,0.0333915,0.75,177.77666666666667
148,5556.013397410086,13.060299484,6.053059060233303,0.0284155,0.625,71.11066666666667
149,5556.013397410086,16.3967,5.82555602014164,0.0284155,0.625,35.55533333333334
150,5556.013397410086,10.40278974499568,6.280562100324965,0.0284155,0.625,106.66600000000001
151,5556.013397410086,8.286030087683958,6.508065140416628,0.0284155,0.625,142.22133333333335
152,11112.026794820173,8.286030087683958,7.201212320976573,0.043899,1.25,213.332
153,11112.026794820173,16.3967,6.5187032007015855,0.043899,1.25,53.333
154,11112.026794820173,13.060299484,6.7462062407932475,0.043899,1.25,106.666
155,11112.026794820173,10.40278974499568,6.97370928088491,0.043899,1.25,159.99900000000002
156,22224.053589640345,8.286030087683958,7.894359501536519,0.0164486,0.5,533.33
157,22224.053589640345,13.060299484,7.439353421353193,0.0164486,0.5,266.665
158,22224.053589640345,10.40278974499568,7.666856461444856,0.0164486,0.5,399.99750000000006
159,22224.053589640345,16.3967,7.211850381261531,0.0164486,0.5,133.3325
160,22224.053589640345,16.3967,7.211850381261531,0.0450921,0.5,133.3325
161,22224.053589640345,13.060299484,7.439353421353193,0.0450921,0.5,266.665
162,22224.053589640345,8.286030087683958,7.894359501536519,0.0450921,0.5,533.33
163,22224.053589640345,10.40278974499568,7.666856461444856,0.0450921,0.5,399.99750000000006
164,22224.053589640345,10.40278974499568,7.666856461444856,0.0333915,2.0,79.99950000000001
165,22224.053589640345,13.060299484,7.439353421353193,0.0333915,2.0,53.333
166,22224.053589640345,16.3967,7.211850381261531,0.0333915,2.0,26.6665
167,22224.053589640345,8.286030087683958,7.894359501536519,0.0333915,2.0,106.666
168,111120.26794820171,13.060299484,9.048791333787294,0.0164486,2.5,1066.66
169,111120.26794820171,10.40278974499568,9.276294373878956,0.0164486,2.5,1599.9900000000002
170,111120.26794820171,16.3967,8.82128829369563,0.0164486,2.5,533.33
171,111120.26794820171,8.286030087683958,9.503797413970618,0.0164486,2.5,2133.32
172,44448.10717928069,13.060299484,8.132500601913138,0.043899,4.0,53.333
173,44448.10717928069,10.40278974499568,8.360003642004802,0.043899,4.0,79.99950000000001
174,44448.10717928069,16.3967,7.904997561821476,0.043899,4.0,26.6665
175,44448.10717928069,8.286030087683958,8.587506682096464,0.043899,4.0,106.666
176,11112.026794820173,16.3967,6.5187032007015855,0.0450921,0.75,59.25888888888889
177,11112.026794820173,13.060299484,6.7462062407932475,0.0450921,0.75,118.51777777777778
178,11112.026794820173,10.40278974499568,6.97370928088491,0.0450921,0.75,177.77666666666667
179,11112.026794820173,8.286030087683958,7.201212320976573,0.0450921,0.75,237.03555555555556
180,5556.013397410086,10.40278974499568,6.280562100324965,0.0284155,0.375,106.66600000000001
181,5556.013397410086,8.286030087683958,6.508065140416628,0.0284155,0.375,142.22133333333335
182,5556.013397410086,16.3967,5.82555602014164,0.0284155,0.375,35.55533333333334
183,5556.013397410086,13.060299484,6.053059060233303,0.0284155,0.375,71.11066666666667
184,111120.26794820171,10.40278974499568,9.276294373878956,0.0164486,5.0,399.99750000000006
185,111120.26794820171,8.286030087683958,9.503797413970618,0.0164486,5.0,533.33
186,111120.26794820171,16.3967,8.82128829369563,0.0164486,5.0,133.3325
187,111120.26794820171,13.060299484,9.048791333787294,0.0164486,5.0,266.665
188,111120.26794820171,8.286030087683958,9.503797413970618,0.0284155,5.0,1066.66
189,111120.26794820171,16.3967,8.82128829369563,0.0284155,5.0,266.665
190,111120.26794820171,13.060299484,9.048791333787294,0.0284155,5.0,533.33
191,111120.26794820171,10.40278974499568,9.276294373878956,0.0284155,5.0,799.9950000000001
192,44448.10717928069,8.286030087683958,8.587506682096464,0.0333915,2.0,266.665
193,44448.10717928069,16.3967,7.904997561821476,0.0333915,2.0,66.66625
194,44448.10717928069,13.060299484,8.132500601913138,0.0333915,2.0,133.3325
195,44448.10717928069,10.40278974499568,8.360003642004802,0.0333915,2.0,199.99875000000003
196,44448.10717928069,8.286030087683958,8.587506682096464,0.0450921,5.0,142.22133333333335
197,44448.10717928069,16.3967,7.904997561821476,0.0450921,5.0,35.55533333333334
198,44448.10717928069,10.40278974499568,8.360003642004802,0.0450921,5.0,106.66600000000001
199,44448.10717928069,13.060299484,8.132500601913138,0.0450921,5.0,71.11066666666667
