feature,value_std,balance,response
pulse_duration_fs,-1.0855478831335004,z1,-0.6151993656518051
pulse_duration_fs,-1.0855478831335004,z2,-0.44118421643835104
pulse_duration_fs,-1.0855478831335004,z3,-0.034409379833684306
pulse_duration_fs,-1.0855478831335004,z4,-0.4826795239389975
pulse_duration_fs,-0.9388550858283549,z1,-0.6418068491389857
pulse_duration_fs,-0.9388550858283549,z2,-0.41834285745557287
pulse_duration_fs,-0.9388550858283549,z3,-0.03938420989292321
pulse_duration_fs,-0.9388550858283549,z4,-0.5398301955440361
pulse_duration_fs,-0.9388550858283549,z1,-0.6418068491389857
pulse_duration_fs,-0.9388550858283549,z2,-0.41834285745557287
pulse_duration_fs,-0.9388550858283549,z3,-0.03938420989292321
pulse_duration_fs,-0.9388550858283549,z4,-0.5398301955440361
pulse_duration_fs,-0.9388550858283549,z1,-0.6418068491389857
pulse_duration_fs,-0.9388550858283549,z2,-0.41834285745557287
pulse_duration_fs,-0.9388550858283549,z3,-0.03938420989292321
pulse_duration_fs,-0.9388550858283549,z4,-0.5398301955440361
pulse_duration_fs,-0.9388550858283549,z1,-0.6418068491389857
pulse_duration_fs,-0.9388550858283549,z2,-0.41834285745557287
pulse_duration_fs,-0.9388550858283549,z3,-0.03938420989292321
pulse_duration_fs,-0.9388550858283549,z4,-0.5398301955440361
pulse_duration_fs,-0.9388550858283549,z1,-0.6418068491389857
pulse_duration_fs,-0.9388550858283549,z2,-0.41834285745557287
pulse_duration_fs,-0.9388550858283549,z3,-0.03938420989292321
pulse_duration_fs,-0.9388550858283549,z4,-0.5398301955440361
pulse_duration_fs,-0.6740666430392834,z1,-0.6589241867530634
pulse_duration_fs,-0.6740666430392834,z2,-0.36277318966489674
pulse_duration_fs,-0.6740666430392834,z3,-0.03312409060505722
pulse_duration_fs,-0.6740666430392834,z4,-0.653584407173108
pulse_duration_fs,-0.6740666430392834,z1,-0.6589241867530634
pulse_duration_fs,-0.6740666430392834,z2,-0.36277318966489674
pulse_duration_fs,-0.6740666430392834,z3,-0.03312409060505722
pulse_duration_fs,-0.6740666430392834,z4,-0.653584407173108
pulse_duration_fs,-0.6740666430392834,z1,-0.6589241867530634
pulse_duration_fs,-0.6740666430392834,z2,-0.36277318966489674
pulse_duration_fs,-0.6740666430392834,z3,-0.03312409060505722
pulse_duration_fs,-0.6740666430392834,z4,-0.653584407173108
pulse_duration_fs,-0.6740666430392834,z1,-0.6589241867530634
pulse_duration_fs,-0.6740666430392834,z2,-0.36277318966489674
pulse_duration_fs,-0.6740666430392834,z3,-0.03312409060505722
