target,input_set,model,cv_variant,fold,n_train,n_test,Q2_Aitchison,dA_median,dA_q25,dA_q75,R2_z1,R2_z2,R2_z3,R2_z4,MAE_p_lt8,MAE_p_8_16,MAE_p_16_32,MAE_p_32_64,MAE_p_64_inf,R2,MAE,spearman_rho
ilr_z1_z4,A,dummy,src_gkf,0,160,40,0.0,1.5612828612413319,1.2694370065400737,1.8957720368384714,-0.0001139297684393803,-0.1489496223218192,-0.0038463221464251074,-0.0015317641504286605,0.08252721429511871,0.1435439152674752,0.09868365811063977,0.06546349284917805,0.19605940495111168,,,
ilr_z1_z4,A,ridge,src_gkf,0,160,40,0.37444978642129834,1.21691323133126,0.936676250806795,1.4598679087679476,0.4654431642192348,0.2739469241431629,0.31257256589418914,0.2743109938808498,0.06422504720053754,0.10221886067679904,0.08065979749616844,0.05063128984692076,0.16059902818432073,,,
ilr_z1_z4,A,spline,src_gkf,0,160,40,0.4046880642253845,1.1753510527179682,0.8597718134409188,1.3494227655263695,0.5417241726935733,0.5066701477768902,0.2822087381569457,0.21751424474254266,0.053561097638731237,0.08469232413875233,0.07561460662949417,0.05363976061416067,0.16289508955041243,,,
ilr_z1_z4,A,extratrees,src_gkf,0,160,40,0.24678473807171597,1.281253428352648,1.0075543731470202,1.5974962498391028,0.26957265017174514,0.6674129473651802,0.17908944784996716,0.09196156715291337,0.06065258920141174,0.10553344393482122,0.0750142684045763,0.05570864313909145,0.16916807797351466,,,
A2_8_16,A,dummy,src_gkf,0,160,40,,,,,,,,,,,,,,-0.2243622502479854,0.2732445438016946,
A2_8_16,A,ridge,src_gkf,0,160,40,,,,,,,,,,,,,,0.3097820208126548,0.17213408616390174,0.5575984990619137
A2_8_16,A,spline,src_gkf,0,160,40,,,,,,,,,,,,,,0.3646976516786409,0.17716641090363988,0.5621013133208256
A2_8_16,A,extratrees,src_gkf,0,160,40,,,,,,,,,,,,,,0.24656981154048507,0.16786569914662391,0.5065666041275798
angular_entropy_8_16,A,dummy,src_gkf,0,160,40,,,,,,,,,,,,,,-0.21763809968245607,0.1838304982438472,
angular_entropy_8_16,A,ridge,src_gkf,0,160,40,,,,,,,,,,,,,,0.32956621795289576,0.11826021004942433,0.6641651031894935
angular_entropy_8_16,A,spline,src_gkf,0,160,40,,,,,,,,,,,,,,0.41047262214495195,0.11060434148653261,0.5947467166979363
angular_entropy_8_16,A,extratrees,src_gkf,0,160,40,,,,,,,,,,,,,,0.4899779656258866,0.07892042681890299,0.6884000195199224
A2_16_32,A,dummy,src_gkf,0,160,40,,,,,,,,,,,,,,-0.13321804093835832,0.18896337409999933,
A2_16_32,A,ridge,src_gkf,0,160,40,,,,,,,,,,,,,,0.11900000452261339,0.16999876006399353,0.2938086303939963
A2_16_32,A,spline,src_gkf,0,160,40,,,,,,,,,,,,,,0.1605846296507616,0.16627179670558556,0.3088180112570357
A2_16_32,A,extratrees,src_gkf,0,160,40,,,,,,,,,,,,,,0.23387752158049735,0.15176420824990888,0.1962476547842402
A2_32_64,A,dummy,src_gkf,0,160,40,,,,,,,,,,,,,,-0.030652082149032145,0.13871815817850025,
A2_32_64,A,ridge,src_gkf,0,160,40,,,,,,,,,,,,,,0.029978622697582336,0.13773989290321118,0.15459662288930584
A2_32_64,A,spline,src_gkf,0,160,40,,,,,,,,,,,,,,0.035044520365053455,0.13666632654862662,0.28461538461538466
A2_32_64,A,extratrees,src_gkf,0,160,40,,,,,,,,,,,,,,0.0032335379731626146,0.1390034435464056,0.2611632270168856
spectral_centroid_log_um,A,dummy,src_gkf,0,160,40,,,,,,,,,,,,,,-0.0027761929070759805,0.4889994190556332,
spectral_centroid_log_um,A,ridge,src_gkf,0,160,40,,,,,,,,,,,,,,0.4007325821571386,0.3812080355241651,0.6324577861163228
spectral_centroid_log_um,A,spline,src_gkf,0,160,40,,,,,,,,,,,,,,0.36006898682903454,0.39165823034441877,0.5928705440900564
spectral_centroid_log_um,A,extratrees,src_gkf,0,160,40,,,,,,,,,,,,,,0.32657080279512496,0.39781584951688714,0.6212007504690433
spectral_entropy,A,dummy,src_gkf,0,160,40,,,,,,,,,,,,,,-0.08508088169477834,0.1011241511387178,
spectral_entropy,A,ridge,src_gkf,0,160,40,,,,,,,,,,,,,,0.12931694314651576,0.0875196270992136,0.4870544090056285
spectral_entropy,A,spline,src_gkf,0,160,40,,,,,,,,,,,,,,-0.3942371699177232,0.10461999435157007,-0.0005628517823639776
spectral_entropy,A,extratrees,src_gkf,0,160,40,,,,,,,,,,,,,,0.022495475807552512,0.08091453246469384,0.4442776735459663
