target,model,cv_variant,dQ2_median,dQ2_q25,dQ2_q75,n_folds,n_folds_pos
ilr_z1_z4,extratrees,exclude_artifact_yes_src_gkf,-0.0040393308926395255,-0.012877409274218543,0.0016262786635402593,5,2
ilr_z1_z4,extratrees,formal_only_src_gkf,0.014046846498644072,-0.013818924133552568,0.024301240779723954,5,3
ilr_z1_z4,extratrees,minus_top5_src_gkf,-0.010465045284605679,-0.016483443556514432,0.014223675736639851,5,2
ilr_z1_z4,extratrees,proc_gkf,-0.0038202209424352818,-0.006322556753418973,0.021641701399681912,5,2
ilr_z1_z4,extratrees,proc_gss,-0.01758834258024078,-0.025574718378115646,0.012254356251783838,5,2
ilr_z1_z4,extratrees,src_gkf,0.006281655758041738,-0.0009187427353081201,0.011441545034179268,5,3
ilr_z1_z4,extratrees,src_gss,-0.016862672726328798,-0.03851245122959024,0.019786268990343747,5,2
ilr_z1_z4,ridge,exclude_artifact_yes_src_gkf,0.02814498978686486,0.01582688866558457,0.04311405210358621,5,5
ilr_z1_z4,ridge,formal_only_src_gkf,2.7121212260228234e-05,-0.006633530357918693,0.034606025438518095,5,3
ilr_z1_z4,ridge,minus_top5_src_gkf,0.022382705212476872,0.00888440923709799,0.02528683281876798,5,4
ilr_z1_z4,ridge,proc_gkf,0.029628712279442526,-0.016153732459495806,0.03359803633931768,5,3
ilr_z1_z4,ridge,proc_gss,0.01090401823049214,-0.01706341857831939,0.014376973946149008,5,3
ilr_z1_z4,ridge,src_gkf,0.04018129892697153,0.029819213615872475,0.04063506819527862,5,5
ilr_z1_z4,ridge,src_gss,0.010051370208655763,0.007873753874238054,0.014926322966190453,5,4
ilr_z1_z4,spline,proc_gkf,0.028219312951766495,-0.01869735272320472,0.1681105532559104,5,3
ilr_z1_z4,spline,proc_gss,-0.009826517028655557,-0.10087845554277475,0.018464366505676733,5,2
ilr_z1_z4,spline,src_gkf,0.15314457570540796,0.040744693152573674,0.16692431824952303,5,4
ilr_z1_z4,spline,src_gss,-1.0304600318856965,-1.3628058974032327,-0.03965243805949026,5,1
