target,input_set,cv_variant,dQ2_ET-spline_median,dQ2_ET-spline_n_pos,n_folds,dQ2_ET-ridge_median,dQ2_ET-ridge_n_pos,dR2_ET-spline_median,dR2_ET-spline_n_pos,dR2_ET-ridge_median,dR2_ET-ridge_n_pos
A2_16_32,A,proc_gkf,,0,10,,0,0.02529838112573546,4,0.024848284441757684,3
A2_16_32,A,proc_gss,,0,10,,0,0.0446110483016674,3,0.05895690153908306,3
A2_16_32,A,src_gkf,,0,10,,0,0.07329289192973576,3,0.10051574232728422,4
A2_16_32,A,src_gss,,0,10,,0,0.07802803393058566,5,0.1258517735850595,4
A2_16_32,C,proc_gkf,,0,10,,0,0.04823537811971901,3,0.10410863499149381,3
A2_16_32,C,proc_gss,,0,10,,0,0.02555697376627397,3,0.10154717981943706,3
A2_16_32,C,src_gkf,,0,10,,0,0.10137604147674395,4,0.1361306599645784,4
A2_16_32,C,src_gss,,0,10,,0,0.058531046530243214,4,0.22392689994614123,4
A2_32_64,A,proc_gkf,,0,10,,0,-0.17456567631805453,0,-0.19296378079341958,0
A2_32_64,A,proc_gss,,0,10,,0,-0.1572578875764472,1,-0.19417413690939256,1
A2_32_64,A,src_gkf,,0,10,,0,-0.03575814452222614,0,-0.09474610301450193,0
A2_32_64,A,src_gss,,0,10,,0,-0.15260271107668344,1,-0.1651838285957905,1
A2_32_64,C,proc_gkf,,0,10,,0,-0.09889502020414831,1,-0.0789021530931735,1
A2_32_64,C,proc_gss,,0,10,,0,-0.047260134157730116,2,-0.08082445461703314,1
A2_32_64,C,src_gkf,,0,10,,0,0.04001099249378959,3,-0.041607067793048236,2
A2_32_64,C,src_gss,,0,10,,0,-0.02916821678410786,1,-0.08352551650539408,2
A2_8_16,A,proc_gkf,,0,10,,0,0.06096729691550418,4,0.04293865718736556,4
A2_8_16,A,proc_gss,,0,10,,0,0.051552247698509746,4,0.03150758871273318,4
A2_8_16,A,src_gkf,,0,10,,0,-0.007088646845975655,2,-0.0035033561492657794,2
A2_8_16,A,src_gss,,0,10,,0,0.03579071368371123,3,0.06141091537817778,3
A2_8_16,C,proc_gkf,,0,10,,0,0.0803285779700118,5,0.11986009016574783,5
A2_8_16,C,proc_gss,,0,10,,0,0.11642270671194654,5,0.1271584756545311,5
A2_8_16,C,src_gkf,,0,10,,0,0.06081573285124653,3,0.06195768722697881,3
A2_8_16,C,src_gss,,0,10,,0,0.06458058838279335,5,0.07356068587887787,5
Sq_um,A,proc_gkf,,0,10,,0,-0.08132456181508518,1,-0.0870076771883097,1
Sq_um,A,proc_gss,,0,10,,0,-0.19741626597918627,1,-0.17768583922487702,0
Sq_um,A,src_gkf,,0,10,,0,-0.04227176858684012,2,-0.1075316163498905,1
Sq_um,A,src_gss,,0,10,,0,-0.0719587653068039,2,-0.08799792607551127,1
Sq_um,C,proc_gkf,,0,10,,0,-0.06619472307652552,2,-0.0732677145753946,1
Sq_um,C,proc_gss,,0,10,,0,-0.07615974266532677,0,-0.12233197624425263,0
Sq_um,C,src_gkf,,0,10,,0,-0.029800958866206484,2,0.007738446775308994,3
Sq_um,C,src_gss,,0,10,,0,0.011491049281817434,3,-0.1265773567469125,1
angular_entropy_8_16,A,proc_gkf,,0,10,,0,0.09738936959696698,5,0.11367399869155714,5
angular_entropy_8_16,A,proc_gss,,0,10,,0,0.11991780921396411,4,0.13049691433421884,5
angular_entropy_8_16,A,src_gkf,,0,10,,0,0.07950534348093463,4,0.14881626884317634,5
angular_entropy_8_16,A,src_gss,,0,10,,0,0.06146012504983811,5,0.0909972602559046,5
angular_entropy_8_16,C,proc_gkf,,0,10,,0,0.12609892025808012,5,0.21078550029499632,5
angular_entropy_8_16,C,proc_gss,,0,10,,0,0.130827956159283,5,0.17199093719809866,5
angular_entropy_8_16,C,src_gkf,,0,10,,0,0.08625536774167553,5,0.18004204345620523,5
angular_entropy_8_16,C,src_gss,,0,10,,0,0.08440659308820331,5,0.11689513650339645,5
effective_band_number,A,proc_gkf,,0,10,,0,0.06040055419827639,4,-0.0042529888002921235,2
effective_band_number,A,proc_gss,,0,10,,0,0.16465819235568668,3,0.05257186907665812,3
effective_band_number,A,src_gkf,,0,10,,0,0.14624694918790182,4,0.12927771394504306,4
effective_band_number,A,src_gss,,0,10,,0,0.10872284859388848,3,0.035715224400314605,3
effective_band_number,C,proc_gkf,,0,10,,0,0.2146465652101116,4,0.10116882945057892,3
effective_band_number,C,proc_gss,,0,10,,0,0.1279350612847533,3,0.04274197107888544,4
effective_band_number,C,src_gkf,,0,10,,0,0.24006805343309612,5,0.139335417936168,5
effective_band_number,C,src_gss,,0,10,,0,0.07829279098556652,3,0.003330552304797396,3
ilr_z1_z4,A,exclude_artifact_yes_src_gkf,,0,10,0.10263782834978152,4,,0,,0
ilr_z1_z4,A,formal_only_src_gkf,,0,10,0.07642121457241968,4,,0,,0
ilr_z1_z4,A,minus_top5_src_gkf,,0,10,0.07636893004158729,4,,0,,0
ilr_z1_z4,A,proc_gkf,0.014508969516241699,4,10,0.010141079667693287,3,,0,,0
ilr_z1_z4,A,proc_gss,0.00314097852844597,3,10,-0.020691540014674215,1,,0,,0
ilr_z1_z4,A,repaired_src_gkf,,0,10,0.07401079398595478,4,,0,,0
ilr_z1_z4,A,src_gkf,0.027439917548358728,4,10,0.07469637007701146,4,,0,,0
ilr_z1_z4,A,src_gss,0.031914228245659704,4,10,0.06587756581111359,4,,0,,0
ilr_z1_z4,C,exclude_artifact_yes_src_gkf,,0,10,0.03948949869267682,4,,0,,0
ilr_z1_z4,C,formal_only_src_gkf,,0,10,-0.006737777613380347,2,,0,,0
ilr_z1_z4,C,minus_top5_src_gkf,,0,10,0.024122684076900658,4,,0,,0
ilr_z1_z4,C,proc_gkf,-0.015524156509139186,2,10,0.0021540687879327836,3,,0,,0
ilr_z1_z4,C,proc_gss,-0.04943786471005318,2,10,-0.025628135050662637,2,,0,,0
ilr_z1_z4,C,repaired_src_gkf,,0,10,0.06273606495241602,3,,0,,0
ilr_z1_z4,C,src_gkf,0.034857428888670716,3,10,0.059157841169858005,3,,0,,0
ilr_z1_z4,C,src_gss,0.04650398836584524,4,10,0.09207977909040543,4,,0,,0
median_depth_um,A,proc_gkf,,0,10,,0,0.08917155335920013,5,0.3942408745373126,5
median_depth_um,A,proc_gss,,0,10,,0,0.08323042950062909,5,0.35306694279799955,5
median_depth_um,A,src_gkf,,0,10,,0,0.10222453036423906,5,0.3648730067185245,5
median_depth_um,A,src_gss,,0,10,,0,0.09835696711326258,5,0.27351088244821364,5
median_depth_um,C,proc_gkf,,0,10,,0,0.1136562904916546,5,0.14941385496397186,5
median_depth_um,C,proc_gss,,0,10,,0,0.08303754162183352,5,0.16294684656594127,5
median_depth_um,C,src_gkf,,0,10,,0,0.09553801787903671,5,0.1360906046720548,5
median_depth_um,C,src_gss,,0,10,,0,0.09608232121466409,5,0.11623685241496373,5
rms_DCT_8_16_um,A,proc_gkf,,0,10,,0,0.1539356615315417,4,0.10442327978329802,4
rms_DCT_8_16_um,A,proc_gss,,0,10,,0,-0.0196102880100395,2,0.1492992623162328,3
rms_DCT_8_16_um,A,src_gkf,,0,10,,0,0.08109313889450354,3,0.15354169718788047,3
rms_DCT_8_16_um,A,src_gss,,0,10,,0,0.12448911635840187,5,0.2279770369374996,5
rms_DCT_8_16_um,C,proc_gkf,,0,10,,0,0.1729091756350588,4,0.16683229205700856,4
rms_DCT_8_16_um,C,proc_gss,,0,10,,0,0.008446135294195689,4,0.22805774674978518,4
rms_DCT_8_16_um,C,src_gkf,,0,10,,0,0.05241869690819523,3,0.07934920107659937,4
rms_DCT_8_16_um,C,src_gss,,0,10,,0,0.13556125119878515,5,0.18736956787578407,5
spectral_centroid_log_um,A,proc_gkf,,0,10,,0,-0.01764886031806101,2,-0.09305919873450852,0
spectral_centroid_log_um,A,proc_gss,,0,10,,0,0.06733517029777014,4,-0.09628350891139781,0
spectral_centroid_log_um,A,src_gkf,,0,10,,0,0.019499247309378687,4,0.026968001150103227,4
spectral_centroid_log_um,A,src_gss,,0,10,,0,0.14806679057462013,5,0.06353542577417903,5
spectral_centroid_log_um,C,proc_gkf,,0,10,,0,0.012666555624526232,3,-0.016757418378550604,0
spectral_centroid_log_um,C,proc_gss,,0,10,,0,0.018960584749924125,4,-0.0003319104484178492,2
spectral_centroid_log_um,C,src_gkf,,0,10,,0,0.04768802201507194,5,0.05445590778294174,4
spectral_centroid_log_um,C,src_gss,,0,10,,0,0.10919912669304888,4,0.1447093024687387,4
spectral_entropy,A,proc_gkf,,0,10,,0,-0.0006876635393489039,2,-0.16679799179872012,2
spectral_entropy,A,proc_gss,,0,10,,0,0.13557517647145367,5,0.02539763938240247,3
spectral_entropy,A,src_gkf,,0,10,,0,0.2982199322428868,4,0.16885054898820684,3
spectral_entropy,A,src_gss,,0,10,,0,0.17041999733985558,3,0.09358431968508663,3
spectral_entropy,C,proc_gkf,,0,10,,0,0.04811928185280334,4,0.1310767658221319,3
spectral_entropy,C,proc_gss,,0,10,,0,0.07062927732328261,4,0.06969173839972631,3
spectral_entropy,C,src_gkf,,0,10,,0,0.29722918751676997,4,0.2290092335201851,4
spectral_entropy,C,src_gss,,0,10,,0,0.10932369596743485,3,0.006374797406999866,3
