base_condition_group,dataset_index,pass_count,median_depth_um,p_lt8,p_8_16,p_16_32,p_32_64,p_64_inf,ilr_z1,ilr_z2,ilr_z3,ilr_z4
T01,174,1,1.2932,0.30694810326919,0.5141086157929576,0.1191415318723256,0.0259025694509861,0.0338991796145405,2.3353519652934187,-0.3646944726413303,1.1361106057355643,-0.1902461203203511
T01,172,2,3.1857,0.1527525041228646,0.7385844374380425,0.02816964012631,0.0110174508348814,0.0694759674779013,2.72825187481373,-1.1143412015365697,0.0147084743785718,-1.3021374527966392
T01,173,3,5.0919,0.1299220905554827,0.7192385949231982,0.0682505580499084,0.0148026922272253,0.0677860642441854,2.203064589087929,-1.210042262040108,0.6267450282357122,-1.0758965977340815
T01,175,4,7.1437,0.0309461381873128,0.2465341404848374,0.3267848463695499,0.2972331467157679,0.0985017282425319,-0.9728538054233064,-1.467424952332843,0.5282786171692017,0.7809589530006653
T01,120,5,8.9544,0.1351092056192423,0.6385208994142718,0.0725450483418546,0.0275842370502221,0.126240609574409,1.6826821247112294,-1.0981870534730027,0.1685989002035417,-1.0754706630206006
T01,121,6,10.9478,0.0723014262592042,0.4811787196938457,0.0439431813589117,0.0670396593760196,0.3355370133120188,0.6871032724797917,-1.3402465894892082,-1.002340067884325,-1.1387586293597391
T02,153,1,0.0514,0.0128819232122992,0.0287520199617658,0.0651072049719804,0.0978885652322499,0.7953702866217046,-2.3978830409616974,-0.5677240117208077,-1.1882340349734624,-1.4813731738016214
T02,154,2,26.9237,0.0186631785496812,0.0328626821146418,0.0834847957060579,0.1965381216685182,0.6684512219611007,-2.4034609864712744,-0.4000705590825106,-1.1988173439702507,-0.8655743687889441
T02,155,3,37.0013,0.0238871476478039,0.0416435958762092,0.1172075268204676,0.1506713113941119,0.6665904182614075,-2.164413458308486,-0.3930149251358204,-0.812162746104749,-1.051520868392536
T02,152,4,43.127,0.0184496493968137,0.0364217616612413,0.0387901462298985,0.0790732357081896,0.8272652070038568,-1.818931228091664,-0.4809182251615883,-1.5399808450738612,-1.6601105620665606
T02,126,5,49.354,0.0444704307591716,0.0358979214122202,0.0346405768714483,0.1012466196934094,0.7837444512637503,-1.3742038515901422,0.1514234499286074,-1.7112098021446192,-1.4471107808324488
T02,127,6,52.27,0.0166276045512814,0.0193368950472122,0.0221399825457146,0.0773431114049962,0.8645524064507953,-2.025927085365021,-0.1067382582778436,-2.0068233296539386,-1.7069277741766251
T03,140,1,3.3935,0.1743814965462763,0.3013360338424688,0.3460073866039055,0.1406463195784471,0.0376287634289023,0.6878409162066531,-0.3867737094612926,1.2732868736711351,0.9323058834134388
T03,141,2,35.7216,0.1209586054446786,0.2359916126573756,0.1791255969417622,0.0908207447074144,0.3731034402487691,-0.0839708606934258,-0.4725933192029717,-0.0222776964640953,-0.9991192370373236
T03,142,3,44.4284,0.0860248571342413,0.1697483102128793,0.1478020456648818,0.1873365058556612,0.4090882811323361,-0.6789136743991915,-0.480606705362266,-0.5123882558108717,-0.5522677080506408
T03,143,4,50.9061,0.0430763537716184,0.0670632467328167,0.2642840207559115,0.3338741432397412,0.291702235499912,-1.8661296266933656,-0.3130092631134917,-0.1357217047930937,0.0954810280208419
T04,197,1,2.9207,0.2386628738432469,0.1036259524185608,0.0999386129469168,0.0300337525279657,0.5277388082633095,0.3280055690796212,0.5899138604097636,-0.1885335755839388,-2.026765774814945
T04,199,2,6.0829,0.1876919870004614,0.1371810986872629,0.083036477306195,0.0918084974690532,0.5002819395370273,0.0292117295962826,0.2216781958750436,-0.7741680440966823,-1.198876184843114
