arm,step,balance,spearman_delta_d_vs_dz
N1-4,1->2,z1,0.1714285714285714
N1-4,1->2,z2,0.010714285714285713
N1-4,1->2,z3,0.05357142857142857
N1-4,1->2,z4,-0.175
N1-4,2->3,z1,0.24285714285714283
N1-4,2->3,z2,0.18928571428571428
N1-4,2->3,z3,0.03214285714285714
N1-4,2->3,z4,-0.16785714285714282
N1-4,3->4,z1,-0.15714285714285714
N1-4,3->4,z2,0.16785714285714282
N1-4,3->4,z3,-0.10357142857142855
N1-4,3->4,z4,-0.16785714285714282
N5-6,5->6,z1,0.5878787878787878
N5-6,5->6,z2,0.8424242424242423
N5-6,5->6,z3,0.10303030303030303
N5-6,5->6,z4,-0.9030303030303028
