arm,base_condition_group,step,d_z1,d_z2,d_z3,d_z4,d_depth_um
N1-4,T01,1->2,0.3928999095203114,-0.7496467288952393,-1.1214021313569926,-1.111891332476288,1.8925000000000003
N1-4,T02,1->2,-0.00557794550957702,0.16765345263829706,-0.010583308996788388,0.6157988050126773,26.8723
N1-4,T03,1->2,-0.771811776900079,-0.08581960974167913,-1.2955645701352305,-1.9314251204507624,32.3281
N1-4,T04,1->2,-0.2987938394833386,-0.36823566453472,-0.5856344685127435,0.8278895899718308,3.1622000000000003
N1-4,T05,1->2,-1.406937852620211,0.15348205029442602,-0.8005119664756806,-1.7129035324983901,8.310399999999998
N1-4,T06,1->2,1.2072486940807405,0.5617596903059848,-1.1021015901312834,-1.9449150199676681,9.776200000000001
N1-4,T07,1->2,0.5357176689786474,0.12489025032691398,0.08037727640394457,0.023589847071354475,4.0785
N1-4,T08,1->2,1.309835305868376,-0.5365716632201502,0.4646902589512459,-0.4600582456447318,25.4863
N1-4,T09,1->2,0.6394286955506213,-1.716245800155558,-0.6436274553213779,-0.9729270264542481,15.545300000000001
N1-4,T10,1->2,-0.9256267227307173,0.16527614649938022,-1.7555039431834725,-0.706672058163438,6.274300000000001
N1-4,T11,1->2,-0.22291513336971613,0.062118772235116304,-0.1667000871461376,-0.3144662642877665,1.7647
N1-4,T12,1->2,-1.5231897152893714,-0.30291153515490166,-0.21168824196471303,0.4932088260433076,7.816600000000001
N1-4,T13,1->2,-0.32779085663457996,0.4922411911309707,-0.2603672422264332,-0.7589783268844015,2.4848
N1-4,T14,1->2,-0.26907934266934785,-0.6703578147891751,0.1450234100315565,-0.7076290155175926,5.5682
N1-4,T15,1->2,-0.05740847187900078,-0.009123108875242703,0.2135833624420088,-0.6743857523180038,11.9926
N1-4,T01,2->3,-0.5251872857258011,-0.09570106050353822,0.6120365538571404,0.22624085506255764,1.9061999999999997
N1-4,T02,2->3,0.2390475281627884,0.007055633946690176,0.3866545978655017,-0.18594649960359177,10.0776
N1-4,T03,2->3,-0.5949428137057657,-0.008013386159294311,-0.4901105593467764,0.4468515289866828,8.706800000000001
N1-4,T04,2->3,0.2019483701027786,0.017846196535482917,0.5451348068471,0.19716938643005988,3.3329000000000004
N1-4,T05,2->3,-0.5482063289008255,-0.8623799681139019,-0.05950240650093708,0.07623197355672073,7.541300000000003
N1-4,T06,2->3,-0.835330515959134,-0.2768160336085482,0.34102878499166345,-0.34459788440735295,7.823
N1-4,T07,2->3,-5.649019694610693,-0.6739995187403547,-1.4836605792353086,-0.6167085893364159,3.354800000000001
N1-4,T08,2->3,-0.2164800354868056,0.8321111601944844,0.1019200081991905,-0.8413384668600953,9.121399999999998
N1-4,T09,2->3,-0.9829011862878783,0.5980086657660322,-1.6984416353079042,-1.0028575074481418,7.9971
N1-4,T10,2->3,-0.4701317594261794,-0.3392533830232357,0.1614422721694655,-0.14511297233143328,7.0549
N1-4,T11,2->3,-1.4442338544204996,-0.43545145619701026,-1.013704469236946,-0.6306092413846962,1.3801999999999999
N1-4,T12,2->3,2.0297510153391665,0.00929132235506236,1.3321943571129742,-0.14063152052374428,7.171999999999997
N1-4,T13,2->3,-1.3349961091521236,0.0599674575092122,-0.3016562021991116,0.4002393024302602,2.2572
N1-4,T14,2->3,-0.1590972125321859,0.27891114554078666,-0.057543250644785104,-0.8249588925395275,3.084600000000001
N1-4,T15,2->3,0.2702168216391082,0.21088559578695482,-1.0613049231556444,-0.669818476832407,5.816399999999998
N1-4,T01,3->4,-3.1759183945112355,-0.2573826902927352,-0.09846641106651055,1.8568555507347468,2.0518
N1-4,T02,3->4,0.3454822302168219,-0.08790330002576785,-0.7278180989691122,-0.6085896936740247,6.125700000000002
N1-4,T03,3->4,-1.187215952294174,0.16759744224877432,0.37666655101777796,0.6477487360714828,6.477699999999999
N1-4,T04,3->4,-0.24729812056161582,0.12234305345716298,-0.5673479691299916,-0.8731667950180364,3.3915999999999986
N1-4,T05,3->4,-2.238070936538646,0.6543116942803728,-1.1066875572106443,-0.4172052624227175,5.647499999999997
N1-4,T06,3->4,-0.3144732112812203,0.09008840199537838,-0.21323149812330178,0.10296962157799427,6.511200000000002
N1-4,T07,3->4,3.9514732941899213,0.6172201505585986,0.8492281484175618,0.21997515245582244,3.2287999999999997
N1-4,T08,3->4,-1.1510901888060108,-0.3094992230366985,-0.205812321142851,0.8029651838176497,5.651600000000002
N1-4,T09,3->4,-0.1420467894190375,0.8987738640607259,0.9309001879181056,0.41154328798241546,6.262400000000003
N1-4,T10,3->4,0.0738059015913477,0.12492462602811251,0.6664493989545528,0.43381710845067256,5.862500000000001
N1-4,T11,3->4,1.1047186895132068,0.44685430550683086,0.8128183683934993,0.9645794046713208,1.7334999999999998
N1-4,T12,3->4,-1.4965745279601608,-0.3888948843949497,-1.8142908078538706,0.6985555202889551,5.288600000000002
N1-4,T13,3->4,0.3004635136695591,-0.1892438331025095,0.2009928597389593,-0.3151770757272476,1.7058999999999997
N1-4,T14,3->4,-3.9339478097300065,-0.27360497345386525,-3.0690655188483813,-0.37679884895949933,4.3796
N1-4,T15,3->4,-0.8731777075513887,-0.21165125445791472,0.6516255603272114,1.0912647716089567,4.156100000000002
N5-6,T01,5->6,-0.9955788522314376,-0.24205953601620545,-1.1709389680878668,-0.06328796633913858,1.9934000000000012
N5-6,T02,5->6,-0.6517232337748788,-0.258161708206451,-0.29561352750931946,-0.2598169933441763,2.916000000000004
N5-6,T06,5->6,-0.8102383578194079,-0.465203791079454,-0.0967682249046038,0.02527375899074391,1.5934999999999988
N5-6,T07,5->6,-0.9169010900090017,0.11475547955016818,-0.4503180092356065,-0.335489012301841,3.4566000000000017
N5-6,T08,5->6,2.9591168146699793,0.18432434961670868,1.422467363816769,-0.5565169585141947,4.768599999999999
