variant,fold,model,target,metric,score,n_train,n_test,alpha
full200_extrapolated,0,M0_u,p_8_16,R2,0.4065090306864825,160,40,3.1622776601683795
full200_extrapolated,1,M0_u,p_8_16,R2,0.422888881547959,160,40,10.0
full200_extrapolated,2,M0_u,p_8_16,R2,0.48796295369798337,160,40,10.0
full200_extrapolated,3,M0_u,p_8_16,R2,0.42500452944940215,160,40,10.0
full200_extrapolated,4,M0_u,p_8_16,R2,0.3958688554231812,160,40,3.1622776601683795
full200_extrapolated,0,M0_u,ilr_z2,R2,0.26927765200792964,160,40,10.0
full200_extrapolated,1,M0_u,ilr_z2,R2,0.27822205818054535,160,40,31.622776601683793
full200_extrapolated,2,M0_u,ilr_z2,R2,0.15603476342518374,160,40,10.0
full200_extrapolated,3,M0_u,ilr_z2,R2,0.058545828325408555,160,40,10.0
full200_extrapolated,4,M0_u,ilr_z2,R2,0.4034300966918072,160,40,10.0
full200_extrapolated,0,M0_u,ilr_z1_z4,Q2_Aitchison,0.37377072160663716,160,40,
full200_extrapolated,1,M0_u,ilr_z1_z4,Q2_Aitchison,0.3039310408790078,160,40,
full200_extrapolated,2,M0_u,ilr_z1_z4,Q2_Aitchison,0.31048387705250613,160,40,
full200_extrapolated,3,M0_u,ilr_z1_z4,Q2_Aitchison,0.3635592329427213,160,40,
full200_extrapolated,4,M0_u,ilr_z1_z4,Q2_Aitchison,0.2920477905216802,160,40,
full200_extrapolated,0,M0_u,A2_8_16,R2,0.3097820208126548,160,40,1.0
full200_extrapolated,1,M0_u,A2_8_16,R2,0.6217301255102919,160,40,3.1622776601683795
full200_extrapolated,2,M0_u,A2_8_16,R2,0.6611355374196766,160,40,3.1622776601683795
full200_extrapolated,3,M0_u,A2_8_16,R2,0.5050539999437547,160,40,10.0
full200_extrapolated,4,M0_u,A2_8_16,R2,0.45369733225575637,160,40,0.1
full200_extrapolated,0,M0_u,angular_entropy_8_16,R2,0.3307623383974303,160,40,1.0
full200_extrapolated,1,M0_u,angular_entropy_8_16,R2,0.6600764579399734,160,40,3.1622776601683795
full200_extrapolated,2,M0_u,angular_entropy_8_16,R2,0.6616831611214702,160,40,3.1622776601683795
full200_extrapolated,3,M0_u,angular_entropy_8_16,R2,0.5955515978750868,160,40,10.0
full200_extrapolated,4,M0_u,angular_entropy_8_16,R2,0.3962482436224227,160,40,1.0
full200_extrapolated,0,M0_u,lambda_star_4_32,R2,0.4898182463438864,152,39,0.001
full200_extrapolated,1,M0_u,lambda_star_4_32,R2,0.388766023315251,154,37,0.001
full200_extrapolated,2,M0_u,lambda_star_4_32,R2,0.24369918353679676,152,39,10.0
full200_extrapolated,3,M0_u,lambda_star_4_32,R2,0.4042203034492885,153,38,10.0
full200_extrapolated,4,M0_u,lambda_star_4_32,R2,0.24847274824870613,153,38,3.1622776601683795
full200_extrapolated,0,M0b_u_plus_logtau,p_8_16,R2,0.4087232712453889,160,40,10.0
full200_extrapolated,1,M0b_u_plus_logtau,p_8_16,R2,0.42625515542407755,160,40,10.0
full200_extrapolated,2,M0b_u_plus_logtau,p_8_16,R2,0.47242178463100326,160,40,10.0
full200_extrapolated,3,M0b_u_plus_logtau,p_8_16,R2,0.42832464600835174,160,40,10.0
full200_extrapolated,4,M0b_u_plus_logtau,p_8_16,R2,0.4031128375124654,160,40,10.0
full200_extrapolated,0,M0b_u_plus_logtau,ilr_z2,R2,0.27796471305945436,160,40,10.0
full200_extrapolated,1,M0b_u_plus_logtau,ilr_z2,R2,0.3058803691981655,160,40,10.0
full200_extrapolated,2,M0b_u_plus_logtau,ilr_z2,R2,0.1800164287372349,160,40,31.622776601683793
full200_extrapolated,3,M0b_u_plus_logtau,ilr_z2,R2,0.051865105259687794,160,40,31.622776601683793
full200_extrapolated,4,M0b_u_plus_logtau,ilr_z2,R2,0.41314097823146334,160,40,10.0
full200_extrapolated,0,M0b_u_plus_logtau,ilr_z1_z4,Q2_Aitchison,0.3651622967290409,160,40,
full200_extrapolated,1,M0b_u_plus_logtau,ilr_z1_z4,Q2_Aitchison,0.30406876622129164,160,40,
full200_extrapolated,2,M0b_u_plus_logtau,ilr_z1_z4,Q2_Aitchison,0.31504661991650473,160,40,
full200_extrapolated,3,M0b_u_plus_logtau,ilr_z1_z4,Q2_Aitchison,0.37360243076441835,160,40,
full200_extrapolated,4,M0b_u_plus_logtau,ilr_z1_z4,Q2_Aitchison,0.2953105077525079,160,40,
full200_extrapolated,0,M0b_u_plus_logtau,A2_8_16,R2,0.27687534205066267,160,40,0.001
full200_extrapolated,1,M0b_u_plus_logtau,A2_8_16,R2,0.6293646282311534,160,40,1.0
full200_extrapolated,2,M0b_u_plus_logtau,A2_8_16,R2,0.661240628461329,160,40,3.1622776601683795
full200_extrapolated,3,M0b_u_plus_logtau,A2_8_16,R2,0.5079441247571573,160,40,10.0
full200_extrapolated,4,M0b_u_plus_logtau,A2_8_16,R2,0.4612599903987131,160,40,3.1622776601683795
full200_extrapolated,0,M0b_u_plus_logtau,angular_entropy_8_16,R2,0.3243890979970042,160,40,3.1622776601683795
full200_extrapolated,1,M0b_u_plus_logtau,angular_entropy_8_16,R2,0.6617591524520315,160,40,3.1622776601683795
