condition,n_samples,dataset_index_list,hatch_values,lambda_star_mean_um,lambda_star_spread_um,W_line_measured_um,W_source,r_W_direct
223:5:1:20,1,174,10.0,10.192698599791559,0.0,,W_unavailable,
223:5:5:20,1,120,10.0,10.003348406161974,0.0,5.7885445801327,estimable,1.7281284211743346
223:20:2:25,1,154,4.0,18.23764737785915,0.0,5.543036222691066,estimable,3.2901909071424087
223:40:3:20,1,142,4.0,13.686953355865574,0.0,,W_unavailable,
223:40:4:20,1,143,4.0,20.33910218473801,0.0,6.649943550527244,estimable,3.0585375695595816
500:5:1:25,1,197,6.0,10.02800697834505,0.0,5.715431566024275,estimable,1.754549391852951
500:10:2:5,1,161,8.0,10.187201719133206,0.0,5.681415179417545,estimable,1.7930746825261221
500:20:2:15,1,177,6.0,10.025623028224507,0.0,5.3606867022435765,estimable,1.8702124531971887
500:20:3:15,1,178,6.0,12.712627116310939,0.0,6.5567869103971645,estimable,1.9388501243120155
500:20:5:15,1,128,6.0,10.626113959029189,0.0,,W_unavailable,
1000:40:2:25,1,148,6.0,13.505688064382563,0.0,4.950094873347368,estimable,2.7283695383498188
1000:40:3:25,1,150,6.0,13.19434205978971,0.0,4.933106172414304,estimable,2.674651953280845
1000:40:4:15,1,181,10.0,13.459631624030925,0.0,6.440656686946898,estimable,2.0897918144448204
2000:2:1:5,1,170,2.0,10.992604555676673,0.0,4.75216397553592,estimable,2.3131787144270404
2000:2:1:10,1,186,4.0,9.56283765931253,0.0,,W_unavailable,
2000:10:4:5,2,54;156,8.0;10.0,11.345979125111056,0.6295699171803015,,W_unavailable,
4000:2:5:5,1,72,2.0,14.56665793369415,0.0,6.582812583191727,estimable,2.21283193917567
4000:10:3:20,1,164,10.0,10.149086117041653,0.0,6.42969519940392,estimable,1.578470798737481
4000:20:1:15,1,147,2.0,16.39308904929755,0.0,,rejected_by_qa,
