variant,fold,model,n_train,n_test,R2,MAE_um,alpha,n_folds,median_R2,median_MAE_um
primary,0.0,ridge,64.0,17.0,-0.22645247786062273,0.7826684796759589,31.622776601683793,,,
primary,1.0,ridge,65.0,16.0,-0.06932450703477144,0.9013901776046542,31.622776601683793,,,
primary,2.0,ridge,65.0,16.0,-0.003459639627509281,1.0013791539216375,316.22776601683796,,,
primary,3.0,ridge,65.0,16.0,-0.008205723686920186,0.8769122835609495,1000.0,,,
primary,4.0,ridge,65.0,16.0,0.04367050644429982,0.7207495014628749,316.22776601683796,,,
primary,0.0,spline,64.0,17.0,-0.15401731185736822,0.7533906320751487,,,,
primary,1.0,spline,65.0,16.0,-0.16011195681732615,0.9295009629411648,,,,
primary,2.0,spline,65.0,16.0,0.02043347969484577,1.0194063672176032,,,,
primary,3.0,spline,65.0,16.0,0.021006064471542962,0.9059185264816787,,,,
primary,4.0,spline,65.0,16.0,0.1569835027843789,0.5852073154366568,,,,
primary,0.0,extratrees,64.0,17.0,-0.31023489903771884,0.8800750974088694,,,,
primary,1.0,extratrees,65.0,16.0,-0.7006272382914982,1.1248615606766157,,,,
primary,2.0,extratrees,65.0,16.0,-0.41478191174559753,1.1086613170141497,,,,
primary,3.0,extratrees,65.0,16.0,0.04678116344346461,0.8213817526363053,,,,
primary,4.0,extratrees,65.0,16.0,-0.31847732253682404,0.7857802149518913,,,,
sensitivity,0.0,ridge,64.0,17.0,-0.22645247786062273,0.7826684796759589,31.622776601683793,,,
sensitivity,1.0,ridge,65.0,16.0,-0.06932450703477144,0.9013901776046542,31.622776601683793,,,
sensitivity,2.0,ridge,65.0,16.0,-0.003459639627509281,1.0013791539216375,316.22776601683796,,,
sensitivity,3.0,ridge,65.0,16.0,-0.008205723686920186,0.8769122835609495,1000.0,,,
sensitivity,4.0,ridge,65.0,16.0,0.04367050644429982,0.7207495014628749,316.22776601683796,,,
primary,0.0,ridge,60.0,21.0,0.02337299755770894,0.7047039815889766,316.22776601683796,,,
primary,1.0,ridge,60.0,21.0,0.027044107044609245,0.7254847374583971,316.22776601683796,,,
primary,2.0,ridge,60.0,21.0,0.02277239484609639,0.6410149538130577,316.22776601683796,,,
primary,3.0,ridge,60.0,21.0,-0.061024507679550366,0.8358002423910873,31.622776601683793,,,
primary,4.0,ridge,60.0,21.0,-0.11409309631542697,0.9206702545087143,316.22776601683796,,,
primary,,extratrees,,,,,,5.0,-0.31847732253682404,0.8800750974088694
primary,,ridge,,,,,,10.0,-0.005832681657214733,0.8092343610335231
primary,,spline,,,,,,5.0,0.02043347969484577,0.9059185264816787
sensitivity,,ridge,,,,,,5.0,-0.008205723686920186,0.8769122835609495
