dataset_index,session_id,measurement_id,sample_id,shared_height_source_id,roi_within_measurement,session_role,design_group,processing_order,x_position_um,y_position_um,compressor_steps,pulse_duration_fs,pulse_duration_calibration_id,pulse_duration_calibration_version,frequency_kHz,hatch_spacing_um,pass_count,velocity_mm_s,valid_fraction,repair_fraction,median_depth_um,residual_Sq_um,plane_rmse_um,plane_status,measured_power_W,nominal_software_power_W,power_measurement_source,power_measurement_version,constant_power_assumption,pulse_energy_proxy_uJ,scan_spacing_um,areal_pulse_density_per_mm2,areal_dose_proxy_J_per_mm2,quad_key,base_condition_group,cv_process_group,phase1_global_loco_rank,phase1_global_loco_angle_deg,p_8_16,log10_tau,W_hat_um,in_box,W_hat_lookup_um,bridge_coverage,eta_h,band_energy_fraction_4_32,lambda_star_valid,lambda_star_4_32_um,lambda_peak_valid,lambda_peak_4_32_um,peak_energy_share_in_window,lambda_star_centroid_um,r_W,r_h,r_h_peak,d_int,d_int_peak,abs_lambda_star_minus_What_um,abs_lambda_star_minus_h_um,abs_lambda_star_minus_2h_um
0,zro2_120_formal,1,1,zro2_120_formal:m001,single,formal,,1,-3300.0,16400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,4,11,1.0,0.0,13.5066,0.5699,0.2188877772242756,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,5.5,363636.3636363637,969.6909090909091,500:2:2:11,F1,FQ:500:2:2:11|N4,90,0.0293428329449272,0.0342382099309782,2.6989700043360187,6.109799610608479,True,,in_box_pred,3.0548998053042395,0.13345796857622397,True,15.036163152530207,False,,0.18982894736125808,58.72214224793108,2.4609912126124125,7.518081576265104,,4.518081576265104,,8.926363541921727,13.036163152530207,11.036163152530207
1,zro2_120_formal,2,2,zro2_120_formal:m002,single,formal,,2,-3300.0,15800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,4.0,5,9,1.0,0.0,8.6371,0.2474,0.2893086040778375,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,4.5,277777.7777777777,740.7361111111111,500:2:4:9,F2,FQ:500:2:4:9|N5,107,0.0210305925046756,0.2730637583192485,2.6989700043360187,6.242043188415606,True,,in_box_pred,1.5605107971039014,0.6838343021255309,True,11.668512421861447,False,,0.1392856204035928,18.85764816044061,1.8693418276112923,2.9171281054653617,,0.08287189453463828,,5.426469233445841,7.668512421861447,3.668512421861447
2,zro2_120_formal,3,3,zro2_120_formal:m003,single,formal,,3,-3300.0,15200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,3,7,1.0,0.0,3.897,0.2425,0.2561944868863207,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,3.5,142857.14285714287,380.9500000000001,500:2:6:7,F3,FQ:500:2:6:7|N3,111,0.0184950120544432,0.2105184725521856,2.6989700043360187,6.054486661732176,True,,in_box_pred,1.009081110288696,0.7387754652552639,True,8.978347929581629,True,6.010042719351759,0.39788672807693154,13.731654316365914,1.4829247186768004,1.4963913215969382,1.0016737865586265,0.4963913215969382,0.0016737865586264888,2.9238612678494524,2.978347929581629,3.021652070418371
3,zro2_120_formal,4,4,zro2_120_formal:m004,single,formal,,4,-3300.0,14600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,8.0,3,9,1.0,0.0,2.162,0.351,0.2399722506936449,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,4.5,83333.33333333333,222.22083333333336,500:2:8:9,F4,FQ:500:2:8:9|N3,127,0.0104844267409639,0.6397237770389178,2.6989700043360187,6.028843118755235,True,,in_box_pred,0.7536053898444044,0.8552580453418895,True,8.585566378279855,True,7.536507573664894,0.6508371441278167,10.073562376597025,1.4240819024749316,1.073195797284982,0.9420634467081117,0.07319579728498193,0.05793655329188829,2.5567232595246203,0.5855663782798555,7.4144336217201445
4,zro2_120_formal,5,5,zro2_120_formal:m005,single,formal,,5,-3300.0,14000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,8.0,5,7,1.0,0.0,4.774,0.3828,0.2280783902500088,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,3.5,178571.42857142858,476.1875,500:2:8:7,F5,FQ:500:2:8:7|N5,155,0.0020245709653536,0.5602002984476983,2.6989700043360187,6.267686731392546,True,,in_box_pred,0.7834608414240682,0.7936690149560801,True,8.748435560785481,True,7.536507573664894,0.6420447609053738,13.287003508428922,1.3957997480901165,1.0935544450981851,0.9420634467081117,0.09355444509818511,0.05793655329188829,2.480748829392935,0.7484355607854809,7.251564439214519
5,zro2_120_formal,6,6,zro2_120_formal:m006,single,formal,,6,-3300.0,13400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,2,7,1.0,0.0,0.7912,0.7215,0.1991742301428834,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,3.5,57142.857142857145,152.38,500:2:10:7,F6,FQ:500:2:10:7|N2,122,0.0129018584426245,0.9126072594872168,2.6989700043360187,5.947886626901991,True,,in_box_pred,0.5947886626901991,0.9684704951793502,True,9.476722768932733,True,9.450672659117906,0.9123447631525163,9.4590621386018,1.593292435345017,0.9476722768932733,0.9450672659117906,0.05232772310672673,0.05493273408820942,3.528836142030742,0.5232772310672669,10.523277231067267
6,zro2_120_formal,7,7,zro2_120_formal:m007,single,formal,,7,-3300.0,12800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,5,5,1.0,0.0,6.1178,0.8692,0.2317433984458325,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,2.5,200000.0,533.33,500:2:10:5,F7,FQ:500:2:10:5|N5,96,0.0247437840828345,0.8934367400816127,2.6989700043360187,6.293330274369487,True,,in_box_pred,0.6293330274369487,0.9803426774693088,True,10.03098145708803,True,9.450672659117906,0.6823455454035194,10.078325264884285,1.5939067266087523,1.003098145708803,0.9450672659117906,0.0030981457088030684,0.05493273408820942,3.737651182718543,0.03098145708803024,9.96901854291197
7,zro2_120_formal,8,8,zro2_120_formal:m008,single,formal,,8,-3300.0,12200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,5,11,1.0,0.0,2.6327,1.0928,0.2022893945375132,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,5.5,90909.09090909093,242.4227272727273,500:2:10:11,F8,FQ:500:2:10:11|N5,108,0.0201481013634957,0.8153931899623513,2.6989700043360187,6.216399645438664,True,,in_box_pred,0.6216399645438664,0.9224733123821525,True,10.131741650392286,True,9.450672659117906,0.6493382104503262,11.064361236022387,1.629840780559618,1.0131741650392285,0.9450672659117906,0.013174165039228525,0.05493273408820942,3.9153420049536214,0.1317416503922857,9.868258349607714
8,zro2_120_formal,9,9,zro2_120_formal:m009,single,formal,,9,-3300.0,11600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,4,3,1.0,0.0,57.0338,0.34,0.2713436573814032,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.3,6666666.666666667,3555.5333333333333,500:10:2:3,F9,FQ:500:10:2:3|N4,133,0.0089012432918744,0.3850085057838425,2.6989700043360187,6.15121362161992,False,,out_of_box,3.07560681080996,0.8465713554546305,True,11.012258268304697,False,,0.15280936319701954,11.609088835388407,1.79025781670132,5.506129134152348,,2.5061291341523484,,4.8610446466847765,9.012258268304697,7.012258268304697
9,zro2_120_formal,10,10,zro2_120_formal:m010,single,formal,,10,-3300.0,11000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,1,3,1.0,0.0,3.669,0.8399,0.2093315666446699,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.3,833333.3333333334,444.44166666666666,500:10:4:3,F10,FQ:500:10:4:3|N1,112,0.0184377251101652,0.4129231154169914,2.6989700043360187,5.8314135171293655,False,,out_of_box,1.4578533792823414,0.8298489517567831,True,13.207177455648896,False,,0.1836460794363016,16.26527567573598,2.2648329460522296,3.301794363912224,,0.30179436391222403,,7.375763938519531,9.207177455648896,5.207177455648896
