variant,fold,model,n_train,n_test,R2,MAE_um,alpha,n_folds,median_R2,median_MAE_um
primary,0.0,ridge,64.0,17.0,0.04213561305925273,1.0199633087702333,100.0,,,
primary,1.0,ridge,65.0,16.0,0.0006683262414844959,0.6042786493067651,31.622776601683793,,,
primary,2.0,ridge,65.0,16.0,-0.18455539803524523,0.9248312332181905,10.0,,,
primary,3.0,ridge,65.0,16.0,0.037866841436587584,0.8716882084737616,316.22776601683796,,,
primary,4.0,ridge,65.0,16.0,0.10240373255959734,0.8389121578202934,100.0,,,
primary,0.0,spline,64.0,17.0,0.07547897793353453,0.9798361440211057,,,,
primary,1.0,spline,65.0,16.0,-0.050924849718713805,0.604542515169449,,,,
primary,2.0,spline,65.0,16.0,-0.06134925665303492,0.8649042910415315,,,,
primary,3.0,spline,65.0,16.0,0.08676185556300753,0.7751544902503584,,,,
primary,4.0,spline,65.0,16.0,-0.015100804161088277,0.8960830612307207,,,,
primary,0.0,extratrees,64.0,17.0,-0.31190571951486734,1.179889831466059,,,,
primary,1.0,extratrees,65.0,16.0,-0.6282560950145977,0.7860200748930899,,,,
primary,2.0,extratrees,65.0,16.0,-0.7042158022200238,1.1408652484182458,,,,
primary,3.0,extratrees,65.0,16.0,-0.12773958884013625,0.8379638780187992,,,,
primary,4.0,extratrees,65.0,16.0,-0.5842667171665692,1.0743650912523157,,,,
sensitivity,0.0,ridge,64.0,17.0,0.04213561305925273,1.0199633087702333,100.0,,,
sensitivity,1.0,ridge,65.0,16.0,0.0006683262414844959,0.6042786493067651,31.622776601683793,,,
sensitivity,2.0,ridge,65.0,16.0,-0.18455539803524523,0.9248312332181905,10.0,,,
sensitivity,3.0,ridge,65.0,16.0,0.037866841436587584,0.8716882084737616,316.22776601683796,,,
sensitivity,4.0,ridge,65.0,16.0,0.10240373255959734,0.8389121578202934,100.0,,,
primary,0.0,ridge,60.0,21.0,0.08113327508505908,0.7049934563681962,100.0,,,
primary,1.0,ridge,60.0,21.0,0.04537319730390088,0.7379140172132823,100.0,,,
primary,2.0,ridge,60.0,21.0,0.05582537825973166,0.634883260251405,100.0,,,
primary,3.0,ridge,60.0,21.0,-0.061024507679550366,0.8358002423910873,31.622776601683793,,,
primary,4.0,ridge,60.0,21.0,-0.07286652008229222,0.9162966896057974,100.0,,,
primary,,extratrees,,,,,,5.0,-0.5842667171665692,1.0743650912523157
primary,,ridge,,,,,,10.0,0.04000122724792016,0.8373562001056903
primary,,spline,,,,,,5.0,-0.015100804161088277,0.8649042910415315
sensitivity,,ridge,,,,,,5.0,0.037866841436587584,0.8716882084737616
