single_line_id,theta_line_deg,L_detected_um,s_start_um,s_end_um,stable_start_um,stable_end_um,n_cones_repaired,n_repair_pixels,qc_auto_flags,n_sections_total,n_sections_used,median_W20_um,iqr_W20_um,p10_W20_um,p90_W20_um,censored_frac_W20,n_uncensored_sections_W20,median_W50_um,iqr_W50_um,p10_W50_um,p90_W50_um,censored_frac_W50,n_uncensored_sections_W50,median_W80_um,iqr_W80_um,p10_W80_um,p90_W80_um,censored_frac_W80,n_uncensored_sections_W80,CV_W50,median_W_eq_um,median_max_depth_um,width_identifiability,n_sections_total_rep,n_sections_used_rep,median_W20_um_rep,iqr_W20_um_rep,p10_W20_um_rep,p90_W20_um_rep,censored_frac_W20_rep,n_uncensored_sections_W20_rep,median_W50_um_rep,iqr_W50_um_rep,p10_W50_um_rep,p90_W50_um_rep,censored_frac_W50_rep,n_uncensored_sections_W50_rep,median_W80_um_rep,iqr_W80_um_rep,p10_W80_um_rep,p90_W80_um_rep,censored_frac_W80_rep,n_uncensored_sections_W80_rep,CV_W50_rep,median_W_eq_um_rep,median_max_depth_um_rep,width_identifiability_rep
13,-0.5602357130055964,212.0,-107.16360859624598,104.83639140375402,-75.36360859624598,73.03639140375402,0,0,ok,75,75,10.436400589340543,0.45513979714082886,9.634313266097205,10.914748616718686,0.0,75,7.4124198062059,0.5520070916042616,6.725327103999967,7.820653209575179,0.0,75,4.102949838586956,0.6878067127515348,3.330263933108749,4.681161481917837,0.0,75,0.07447056508349739,7.378935952558532,14.613481893031933,estimable,75,75,10.436400589340543,0.45513979714082886,9.634313266097205,10.914748616718686,0.0,75,7.4124198062059,0.5520070916042616,6.725327103999967,7.820653209575179,0.0,75,4.102949838586956,0.6878067127515348,3.330263933108749,4.681161481917837,0.0,75,0.07447056508349739,7.378935952558532,14.613481893031933,estimable
19,-0.5890289510199977,209.0,-101.49375434637892,107.50624565362108,-70.14375434637893,76.15624565362108,0,0,threshold_width_relative_range_above,74,74,9.052512218950051,0.6789551236549354,8.596884351389514,9.679512892596685,0.0,74,6.211878333201631,0.995203709088841,5.439397590164178,7.10824923433808,0.0,74,3.2557885605602017,1.3907847101292017,1.998161156661536,4.114934141398991,0.0,74,0.16020978771744687,6.1601666553572905,13.906636124511547,estimable,74,74,9.052512218950051,0.6789551236549354,8.596884351389514,9.679512892596685,0.0,74,6.211878333201631,0.995203709088841,5.439397590164178,7.10824923433808,0.0,74,3.2557885605602017,1.3907847101292017,1.998161156661536,4.114934141398991,0.0,74,0.16020978771744687,6.1601666553572905,13.906636124511547,estimable
33,-0.5386191875496422,83.0,-71.33554547985051,11.66445452014949,-58.88554547985051,-0.7855454798505086,0,0,threshold_width_relative_range_above|short_visible_length,30,30,6.917832400513977,1.0933110599981193,6.509837254854607,8.03623966187205,0.0,30,5.215989109478289,0.5479516219007596,4.14433445228041,5.725421314799718,0.0,30,3.170634486593653,0.8489431766823219,1.9773722710612198,3.8442747088201066,0.0,30,0.10505229409030852,5.367296740061921,4.26093311874131,estimable,30,30,6.917832400513977,1.0933110599981193,6.509837254854607,8.03623966187205,0.0,30,5.215989109478289,0.5479516219007596,4.14433445228041,5.725421314799718,0.0,30,3.170634486593653,0.8489431766823219,1.9773722710612198,3.8442747088201066,0.0,30,0.10505229409030852,5.367296740061921,4.26093311874131,estimable
34,-0.5740417221501275,208.0,-103.02559118519949,104.97440881480051,-71.82559118519949,73.77440881480051,1,212,threshold_width_relative_range_above,73,73,8.004145484771263,1.1734421802492179,6.676207674759358,8.943383185030164,0.0,73,5.359128526901497,1.2598008096903373,4.234947125637414,6.338350310262131,0.0,73,2.6830335515505066,0.9363207255325761,1.9124550071025659,3.722105182151584,0.0,73,0.2350756850421574,5.6029510135125475,5.075555220112413,estimable,73,73,8.004145484771263,1.1734421802492179,6.676207674759358,8.943383185030164,0.0,73,5.359128526901497,1.2598008096903373,4.234947125637414,6.338350310262131,0.0,73,2.6830335515505066,0.9363207255325761,1.9124550071025659,3.722105182151584,0.0,73,0.2350756850421574,5.6029510135125475,5.075555220112413,estimable
43,-0.7668244116294147,192.0,-87.7875755671746,104.2124244328254,-58.9875755671746,75.4124244328254,2,623,threshold_width_relative_range_above,68,68,6.490004260828679,1.114995462893389,5.343039843054523,7.733311069259785,0.0,68,4.543831186046919,1.4144599624091425,3.1837047725403567,5.437962770340979,0.0,68,2.338360894338064,1.0812147222402142,1.326035789290934,3.2519670359747463,0.0,68,0.3112923663961439,4.717322516599673,6.080742586768745,estimable,68,68,6.490004260828679,1.114995462893389,5.343039843054523,7.733311069259785,0.0,68,4.543831186046919,1.4144599624091425,3.1837047725403567,5.437962770340979,0.0,68,2.338360894338064,1.0812147222402142,1.326035789290934,3.2519670359747463,0.0,68,0.3112923663961439,4.717322516599673,6.080742586768745,estimable
44,-0.5273722546860142,156.0,-101.45098307534013,54.54901692465987,-78.05098307534013,31.14901692465987,2,176,threshold_width_relative_range_above,55,55,6.383618871774798,1.0049285713024299,5.133326951797816,7.2605294385511305,0.0,55,4.270706977400767,1.035186621848958,3.154687912969084,5.088082874427096,0.0,55,2.0837099816481985,0.8010107378748383,1.2179588514864654,2.8695444954221467,0.0,55,0.24239233160383955,4.739162091407163,3.164112664491637,estimable,55,55,6.383618871774798,1.0049285713024299,5.133326951797816,7.2605294385511305,0.0,55,4.270706977400767,1.035186621848958,3.154687912969084,5.088082874427096,0.0,55,2.0837099816481985,0.8010107378748383,1.2179588514864654,2.8695444954221467,0.0,55,0.24239233160383955,4.739162091407163,3.164112664491637,estimable
48,-0.4250356661064245,113.0,-60.30879487901245,52.69120512098755,-43.35879487901245,35.741205120987544,5,2079,threshold_width_relative_range_above|short_visible_length,40,40,7.049907620981069,0.9855139437561204,6.294900911053088,7.786156743339015,0.0,40,4.77262162364822,1.3291093957953084,3.7524020382625416,6.301434863507651,0.0,40,2.3272027893618064,1.0211637337457744,1.3195357154510186,3.5392063559692573,0.0,40,0.27848622845138293,5.207995920533938,3.4730905079729437,estimable,40,40,7.2894652528956625,1.1007668953586407,6.373328296295519,8.842108309930524,0.0,40,4.934459561280182,2.2543012633491655,3.553346152752824,7.525800476488351,0.0,40,2.0527686848408733,1.9280671962055194,0.9389363395253338,4.747762023886341,0.0,40,0.4568486650571144,5.558514071825193,2.552131466290115,estimable
51,-0.5721255687156486,209.0,-102.91382593533405,106.08617406466595,-71.56382593533405,74.73617406466596,1,191,ok,74,74,7.521602796282973,0.7034137569309955,6.883429079264164,8.21028758365822,0.0,74,5.69700441433962,0.6041930579356878,5.046382672145364,6.200498702124624,0.0,74,3.350267325297314,0.900875161772412,2.5118653458307834,4.127664900195868,0.0,74,0.10605451812796673,5.6716498506424715,4.297702433986815,estimable,74,74,7.521602796282973,0.7034137569309955,6.883429079264164,8.21028758365822,0.0,74,5.69700441433962,0.6041930579356878,5.046382672145364,6.200498702124624,0.0,74,3.350267325297314,0.900875161772412,2.5118653458307834,4.127664900195868,0.0,74,0.10605451812796673,5.6716498506424715,4.297702433986815,estimable
60,-0.4885639733684286,15.0,84.91573571961027,99.91573571961027,87.16573571961027,97.66573571961027,3,222,few_sections|short_visible_length,6,6,9.252776749009021,0.5193683306658805,8.915791436033128,9.67171286915751,0.0,6,6.851360905277418,0.6876915830006531,6.194813007802477,7.517890397580987,0.0,6,2.6450204681603964,1.1471772513808065,1.9062034300545003,4.138286234102546,0.0,6,0.1003729904917055,6.471255037194082,5.854787978260611,insufficient_sections,6,6,9.252776749009021,0.5193683306658805,8.915791436033128,9.67171286915751,0.0,6,6.851360905277418,0.6876915830006531,6.194813007802477,7.517890397580987,0.0,6,2.6450204681603964,1.1471772513808065,1.9062034300545003,4.138286234102546,0.0,6,0.1003729904917055,6.471255037194082,5.854787978260611,insufficient_sections
68,-0.5129950176759905,210.0,-105.61306114307808,104.38693885692192,-74.11306114307808,72.88693885692192,0,0,ok,74,74,10.115858909968395,0.6225879765346161,9.073667075032436,10.782053482742166,0.0,74,7.178379552981747,0.7022456308385934,6.364710292587822,7.8257898203862135,0.0,74,4.366862377708763,0.7355013113601583,3.421250606242254,4.87567807723674,0.0,74,0.09782787684260794,7.2172211223456575,8.202069033311293,estimable,74,74,10.115858909968395,0.6225879765346161,9.073667075032436,10.782053482742166,0.0,74,7.178379552981747,0.7022456308385934,6.364710292587822,7.8257898203862135,0.0,74,4.366862377708763,0.7355013113601583,3.421250606242254,4.87567807723674,0.0,74,0.09782787684260794,7.2172211223456575,8.202069033311293,estimable
