h,c,phases,n_profiles,P_INVALID,P_OUT,P_m1,P_m2,P_m3
2.0,0.0,32,27,0.28935185185185186,0.7106481481481481,0.0,0.0,0.0
2.0,0.1,16,27,0.375,0.625,0.0,0.0,0.0
2.0,0.2,16,27,0.3726851851851852,0.6273148148148148,0.0,0.0,0.0
2.0,0.3,16,27,0.375,0.625,0.0,0.0,0.0
2.0,0.4,16,27,0.37962962962962965,0.6203703703703703,0.0,0.0,0.0
2.0,0.5,16,27,0.38657407407407407,0.6134259259259259,0.0,0.0,0.0
2.0,0.6,16,27,0.38657407407407407,0.6134259259259259,0.0,0.0,0.0
2.0,0.7,16,27,0.3819444444444444,0.6180555555555556,0.0,0.0,0.0
2.0,0.8,16,27,0.3773148148148148,0.6226851851851852,0.0,0.0,0.0
2.0,0.9,16,27,0.3912037037037037,0.6087962962962963,0.0,0.0,0.0
4.0,0.0,32,27,0.4027777777777778,0.5972222222222222,0.0,0.0,0.0
4.0,0.1,16,27,0.48148148148148145,0.5185185185185185,0.0,0.0,0.0
4.0,0.2,16,27,0.41203703703703703,0.5879629629629629,0.0,0.0,0.0
4.0,0.3,16,27,0.40046296296296297,0.5995370370370371,0.0,0.0,0.0
4.0,0.4,16,27,0.4027777777777778,0.5972222222222222,0.0,0.0,0.0
4.0,0.5,16,27,0.3912037037037037,0.6087962962962963,0.0,0.0,0.0
4.0,0.6,16,27,0.39814814814814814,0.6018518518518519,0.0,0.0,0.0
4.0,0.7,16,27,0.39351851851851855,0.6064814814814815,0.0,0.0,0.0
4.0,0.8,16,27,0.39814814814814814,0.6018518518518519,0.0,0.0,0.0
4.0,0.9,16,27,0.4027777777777778,0.5972222222222222,0.0,0.0,0.0
6.0,0.0,32,27,0.3020833333333333,0.6979166666666666,0.0,0.0,0.0
6.0,0.1,16,27,0.4097222222222222,0.5902777777777778,0.0,0.0,0.0
6.0,0.2,16,27,0.375,0.625,0.0,0.0,0.0
6.0,0.3,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
6.0,0.4,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
6.0,0.5,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
6.0,0.6,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
6.0,0.7,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
6.0,0.8,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
6.0,0.9,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
8.0,0.0,32,27,0.40162037037037035,0.5983796296296297,0.0,0.0,0.0
8.0,0.1,16,27,0.37962962962962965,0.6203703703703703,0.0,0.0,0.0
8.0,0.2,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
8.0,0.3,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
8.0,0.4,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
8.0,0.5,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
8.0,0.6,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
8.0,0.7,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
8.0,0.8,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
8.0,0.9,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
10.0,0.0,32,27,0.28703703703703703,0.7129629629629629,0.0,0.0,0.0
10.0,0.1,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
10.0,0.2,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
10.0,0.3,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
10.0,0.4,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
10.0,0.5,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
10.0,0.6,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
10.0,0.7,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
10.0,0.8,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
10.0,0.9,16,27,0.37037037037037035,0.6296296296296297,0.0,0.0,0.0
