h,m,lambda_um,k_per_um,confidence,mean_S_g,n_lines_read
2.0,1,2.0,0.5,HIGH,0.17951661537585303,81.0
2.0,2,4.0,0.25,HIGH,12.07834388098431,81.0
2.0,3,6.0,0.16666666666666666,HIGH,216.15547401538555,81.0
4.0,1,4.0,0.25,HIGH,12.07834388098431,81.0
4.0,2,8.0,0.125,HIGH,2090.2025541668772,81.0
4.0,3,12.0,0.08333333333333333,LOW,10346.089580997765,81.0
6.0,1,6.0,0.16666666666666666,HIGH,216.15547401538555,81.0
6.0,2,12.0,0.08333333333333333,LOW,10346.089580997765,81.0
6.0,3,18.0,0.05555555555555555,UNMEASURABLE,20511.738476240644,81.0
8.0,1,8.0,0.125,HIGH,2090.2025541668772,81.0
8.0,2,16.0,0.0625,UNMEASURABLE,17760.545180358124,81.0
8.0,3,24.0,0.041666666666666664,UNMEASURABLE,25960.045040136523,81.0
10.0,1,10.0,0.1,LOW,5945.241676902086,81.0
10.0,2,20.0,0.05,UNMEASURABLE,22726.882872495007,81.0
10.0,3,30.0,0.03333333333333333,UNMEASURABLE,28930.713332898264,81.0
