dataset_index,hatch_spacing_um,lambda_star_4_32_um,lambda_star_valid,lambda_peak_4_32_um,lambda_peak_valid,r_h,r_h_peak,d_int,d_int_peak,class_code,class_name
0,2.0,15.036163152530207,True,,False,7.518081576265104,,4.518081576265104,,0,INVALID
1,4.0,11.668512421861449,True,,False,2.917128105465362,,0.0828718945346378,,0,INVALID
2,6.0,8.978347929581629,True,6.010042719351759,True,1.4963913215969382,1.0016737865586265,0.4963913215969382,0.0016737865586264,2,m1
3,8.0,8.585566378279855,True,7.536507573664894,True,1.073195797284982,0.9420634467081116,0.0731957972849819,0.0579365532918882,2,m1
4,8.0,8.748435560785481,True,7.536507573664894,True,1.0935544450981851,0.9420634467081116,0.0935544450981851,0.0579365532918882,2,m1
5,10.0,9.476722768932731,True,9.450672659117906,True,0.9476722768932732,0.9450672659117906,0.0523277231067268,0.0549327340882094,2,m1
6,10.0,10.03098145708803,True,9.450672659117906,True,1.003098145708803,0.9450672659117906,0.003098145708803,0.0549327340882094,2,m1
7,10.0,10.131741650392286,True,9.450672659117906,True,1.0131741650392283,0.9450672659117906,0.0131741650392285,0.0549327340882094,2,m1
8,2.0,11.012258268304697,True,,False,5.506129134152348,,2.5061291341523484,,0,INVALID
9,4.0,13.207177455648896,True,,False,3.301794363912224,,0.301794363912224,,0,INVALID
10,6.0,15.896771719511722,True,,False,2.649461953251954,,0.3505380467480461,,0,INVALID
11,8.0,10.595772488586425,True,7.536507573664894,True,1.324471561073303,0.9420634467081116,0.3244715610733031,0.0579365532918882,2,m1
12,8.0,16.49892017171428,True,,False,2.062365021464285,,0.0623650214642848,,0,INVALID
13,10.0,9.57889903024946,True,9.450672659117906,True,0.957889903024946,0.9450672659117906,0.042110096975054,0.0549327340882094,2,m1
14,8.0,14.939724935837402,True,14.860994818258504,True,1.8674656169796755,1.857624352282313,0.1325343830203247,0.1423756477176869,3,m2
15,8.0,12.552325668460275,True,14.860994818258504,True,1.5690407085575344,1.857624352282313,0.4309592914424656,0.1423756477176869,3,m2
16,2.0,14.958876546228812,True,,False,7.479438273114406,,4.479438273114406,,0,INVALID
17,4.0,14.27831212050656,True,14.860994818258504,True,3.56957803012664,3.715248704564626,0.5695780301266402,0.7152487045646261,1,OUT
18,4.0,13.45723392681136,True,,False,3.36430848170284,,0.3643084817028401,,0,INVALID
19,4.0,,False,,False,,,,,0,INVALID
20,6.0,15.18258120387595,True,11.851008286901518,True,2.530430200645992,1.97516804781692,0.4695697993540082,0.0248319521830804,3,m2
21,6.0,19.300862343934504,True,,False,3.2168103906557506,,0.2168103906557505,,0,INVALID
22,8.0,21.03300978873768,True,,False,2.62912622359221,,0.37087377640779,,0,INVALID
23,10.0,22.50844413661983,True,,False,2.2508444136619827,,0.2508444136619827,,0,INVALID
24,2.0,12.772355638285044,True,,False,6.386177819142522,,3.386177819142522,,0,INVALID
25,10.0,9.448952183282888,True,9.450672659117906,True,0.9448952183282888,0.9450672659117906,0.0551047816717111,0.0549327340882094,2,m1
26,2.0,16.85114805181296,True,,False,8.42557402590648,,5.42557402590648,,0,INVALID
27,4.0,10.15857296040633,True,7.536507573664894,True,2.5396432401015825,1.8841268934162236,0.4603567598984175,0.1158731065837765,3,m2
28,4.0,16.448715843082976,True,,False,4.112178960770744,,1.112178960770744,,0,INVALID
29,6.0,11.469957883713992,True,11.851008286901518,True,1.9116596472856653,1.97516804781692,0.0883403527143347,0.0248319521830804,3,m2
30,8.0,9.442777413200083,True,7.536507573664894,True,1.1803471766500104,0.9420634467081116,0.1803471766500104,0.0579365532918882,2,m1
31,4.0,11.357109850221216,True,7.536507573664894,True,2.839277462555304,1.8841268934162236,0.1607225374446961,0.1158731065837765,3,m2
32,4.0,17.89052466881779,True,,False,4.472631167204447,,1.4726311672044474,,0,INVALID
33,6.0,12.992753153458636,True,11.851008286901518,True,2.1654588589097727,1.97516804781692,0.1654588589097727,0.0248319521830804,3,m2
34,8.0,15.83083337896166,True,14.860994818258504,True,1.978854172370208,1.857624352282313,0.0211458276297924,0.1423756477176869,3,m2
35,8.0,15.562527088394411,True,14.860994818258504,True,1.9453158860493012,1.857624352282313,0.0546841139506986,0.1423756477176869,3,m2
36,10.0,15.172112391585868,True,18.63547485933348,True,1.5172112391585868,1.863547485933348,0.4827887608414132,0.1364525140666519,3,m2
37,2.0,17.651628041717416,True,,False,8.825814020858708,,5.825814020858708,,0,INVALID
38,6.0,15.685102046397756,True,,False,2.614183674399626,,0.3858163256003739,,0,INVALID
39,6.0,17.325254561648958,True,,False,2.887542426941493,,0.1124575730585069,,0,INVALID
40,8.0,18.277103175923607,True,18.63547485933348,True,2.284637896990451,2.329434357416685,0.2846378969904508,0.3294343574166851,1,OUT
41,10.0,14.258795157019971,True,18.63547485933348,True,1.4258795157019972,1.863547485933348,0.4258795157019972,0.1364525140666519,3,m2
42,10.0,20.75731624373364,True,,False,2.075731624373364,,0.0757316243733638,,0,INVALID
43,6.0,19.33160555605301,True,,False,3.2219342593421683,,0.2219342593421682,,0,INVALID
44,6.0,17.105879117779093,True,18.63547485933348,True,2.850979852963182,3.1059124765555803,0.1490201470368179,0.1059124765555803,4,m3
45,8.0,14.702049300153467,True,14.860994818258504,True,1.8377561625191836,1.857624352282313,0.1622438374808166,0.1423756477176869,3,m2
46,10.0,17.728286549118657,True,18.63547485933348,True,1.7728286549118657,1.863547485933348,0.2271713450881343,0.1364525140666519,3,m2
47,10.0,13.903387385739377,True,9.450672659117906,True,1.3903387385739376,0.9450672659117906,0.3903387385739376,0.0549327340882094,2,m1
48,6.0,9.708231566821963,True,6.010042719351759,True,1.6180385944703273,1.0016737865586265,0.3819614055296727,0.0016737865586264,2,m1
49,6.0,9.89823266090284,True,6.010042719351759,True,1.6497054434838068,1.0016737865586265,0.3502945565161932,0.0016737865586264,2,m1
50,10.0,9.324161269491098,True,9.450672659117906,True,0.9324161269491098,0.9450672659117906,0.0675838730508902,0.0549327340882094,2,m1
51,2.0,,False,18.63547485933348,True,,9.31773742966674,,6.317737429666741,1,OUT
52,2.0,13.657657525470372,True,,False,6.828828762735186,,3.828828762735186,,0,INVALID
53,2.0,13.839279657921876,True,14.860994818258504,True,6.919639828960938,7.430497409129252,3.919639828960938,4.430497409129252,1,OUT
54,10.0,11.975549042291355,True,9.450672659117906,True,1.1975549042291356,0.9450672659117906,0.1975549042291355,0.0549327340882094,2,m1
55,4.0,11.761191983380671,True,7.536507573664894,True,2.940297995845168,1.8841268934162236,0.0597020041548321,0.1158731065837765,3,m2
56,4.0,12.38847798629755,True,11.851008286901518,True,3.097119496574388,2.9627520717253795,0.0971194965743875,0.0372479282746205,4,m3
57,6.0,21.254572210004635,True,,False,3.5424287016674394,,0.5424287016674394,,0,INVALID
58,6.0,17.27007056304232,True,14.860994818258504,True,2.878345093840387,2.4768324697097506,0.121654906159613,0.4768324697097506,1,OUT
59,10.0,10.772169964172535,True,9.450672659117906,True,1.0772169964172535,0.9450672659117906,0.0772169964172535,0.0549327340882094,2,m1
60,4.0,14.305243299707998,True,18.63547485933348,True,3.5763108249269995,4.65886871483337,0.5763108249269995,1.6588687148333705,1,OUT
61,4.0,15.556425511596798,True,,False,3.8891063778992,,0.8891063778991994,,0,INVALID
62,6.0,16.970144108325027,True,,False,2.8283573513875044,,0.1716426486124955,,0,INVALID
63,8.0,12.69811840776946,True,14.860994818258504,True,1.5872648009711825,1.857624352282313,0.4127351990288175,0.1423756477176869,3,m2
64,8.0,12.850496649377304,True,14.860994818258504,True,1.606312081172163,1.857624352282313,0.393687918827837,0.1423756477176869,3,m2
65,2.0,,False,,False,,,,,0,INVALID
66,2.0,18.913255555658143,True,,False,9.456627777829071,,6.456627777829072,,0,INVALID
67,2.0,16.385646000680737,True,,False,8.192823000340368,,5.192823000340368,,0,INVALID
68,4.0,13.457926207365,True,,False,3.36448155184125,,0.3644815518412501,,0,INVALID
69,4.0,19.11448554734033,True,,False,4.778621386835082,,1.7786213868350824,,0,INVALID
70,10.0,18.21786800642005,True,,False,1.821786800642005,,0.1782131993579949,,0,INVALID
71,10.0,15.353228470100618,True,18.63547485933348,True,1.5353228470100615,1.863547485933348,0.4646771529899383,0.1364525140666519,3,m2
72,2.0,14.56665793369415,True,,False,7.283328966847075,,4.283328966847075,,0,INVALID
73,2.0,12.40952841173918,True,11.851008286901518,True,6.20476420586959,5.925504143450759,3.2047642058695898,2.925504143450759,1,OUT
74,6.0,10.395135974354488,True,6.010042719351759,True,1.7325226623924148,1.0016737865586265,0.2674773376075852,0.0016737865586264,2,m1
75,6.0,12.522139038506287,True,11.851008286901518,True,2.0870231730843813,1.97516804781692,0.0870231730843813,0.0248319521830804,3,m2
76,2.0,12.662404172006315,True,,False,6.331202086003158,,3.3312020860031577,,0,INVALID
77,8.0,9.144133649393266,True,7.536507573664894,True,1.1430167061741583,0.9420634467081116,0.1430167061741583,0.0579365532918882,2,m1
78,10.0,10.267739738899024,True,9.450672659117906,True,1.0267739738899024,0.9450672659117906,0.0267739738899024,0.0549327340882094,2,m1
79,2.0,14.624191870224823,True,18.63547485933348,True,7.312095935112412,9.31773742966674,4.312095935112412,6.317737429666741,1,OUT
80,2.0,12.236876209360364,True,,False,6.118438104680182,,3.118438104680182,,0,INVALID
81,4.0,13.26151842983807,True,11.851008286901518,True,3.315379607459517,2.9627520717253795,0.3153796074595174,0.0372479282746205,4,m3
82,4.0,17.406108620495132,True,,False,4.351527155123783,,1.351527155123783,,0,INVALID
83,4.0,19.77319075202608,True,,False,4.94329768800652,,1.94329768800652,,0,INVALID
84,6.0,10.6712073803481,True,11.851008286901518,True,1.77853456339135,1.97516804781692,0.2214654366086499,0.0248319521830804,3,m2
85,10.0,11.569945815624887,True,9.450672659117906,True,1.156994581562489,0.9450672659117906,0.1569945815624887,0.0549327340882094,2,m1
