target,variant,model,fold,skill_q2,alpha,n_train,n_test
D,src_gkf,full,0,0.741860962431755,3.1622776601683795,160,40
D,src_gkf,full,1,0.5319013258483427,1.0,160,40
D,src_gkf,full,2,0.5910760332064742,10.0,160,40
D,src_gkf,full,3,0.5515685530812657,3.1622776601683795,160,40
D,src_gkf,full,4,0.5089156594999787,3.1622776601683795,160,40
D,src_gkf,h_only,0,0.02905345209992405,31.622776601683793,160,40
D,src_gkf,h_only,1,0.04363427561439881,10.0,160,40
D,src_gkf,h_only,2,0.07313600843816526,31.622776601683793,160,40
D,src_gkf,h_only,3,0.1392431944988468,10.0,160,40
D,src_gkf,h_only,4,-0.0005767687101083663,31.622776601683793,160,40
D,src_gkf,minus_h,0,0.7401376026111293,3.1622776601683795,160,40
D,src_gkf,minus_h,1,0.5232312819589802,1.0,160,40
D,src_gkf,minus_h,2,0.5007105707957495,10.0,160,40
D,src_gkf,minus_h,3,0.37603593570895066,3.1622776601683795,160,40
D,src_gkf,minus_h,4,0.4191064859552013,3.1622776601683795,160,40
D,src_gkf,dummy,0,0.0,,160,40
D,src_gkf,dummy,1,0.0,,160,40
D,src_gkf,dummy,2,0.0,,160,40
D,src_gkf,dummy,3,0.0,,160,40
D,src_gkf,dummy,4,0.0,,160,40
D,proc_gkf,full,0,0.6729598375987916,10.0,160,40
D,proc_gkf,full,1,0.5773697665762406,3.1622776601683795,160,40
D,proc_gkf,full,2,0.44933278824280987,3.1622776601683795,160,40
D,proc_gkf,full,3,0.7081197241194032,3.1622776601683795,160,40
D,proc_gkf,full,4,0.40022880025802976,3.1622776601683795,160,40
D,proc_gkf,h_only,0,0.12189506319459464,100.0,160,40
D,proc_gkf,h_only,1,0.054001182152712546,316.22776601683796,160,40
D,proc_gkf,h_only,2,0.0364206500181381,31.622776601683793,160,40
D,proc_gkf,h_only,3,0.037679358564521426,100.0,160,40
D,proc_gkf,h_only,4,-0.300090851780177,10.0,160,40
D,proc_gkf,minus_h,0,0.49818245081382273,10.0,160,40
D,proc_gkf,minus_h,1,0.43484437336595216,3.1622776601683795,160,40
D,proc_gkf,minus_h,2,0.34173622258538006,10.0,160,40
D,proc_gkf,minus_h,3,0.6670412888381845,10.0,160,40
D,proc_gkf,minus_h,4,0.47241099476782555,10.0,160,40
D,proc_gkf,dummy,0,0.0,,160,40
D,proc_gkf,dummy,1,0.0,,160,40
D,proc_gkf,dummy,2,0.0,,160,40
D,proc_gkf,dummy,3,0.0,,160,40
D,proc_gkf,dummy,4,0.0,,160,40
A,src_gkf,full,0,0.22086468835893458,31.622776601683793,160,40
A,src_gkf,full,1,-0.01024198062285575,31.622776601683793,160,40
A,src_gkf,full,2,0.160495937348061,10.0,160,40
A,src_gkf,full,3,-0.0649641284658935,31.622776601683793,160,40
A,src_gkf,full,4,0.19764229231797714,31.622776601683793,160,40
A,src_gkf,h_only,0,-0.0021211643561804827,1000.0,160,40
A,src_gkf,h_only,1,-0.12224823661391704,31.622776601683793,160,40
A,src_gkf,h_only,2,0.001141167869953219,1000.0,160,40
A,src_gkf,h_only,3,0.0048532193810170154,1000.0,160,40
A,src_gkf,h_only,4,0.0019569278383476663,1000.0,160,40
A,src_gkf,minus_h,0,0.22156538482169064,31.622776601683793,160,40
A,src_gkf,minus_h,1,0.1020969009497742,31.622776601683793,160,40
A,src_gkf,minus_h,2,0.1423742782242734,10.0,160,40
A,src_gkf,minus_h,3,-0.08512448046629295,31.622776601683793,160,40
A,src_gkf,minus_h,4,0.17189691193838408,31.622776601683793,160,40
A,src_gkf,dummy,0,0.0,,160,40
A,src_gkf,dummy,1,0.0,,160,40
A,src_gkf,dummy,2,0.0,,160,40
A,src_gkf,dummy,3,0.0,,160,40
A,src_gkf,dummy,4,0.0,,160,40
A,proc_gkf,full,0,0.11568136481436508,31.622776601683793,160,40
A,proc_gkf,full,1,0.1680954219943619,100.0,160,40
A,proc_gkf,full,2,0.12571772703647888,31.622776601683793,160,40
A,proc_gkf,full,3,0.15670773844161656,100.0,160,40
A,proc_gkf,full,4,0.21118188427209783,31.622776601683793,160,40
A,proc_gkf,h_only,0,0.0009147169038730141,1000.0,160,40
A,proc_gkf,h_only,1,0.0033352117709373186,1000.0,160,40
A,proc_gkf,h_only,2,-0.01618222063084107,100.0,160,40
A,proc_gkf,h_only,3,-0.005607640211155784,1000.0,160,40
A,proc_gkf,h_only,4,0.0014276408560811582,1000.0,160,40
A,proc_gkf,minus_h,0,0.09900518814884685,31.622776601683793,160,40
A,proc_gkf,minus_h,1,0.1492453026534245,100.0,160,40
A,proc_gkf,minus_h,2,0.12943792958598954,31.622776601683793,160,40
A,proc_gkf,minus_h,3,0.18053850637875335,100.0,160,40
A,proc_gkf,minus_h,4,0.18986474129100772,31.622776601683793,160,40
A,proc_gkf,dummy,0,0.0,,160,40
A,proc_gkf,dummy,1,0.0,,160,40
A,proc_gkf,dummy,2,0.0,,160,40
A,proc_gkf,dummy,3,0.0,,160,40
A,proc_gkf,dummy,4,0.0,,160,40
Pl,src_gkf,full,0,0.37704517584918384,10.0,160,40
Pl,src_gkf,full,1,0.30763513211106275,31.622776601683793,160,40
Pl,src_gkf,full,2,0.3082626913088109,10.0,160,40
Pl,src_gkf,full,3,0.36747300780876413,10.0,160,40
Pl,src_gkf,full,4,0.29058368511536314,10.0,160,40
Pl,src_gkf,h_only,0,0.019602065842605598,3.1622776601683795,160,40
Pl,src_gkf,h_only,1,0.05785094199821805,10.0,160,40
Pl,src_gkf,h_only,2,0.1464285129862113,31.622776601683793,160,40
Pl,src_gkf,h_only,3,0.18341452010286952,10.0,160,40
Pl,src_gkf,h_only,4,0.14524463679998068,10.0,160,40
Pl,src_gkf,minus_h,0,0.31465692679579527,31.622776601683793,160,40
Pl,src_gkf,minus_h,1,0.24314133701175333,31.622776601683793,160,40
Pl,src_gkf,minus_h,2,0.131951608017974,31.622776601683793,160,40
Pl,src_gkf,minus_h,3,0.1452754132763393,31.622776601683793,160,40
