variant,fold,dataset_index,role
proc_gkf,0,4,test
proc_gkf,0,6,test
proc_gkf,0,9,test
proc_gkf,0,11,test
proc_gkf,0,17,test
proc_gkf,0,28,test
proc_gkf,0,32,test
proc_gkf,0,37,test
proc_gkf,0,46,test
proc_gkf,0,48,test
proc_gkf,0,49,test
proc_gkf,0,50,test
proc_gkf,0,54,test
proc_gkf,0,60,test
proc_gkf,0,67,test
proc_gkf,0,83,test
proc_gkf,0,85,test
proc_gkf,0,87,test
proc_gkf,0,92,test
proc_gkf,0,95,test
proc_gkf,0,97,test
proc_gkf,0,107,test
proc_gkf,0,108,test
proc_gkf,0,112,test
proc_gkf,0,122,test
proc_gkf,0,123,test
proc_gkf,0,130,test
proc_gkf,0,131,test
proc_gkf,0,164,test
proc_gkf,0,165,test
proc_gkf,0,166,test
proc_gkf,0,167,test
proc_gkf,0,180,test
proc_gkf,0,181,test
proc_gkf,0,182,test
proc_gkf,0,183,test
proc_gkf,0,192,test
proc_gkf,0,193,test
proc_gkf,0,194,test
proc_gkf,0,195,test
proc_gkf,0,0,train
proc_gkf,0,1,train
proc_gkf,0,2,train
proc_gkf,0,3,train
proc_gkf,0,5,train
proc_gkf,0,7,train
proc_gkf,0,8,train
proc_gkf,0,10,train
proc_gkf,0,12,train
proc_gkf,0,13,train
proc_gkf,0,14,train
proc_gkf,0,15,train
proc_gkf,0,16,train
proc_gkf,0,18,train
proc_gkf,0,19,train
proc_gkf,0,20,train
proc_gkf,0,21,train
proc_gkf,0,22,train
proc_gkf,0,23,train
proc_gkf,0,24,train
proc_gkf,0,25,train
proc_gkf,0,26,train
proc_gkf,0,27,train
proc_gkf,0,29,train
proc_gkf,0,30,train
proc_gkf,0,31,train
proc_gkf,0,33,train
proc_gkf,0,34,train
proc_gkf,0,35,train
proc_gkf,0,36,train
proc_gkf,0,38,train
proc_gkf,0,39,train
proc_gkf,0,40,train
proc_gkf,0,41,train
proc_gkf,0,42,train
proc_gkf,0,43,train
proc_gkf,0,44,train
proc_gkf,0,45,train
proc_gkf,0,47,train
proc_gkf,0,51,train
proc_gkf,0,52,train
proc_gkf,0,53,train
proc_gkf,0,55,train
proc_gkf,0,56,train
proc_gkf,0,57,train
proc_gkf,0,58,train
proc_gkf,0,59,train
proc_gkf,0,61,train
proc_gkf,0,62,train
proc_gkf,0,63,train
proc_gkf,0,64,train
proc_gkf,0,65,train
proc_gkf,0,66,train
proc_gkf,0,68,train
proc_gkf,0,69,train
proc_gkf,0,70,train
proc_gkf,0,71,train
proc_gkf,0,72,train
proc_gkf,0,73,train
proc_gkf,0,74,train
proc_gkf,0,75,train
proc_gkf,0,76,train
proc_gkf,0,77,train
proc_gkf,0,78,train
proc_gkf,0,79,train
proc_gkf,0,80,train
proc_gkf,0,81,train
proc_gkf,0,82,train
proc_gkf,0,84,train
proc_gkf,0,86,train
proc_gkf,0,88,train
proc_gkf,0,89,train
proc_gkf,0,90,train
proc_gkf,0,91,train
proc_gkf,0,93,train
proc_gkf,0,94,train
proc_gkf,0,96,train
proc_gkf,0,98,train
proc_gkf,0,99,train
proc_gkf,0,100,train
proc_gkf,0,101,train
proc_gkf,0,102,train
proc_gkf,0,103,train
proc_gkf,0,104,train
proc_gkf,0,105,train
proc_gkf,0,106,train
proc_gkf,0,109,train
proc_gkf,0,110,train
proc_gkf,0,111,train
proc_gkf,0,113,train
proc_gkf,0,114,train
proc_gkf,0,115,train
proc_gkf,0,116,train
proc_gkf,0,117,train
proc_gkf,0,118,train
proc_gkf,0,119,train
proc_gkf,0,120,train
proc_gkf,0,121,train
proc_gkf,0,124,train
proc_gkf,0,125,train
proc_gkf,0,126,train
proc_gkf,0,127,train
proc_gkf,0,128,train
proc_gkf,0,129,train
proc_gkf,0,132,train
proc_gkf,0,133,train
proc_gkf,0,134,train
proc_gkf,0,135,train
proc_gkf,0,136,train
proc_gkf,0,137,train
proc_gkf,0,138,train
proc_gkf,0,139,train
proc_gkf,0,140,train
proc_gkf,0,141,train
proc_gkf,0,142,train
proc_gkf,0,143,train
proc_gkf,0,144,train
proc_gkf,0,145,train
proc_gkf,0,146,train
proc_gkf,0,147,train
proc_gkf,0,148,train
proc_gkf,0,149,train
proc_gkf,0,150,train
proc_gkf,0,151,train
proc_gkf,0,152,train
proc_gkf,0,153,train
proc_gkf,0,154,train
proc_gkf,0,155,train
proc_gkf,0,156,train
proc_gkf,0,157,train
proc_gkf,0,158,train
proc_gkf,0,159,train
proc_gkf,0,160,train
proc_gkf,0,161,train
proc_gkf,0,162,train
proc_gkf,0,163,train
proc_gkf,0,168,train
proc_gkf,0,169,train
proc_gkf,0,170,train
proc_gkf,0,171,train
proc_gkf,0,172,train
proc_gkf,0,173,train
proc_gkf,0,174,train
proc_gkf,0,175,train
proc_gkf,0,176,train
proc_gkf,0,177,train
proc_gkf,0,178,train
proc_gkf,0,179,train
proc_gkf,0,184,train
proc_gkf,0,185,train
proc_gkf,0,186,train
proc_gkf,0,187,train
proc_gkf,0,188,train
proc_gkf,0,189,train
proc_gkf,0,190,train
proc_gkf,0,191,train
proc_gkf,0,196,train
proc_gkf,0,197,train
proc_gkf,0,198,train
proc_gkf,0,199,train
proc_gkf,1,2,test
proc_gkf,1,7,test
proc_gkf,1,8,test
proc_gkf,1,19,test
proc_gkf,1,27,test
proc_gkf,1,31,test
proc_gkf,1,38,test
proc_gkf,1,43,test
proc_gkf,1,51,test
proc_gkf,1,58,test
proc_gkf,1,61,test
proc_gkf,1,69,test
proc_gkf,1,71,test
proc_gkf,1,73,test
proc_gkf,1,78,test
proc_gkf,1,81,test
proc_gkf,1,86,test
proc_gkf,1,89,test
proc_gkf,1,96,test
proc_gkf,1,100,test
proc_gkf,1,101,test
proc_gkf,1,106,test
proc_gkf,1,115,test
proc_gkf,1,116,test
proc_gkf,1,120,test
proc_gkf,1,121,test
proc_gkf,1,132,test
proc_gkf,1,133,test
proc_gkf,1,156,test
proc_gkf,1,157,test
proc_gkf,1,158,test
proc_gkf,1,159,test
proc_gkf,1,172,test
proc_gkf,1,173,test
proc_gkf,1,174,test
proc_gkf,1,175,test
proc_gkf,1,196,test
proc_gkf,1,197,test
proc_gkf,1,198,test
proc_gkf,1,199,test
proc_gkf,1,0,train
proc_gkf,1,1,train
proc_gkf,1,3,train
proc_gkf,1,4,train
proc_gkf,1,5,train
proc_gkf,1,6,train
proc_gkf,1,9,train
proc_gkf,1,10,train
proc_gkf,1,11,train
proc_gkf,1,12,train
proc_gkf,1,13,train
proc_gkf,1,14,train
proc_gkf,1,15,train
proc_gkf,1,16,train
proc_gkf,1,17,train
proc_gkf,1,18,train
proc_gkf,1,20,train
proc_gkf,1,21,train
proc_gkf,1,22,train
proc_gkf,1,23,train
proc_gkf,1,24,train
proc_gkf,1,25,train
proc_gkf,1,26,train
proc_gkf,1,28,train
proc_gkf,1,29,train
proc_gkf,1,30,train
proc_gkf,1,32,train
proc_gkf,1,33,train
proc_gkf,1,34,train
proc_gkf,1,35,train
proc_gkf,1,36,train
proc_gkf,1,37,train
proc_gkf,1,39,train
proc_gkf,1,40,train
proc_gkf,1,41,train
proc_gkf,1,42,train
proc_gkf,1,44,train
proc_gkf,1,45,train
proc_gkf,1,46,train
proc_gkf,1,47,train
proc_gkf,1,48,train
proc_gkf,1,49,train
proc_gkf,1,50,train
proc_gkf,1,52,train
proc_gkf,1,53,train
proc_gkf,1,54,train
proc_gkf,1,55,train
proc_gkf,1,56,train
proc_gkf,1,57,train
proc_gkf,1,59,train
proc_gkf,1,60,train
proc_gkf,1,62,train
proc_gkf,1,63,train
proc_gkf,1,64,train
proc_gkf,1,65,train
proc_gkf,1,66,train
proc_gkf,1,67,train
proc_gkf,1,68,train
proc_gkf,1,70,train
proc_gkf,1,72,train
proc_gkf,1,74,train
proc_gkf,1,75,train
proc_gkf,1,76,train
proc_gkf,1,77,train
proc_gkf,1,79,train
proc_gkf,1,80,train
proc_gkf,1,82,train
proc_gkf,1,83,train
proc_gkf,1,84,train
proc_gkf,1,85,train
proc_gkf,1,87,train
proc_gkf,1,88,train
proc_gkf,1,90,train
proc_gkf,1,91,train
proc_gkf,1,92,train
proc_gkf,1,93,train
proc_gkf,1,94,train
proc_gkf,1,95,train
proc_gkf,1,97,train
proc_gkf,1,98,train
proc_gkf,1,99,train
proc_gkf,1,102,train
proc_gkf,1,103,train
proc_gkf,1,104,train
proc_gkf,1,105,train
proc_gkf,1,107,train
proc_gkf,1,108,train
proc_gkf,1,109,train
proc_gkf,1,110,train
proc_gkf,1,111,train
proc_gkf,1,112,train
proc_gkf,1,113,train
proc_gkf,1,114,train
proc_gkf,1,117,train
proc_gkf,1,118,train
proc_gkf,1,119,train
proc_gkf,1,122,train
proc_gkf,1,123,train
