variant,fold,dataset_index,role
src_gkf_inbox,0,1,train
src_gkf_inbox,0,2,train
src_gkf_inbox,0,3,train
src_gkf_inbox,0,4,train
src_gkf_inbox,0,6,train
src_gkf_inbox,0,7,train
src_gkf_inbox,0,11,train
src_gkf_inbox,0,12,train
src_gkf_inbox,0,24,train
src_gkf_inbox,0,25,train
src_gkf_inbox,0,26,train
src_gkf_inbox,0,27,train
src_gkf_inbox,0,29,train
src_gkf_inbox,0,30,train
src_gkf_inbox,0,48,train
src_gkf_inbox,0,49,train
src_gkf_inbox,0,51,train
src_gkf_inbox,0,52,train
src_gkf_inbox,0,53,train
src_gkf_inbox,0,54,train
src_gkf_inbox,0,73,train
src_gkf_inbox,0,74,train
src_gkf_inbox,0,76,train
src_gkf_inbox,0,77,train
src_gkf_inbox,0,120,train
src_gkf_inbox,0,122,train
src_gkf_inbox,0,124,train
src_gkf_inbox,0,126,train
src_gkf_inbox,0,130,train
src_gkf_inbox,0,132,train
src_gkf_inbox,0,134,train
src_gkf_inbox,0,136,train
src_gkf_inbox,0,140,train
src_gkf_inbox,0,141,train
src_gkf_inbox,0,142,train
src_gkf_inbox,0,143,train
src_gkf_inbox,0,144,train
src_gkf_inbox,0,145,train
src_gkf_inbox,0,146,train
src_gkf_inbox,0,147,train
src_gkf_inbox,0,150,train
src_gkf_inbox,0,151,train
src_gkf_inbox,0,152,train
src_gkf_inbox,0,153,train
src_gkf_inbox,0,154,train
src_gkf_inbox,0,155,train
src_gkf_inbox,0,156,train
src_gkf_inbox,0,157,train
src_gkf_inbox,0,160,train
src_gkf_inbox,0,161,train
src_gkf_inbox,0,162,train
src_gkf_inbox,0,163,train
src_gkf_inbox,0,164,train
src_gkf_inbox,0,165,train
src_gkf_inbox,0,166,train
src_gkf_inbox,0,167,train
src_gkf_inbox,0,170,train
src_gkf_inbox,0,171,train
src_gkf_inbox,0,172,train
src_gkf_inbox,0,173,train
src_gkf_inbox,0,174,train
src_gkf_inbox,0,175,train
src_gkf_inbox,0,176,train
src_gkf_inbox,0,177,train
src_gkf_inbox,0,180,train
src_gkf_inbox,0,181,train
src_gkf_inbox,0,182,train
src_gkf_inbox,0,183,train
src_gkf_inbox,0,184,train
src_gkf_inbox,0,185,train
src_gkf_inbox,0,186,train
src_gkf_inbox,0,187,train
src_gkf_inbox,0,190,train
src_gkf_inbox,0,191,train
src_gkf_inbox,0,192,train
src_gkf_inbox,0,193,train
src_gkf_inbox,0,194,train
src_gkf_inbox,0,195,train
src_gkf_inbox,0,196,train
src_gkf_inbox,0,197,train
src_gkf_inbox,0,0,test
src_gkf_inbox,0,5,test
src_gkf_inbox,0,13,test
src_gkf_inbox,0,28,test
src_gkf_inbox,0,50,test
src_gkf_inbox,0,72,test
src_gkf_inbox,0,78,test
src_gkf_inbox,0,128,test
src_gkf_inbox,0,138,test
src_gkf_inbox,0,148,test
src_gkf_inbox,0,149,test
src_gkf_inbox,0,158,test
src_gkf_inbox,0,159,test
src_gkf_inbox,0,168,test
src_gkf_inbox,0,169,test
src_gkf_inbox,0,178,test
src_gkf_inbox,0,179,test
src_gkf_inbox,0,188,test
src_gkf_inbox,0,189,test
src_gkf_inbox,0,198,test
src_gkf_inbox,0,199,test
src_gkf_inbox,1,0,train
src_gkf_inbox,1,1,train
src_gkf_inbox,1,2,train
src_gkf_inbox,1,3,train
src_gkf_inbox,1,5,train
src_gkf_inbox,1,6,train
src_gkf_inbox,1,7,train
src_gkf_inbox,1,11,train
src_gkf_inbox,1,13,train
src_gkf_inbox,1,24,train
src_gkf_inbox,1,25,train
src_gkf_inbox,1,26,train
src_gkf_inbox,1,28,train
src_gkf_inbox,1,29,train
src_gkf_inbox,1,30,train
src_gkf_inbox,1,48,train
src_gkf_inbox,1,50,train
src_gkf_inbox,1,51,train
src_gkf_inbox,1,52,train
src_gkf_inbox,1,53,train
src_gkf_inbox,1,72,train
src_gkf_inbox,1,73,train
src_gkf_inbox,1,74,train
src_gkf_inbox,1,76,train
src_gkf_inbox,1,78,train
src_gkf_inbox,1,120,train
src_gkf_inbox,1,122,train
src_gkf_inbox,1,124,train
src_gkf_inbox,1,128,train
src_gkf_inbox,1,130,train
src_gkf_inbox,1,132,train
src_gkf_inbox,1,134,train
src_gkf_inbox,1,138,train
src_gkf_inbox,1,140,train
src_gkf_inbox,1,141,train
src_gkf_inbox,1,142,train
src_gkf_inbox,1,143,train
src_gkf_inbox,1,144,train
src_gkf_inbox,1,145,train
src_gkf_inbox,1,148,train
src_gkf_inbox,1,149,train
src_gkf_inbox,1,150,train
src_gkf_inbox,1,151,train
src_gkf_inbox,1,152,train
src_gkf_inbox,1,153,train
src_gkf_inbox,1,154,train
