n_phases,level,tv_cond,n_invalid,delta_vs_L1
16,L0,0.8571428571428571,0,-0.5178571428571428
16,L1,0.3392857142857143,0,0.0
16,L2,0.38392857142857145,0,-0.04464285714285715
16,L3a,0.3392857142857143,0,0.0
16,L3b,0.42857142857142855,1,-0.08928571428571425
32,L0,0.8571428571428571,0,-0.5133928571428571
32,L1,0.34375,0,0.0
32,L2,0.35714285714285715,0,-0.01339285714285715
32,L3a,0.34375,0,0.0
32,L3b,0.42857142857142855,1,-0.08482142857142855
64,L0,0.8571428571428571,0,-0.5133928571428571
64,L1,0.34375,0,0.0
64,L2,0.35267857142857145,0,-0.008928571428571452
64,L3a,0.34375,0,0.0
64,L3b,0.42857142857142855,1,-0.08482142857142855
