dataset_index,kernel_group,h_um,observed,level,param,physical_valid,no_training_candidate,invalid_phases,min_field_um,min_margin_um,q_raw,q_pred,tv_cond_i,tv_raw_diagnostic
120,223:5:5:20#L105,10.0,2,L0,,True,False,0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]",1.0,1.0
120,223:5:5:20#L105,10.0,2,L1,,True,False,0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0
120,223:5:5:20#L105,10.0,2,L2,64.0,True,False,0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0
120,223:5:5:20#L105,10.0,2,L3a,0.0,True,False,0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0
120,223:5:5:20#L105,10.0,2,L3b,-0.35,True,False,0,0.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0
197,500:5:1:25#L112,6.0,2,L0,,True,False,0,-0.07507136179163829,0.0,"[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]",1.0,1.0
197,500:5:1:25#L112,6.0,2,L1,,True,False,0,0.026986902682811065,0.026986902682811065,"[0.25, 0.0, 0.75, 0.0, 0.0]","[0.25, 0.0, 0.75, 0.0, 0.0]",0.25,0.25
197,500:5:1:25#L112,6.0,2,L2,64.0,True,False,0,0.02698121369405726,0.02698121369405726,"[0.25, 0.0, 0.75, 0.0, 0.0]","[0.25, 0.0, 0.75, 0.0, 0.0]",0.25,0.25
197,500:5:1:25#L112,6.0,2,L3a,0.0,True,False,0,0.026986902682811065,0.026986902682811065,"[0.25, 0.0, 0.75, 0.0, 0.0]","[0.25, 0.0, 0.75, 0.0, 0.0]",0.25,0.25
197,500:5:1:25#L112,6.0,2,L3b,-0.35,True,False,0,0.026986902682811065,0.026986902682811065,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0
