dataset_index,shared_height_source_id,cv_process_group,target,component,variant,fold,model,observed,predicted,train_null,score_scale,alpha
4,zro2_120_formal:m005,FQ:500:2:8:7|N5,D,median_depth_um,src_gkf,0,full,4.774026870727539,30.041917636111556,26.790878038213123,1.0,3.1622776601683795
9,zro2_120_formal:m010,FQ:500:10:4:3|N1,D,median_depth_um,src_gkf,0,full,3.669000267982483,16.240709560622868,26.790878038213123,1.0,3.1622776601683795
14,zro2_120_formal:m015,FQ:500:50:8:7|N1,D,median_depth_um,src_gkf,0,full,6.098482370376587,14.130639831735595,26.790878038213123,1.0,3.1622776601683795
19,zro2_120_formal:m020,FQ:500:100:4:3|N5,D,median_depth_um,src_gkf,0,full,63.11563491821289,53.663084490860484,26.790878038213123,1.0,3.1622776601683795
24,zro2_120_formal:m025,FQ:1000:2:2:7|N3,D,median_depth_um,src_gkf,0,full,16.00606060028076,29.215413107061927,26.790878038213123,1.0,3.1622776601683795
29,zro2_120_formal:m030,FQ:1000:10:6:7|N2,D,median_depth_um,src_gkf,0,full,17.576498985290527,16.866225160490764,26.790878038213123,1.0,3.1622776601683795
34,zro2_120_formal:m035,FQ:1000:50:8:11|N1,D,median_depth_um,src_gkf,0,full,8.413393497467041,12.781735012580961,26.790878038213123,1.0,3.1622776601683795
39,zro2_120_formal:m040,FQ:1000:100:6:5|N5,D,median_depth_um,src_gkf,0,full,57.65474891662598,48.73890641038739,26.790878038213123,1.0,3.1622776601683795
44,zro2_120_formal:m045,FQ:1000:200:6:7|N3,D,median_depth_um,src_gkf,0,full,49.597900390625,52.33130272335327,26.790878038213123,1.0,3.1622776601683795
49,zro2_120_formal:m050,FQ:2000:2:6:9|N2,D,median_depth_um,src_gkf,0,full,1.8423005938529968,13.81736326577474,26.790878038213123,1.0,3.1622776601683795
54,zro2_120_formal:m055,FQ:2000:10:10:5|N4,D,median_depth_um,src_gkf,0,full,26.571630477905273,19.610536138279215,26.790878038213123,1.0,3.1622776601683795
59,zro2_120_formal:m060,FQ:2000:50:10:5|N1,D,median_depth_um,src_gkf,0,full,1.302653431892395,8.300587846616427,26.790878038213123,1.0,3.1622776601683795
64,zro2_120_formal:m065,FQ:2000:100:8:11|N2,D,median_depth_um,src_gkf,0,full,34.532243728637695,24.920774602905084,26.790878038213123,1.0,3.1622776601683795
69,zro2_120_formal:m070,FQ:2000:200:4:9|N4,D,median_depth_um,src_gkf,0,full,59.64018630981445,60.25173980475612,26.790878038213123,1.0,3.1622776601683795
74,zro2_120_formal:m075,FQ:4000:2:6:5|N1,D,median_depth_um,src_gkf,0,full,1.1291950941085815,5.559953909310007,26.790878038213123,1.0,3.1622776601683795
