target,variant,model,fold,skill_q2,r2_scalar,alpha,n_train,n_test
D,src_gkf,full,0,0.741860962431755,0.740918703495954,3.1622776601683795,160,40
D,src_gkf,full,1,0.5319013258483427,0.530454423716431,1.0,160,40
D,src_gkf,full,2,0.5910760332064742,0.5905751363950229,10.0,160,40
D,src_gkf,full,3,0.5515685530812657,0.5453389718465685,3.1622776601683795,160,40
D,src_gkf,full,4,0.5089156594999787,0.5084207901151947,3.1622776601683795,160,40
D,src_gkf,h_only,0,0.02905345209992405,0.025509303684548734,31.622776601683793,160,40
D,src_gkf,h_only,1,0.04363427561439881,0.04067813050672764,10.0,160,40
D,src_gkf,h_only,2,0.07313600843816526,0.07200067948774236,31.622776601683793,160,40
D,src_gkf,h_only,3,0.1392431944988468,0.1272856155198696,10.0,160,40
D,src_gkf,h_only,4,-0.0005767687101083663,-0.0015850574481619528,31.622776601683793,160,40
D,src_gkf,minus_h,0,0.7401376026111293,0.7391890530685069,3.1622776601683795,160,40
D,src_gkf,minus_h,1,0.5232312819589802,0.5217575805523003,1.0,160,40
D,src_gkf,minus_h,2,0.5007105707957495,0.5000989840378474,10.0,160,40
D,src_gkf,minus_h,3,0.37603593570895066,0.3673678664806629,3.1622776601683795,160,40
D,src_gkf,minus_h,4,0.4191064859552013,0.41852111519052226,3.1622776601683795,160,40
D,src_gkf,dummy,0,0.0,-0.003650199306069357,,160,40
D,src_gkf,dummy,1,0.0,-0.0030910195046671696,,160,40
D,src_gkf,dummy,2,0.0,-0.0012249142924516399,,160,40
D,src_gkf,dummy,3,0.0,-0.013891936610382238,,160,40
D,src_gkf,dummy,4,0.0,-0.0010077075238850153,,160,40
D,proc_gkf,full,0,0.6729598375987916,0.6045957238324768,10.0,160,40
D,proc_gkf,full,1,0.5773697665762406,0.5604868441804681,3.1622776601683795,160,40
D,proc_gkf,full,2,0.44933278824280987,0.41135717982553144,3.1622776601683795,160,40
D,proc_gkf,full,3,0.7081197241194032,0.6609315169382178,3.1622776601683795,160,40
D,proc_gkf,full,4,0.40022880025802976,0.4002254806038278,3.1622776601683795,160,40
D,proc_gkf,h_only,0,0.12189506319459464,-0.06166302140812263,100.0,160,40
D,proc_gkf,h_only,1,0.054001182152712546,0.016211115647474128,316.22776601683796,160,40
D,proc_gkf,h_only,2,0.0364206500181381,-0.030030577315916185,31.622776601683793,160,40
D,proc_gkf,h_only,3,0.037679358564521426,-0.11789876560226897,100.0,160,40
D,proc_gkf,h_only,4,-0.300090851780177,-0.3000980476109554,10.0,160,40
D,proc_gkf,minus_h,0,0.49818245081382273,0.3932830654581777,10.0,160,40
D,proc_gkf,minus_h,1,0.43484437336595216,0.412267951161841,3.1622776601683795,160,40
D,proc_gkf,minus_h,2,0.34173622258538006,0.29634044286098515,10.0,160,40
D,proc_gkf,minus_h,3,0.6670412888381845,0.6132119418647302,10.0,160,40
D,proc_gkf,minus_h,4,0.47241099476782555,0.4724080746325158,10.0,160,40
D,proc_gkf,dummy,0,0.0,-0.20903889376879237,,160,40
D,proc_gkf,dummy,1,0.0,-0.03994726609831645,,160,40
D,proc_gkf,dummy,2,0.0,-0.06896290101620073,,160,40
D,proc_gkf,dummy,3,0.0,-0.16166973612320845,,160,40
D,proc_gkf,dummy,4,0.0,-5.534867635104135e-06,,160,40
A,src_gkf,full,0,0.22086468835893458,0.21636823672357752,31.622776601683793,160,40
A,src_gkf,full,1,-0.01024198062285575,-0.010570167043354672,31.622776601683793,160,40
A,src_gkf,full,2,0.160495937348061,0.12400175700743554,10.0,160,40
A,src_gkf,full,3,-0.0649641284658935,-0.08486890605828878,31.622776601683793,160,40
