i,j,pair_type,d_phi
8,10,same_four_inputs_h_may_differ,0.9884277352902575
26,28,same_four_inputs_h_may_differ,0.9918015314805788
48,49,same_four_inputs_h_may_differ,0.9816967632575673
48,49,exact_repeat_u,0.9816967632575673
51,157,same_four_inputs_h_may_differ,0.9928440434906968
53,158,same_four_inputs_h_may_differ,0.9845193049787707
54,156,same_four_inputs_h_may_differ,0.9886750074864199
56,57,same_four_inputs_h_may_differ,0.9869987553309337
60,64,same_four_inputs_h_may_differ,0.9851603366048765
76,78,same_four_inputs_h_may_differ,0.9861039339353763
80,86,same_four_inputs_h_may_differ,0.989045568151431
106,108,same_four_inputs_h_may_differ,0.9846929317755708
23,61,random_ordinary,0.9899728695397877
153,80,random_ordinary,0.9833495465670637
173,38,random_ordinary,0.9875333956973066
27,137,random_ordinary,0.9848561634392147
19,129,random_ordinary,0.9708759503519858
18,181,random_ordinary,0.9823163373161161
60,178,random_ordinary,0.986544061432045
94,198,random_ordinary,0.9877952440682759
22,14,random_ordinary,0.9775254600878155
192,47,random_ordinary,0.9821157819482973
103,57,random_ordinary,0.9657536063338905
191,142,random_ordinary,0.981234964055997
124,172,random_ordinary,0.9804633977674764
65,166,random_ordinary,0.9779677460780266
4,179,random_ordinary,0.9906335939297694
179,95,random_ordinary,0.9910204509684855
146,198,random_ordinary,0.983729083871101
120,72,random_ordinary,0.9882464366820283
32,99,random_ordinary,0.9830460086257737
143,14,random_ordinary,0.9803662187081792
53,5,random_ordinary,0.9801651988328979
199,55,random_ordinary,0.9864226984303909
126,69,random_ordinary,0.972561039573551
11,28,random_ordinary,0.9811876083540081
169,15,random_ordinary,0.9854097618578052
163,1,random_ordinary,0.981901538263639
45,9,random_ordinary,0.9814731048089754
179,76,random_ordinary,0.9778764455933985
71,133,random_ordinary,0.9831933332062273
24,47,random_ordinary,0.9891619504060472
168,47,random_ordinary,0.978188408073222
51,144,random_ordinary,0.9799764846033248
180,146,random_ordinary,0.986862167515833
