level,held_group,param,valid,score,training_groups,tied_best,selected
L2,1000:40:2:25#L89,1.0,False,0.5625,"['1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L2,1000:40:2:25#L89,1.4142135623730951,True,0.5625,"['1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L2,1000:40:2:25#L89,2.0,True,0.5,"['1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L2,1000:40:2:25#L89,2.82842712474619,True,0.3125,"['1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L2,1000:40:2:25#L89,4.0,True,0.3125,"['1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L2,1000:40:2:25#L89,5.656854249492381,True,0.1875,"['1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L2,1000:40:2:25#L89,7.999999999999999,True,0.125,"['1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",True,True
L2,1000:40:2:25#L89,11.31370849898476,True,0.125,"['1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L2,1000:40:2:25#L89,16.0,True,0.125,"['1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L2,1000:40:2:25#L89,22.627416997969522,True,0.125,"['1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L2,1000:40:2:25#L89,32.00000000000001,True,0.125,"['1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L2,1000:40:2:25#L89,45.25483399593905,True,0.125,"['1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L2,1000:40:2:25#L89,64.0,True,0.125,"['1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L2,1000:40:4:15#L56,1.0,False,0.5625,"['1000:40:2:25#L89', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L2,1000:40:4:15#L56,1.4142135623730951,True,0.5625,"['1000:40:2:25#L89', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L2,1000:40:4:15#L56,2.0,True,0.5,"['1000:40:2:25#L89', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L2,1000:40:4:15#L56,2.82842712474619,True,0.3125,"['1000:40:2:25#L89', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L2,1000:40:4:15#L56,4.0,True,0.3125,"['1000:40:2:25#L89', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L2,1000:40:4:15#L56,5.656854249492381,True,0.1875,"['1000:40:2:25#L89', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
