session_id,factor,level,samples_total,samples_selected,coverage_fraction,level_represented
zro2_120_formal,pulse_width,116200,24,4,0.16666666666666666,1
zro2_120_formal,pulse_width,36140,24,6,0.25,1
zro2_120_formal,pulse_width,43800,24,8,0.3333333333333333,1
zro2_120_formal,pulse_width,58400,24,9,0.375,1
zro2_120_formal,pulse_width,87300,24,3,0.125,1
zro2_120_formal,frequency,10,24,1,0.041666666666666664,1
zro2_120_formal,frequency,100,24,12,0.5,1
zro2_120_formal,frequency,2,24,1,0.041666666666666664,1
zro2_120_formal,frequency,200,24,11,0.4583333333333333,1
zro2_120_formal,frequency,50,24,5,0.20833333333333334,1
zro2_120_formal,hatch,0.002,24,5,0.20833333333333334,1
zro2_120_formal,hatch,0.004,24,4,0.16666666666666666,1
zro2_120_formal,hatch,0.006,24,9,0.375,1
zro2_120_formal,hatch,0.008,24,6,0.25,1
zro2_120_formal,hatch,0.01,24,6,0.25,1
zro2_120_formal,pass,1,24,2,0.08333333333333333,1
zro2_120_formal,pass,2,24,6,0.25,1
zro2_120_formal,pass,3,24,7,0.2916666666666667,1
zro2_120_formal,pass,4,24,4,0.16666666666666666,1
zro2_120_formal,pass,5,24,11,0.4583333333333333,1
zro2_120_formal,velocity,11,24,5,0.20833333333333334,1
zro2_120_formal,velocity,3,24,11,0.4583333333333333,1
zro2_120_formal,velocity,5,24,7,0.2916666666666667,1
zro2_120_formal,velocity,7,24,3,0.125,1
zro2_120_formal,velocity,9,24,4,0.16666666666666666,1
zro2_60_pass,pulse_width,29400,12,3,0.25,1
zro2_60_pass,pulse_width,36140,12,4,0.3333333333333333,1
zro2_60_pass,pulse_width,43800,12,4,0.3333333333333333,1
zro2_60_pass,pulse_width,58400,12,2,0.16666666666666666,1
zro2_60_pass,pulse_width,87300,12,2,0.16666666666666666,1
zro2_60_pass,frequency,10,12,2,0.16666666666666666,1
zro2_60_pass,frequency,2,12,4,0.3333333333333333,1
zro2_60_pass,frequency,20,12,4,0.3333333333333333,1
zro2_60_pass,frequency,40,12,3,0.25,1
zro2_60_pass,frequency,5,12,2,0.16666666666666666,1
zro2_60_pass,hatch,0.002,12,2,0.16666666666666666,1
zro2_60_pass,hatch,0.004,12,5,0.4166666666666667,1
zro2_60_pass,hatch,0.006,12,3,0.25,1
zro2_60_pass,hatch,0.008,12,2,0.16666666666666666,1
zro2_60_pass,hatch,0.01,12,3,0.25,1
zro2_60_pass,pass,1,15,1,0.06666666666666667,1
zro2_60_pass,pass,2,15,4,0.26666666666666666,1
zro2_60_pass,pass,3,15,4,0.26666666666666666,1
zro2_60_pass,pass,4,15,6,0.4,1
zro2_60_pass,velocity,10,12,5,0.4166666666666667,1
zro2_60_pass,velocity,15,12,4,0.3333333333333333,1
zro2_60_pass,velocity,20,12,2,0.16666666666666666,1
zro2_60_pass,velocity,25,12,3,0.25,1
zro2_60_pass,velocity,5,12,1,0.08333333333333333,1
zro2_20_supplement,pulse_width,29400,4,1,0.25,1
zro2_20_supplement,pulse_width,36140,2,1,0.5,1
zro2_20_supplement,pulse_width,43800,4,1,0.25,1
zro2_20_supplement,pulse_width,58400,4,2,0.5,1
zro2_20_supplement,pulse_width,87300,6,3,0.5,1
zro2_20_supplement,frequency,10,4,1,0.25,1
zro2_20_supplement,frequency,2,4,2,0.5,1
zro2_20_supplement,frequency,20,6,3,0.5,1
zro2_20_supplement,frequency,40,2,1,0.5,1
zro2_20_supplement,frequency,5,4,1,0.25,1
zro2_20_supplement,hatch,0.002,6,3,0.5,1
zro2_20_supplement,hatch,0.004,2,1,0.5,1
zro2_20_supplement,hatch,0.006,4,2,0.5,1
zro2_20_supplement,hatch,0.008,4,1,0.25,1
zro2_20_supplement,hatch,0.01,4,1,0.25,1
zro2_20_supplement,pass,5,10,7,0.7,1
zro2_20_supplement,pass,6,10,1,0.1,1
zro2_20_supplement,velocity,10,4,1,0.25,1
zro2_20_supplement,velocity,15,4,2,0.5,1
zro2_20_supplement,velocity,20,4,1,0.25,1
zro2_20_supplement,velocity,25,4,2,0.5,1
zro2_20_supplement,velocity,5,4,2,0.5,1
