session_id,measurement_id,sample_id,roi_within_measurement,shared_height_source_id,q01,q05,q50,q95,q99,selected_valid_pixels,selected_valid_fraction,q50_minus_q05,negative_tail_amplitude,robust_range_q99_q01,iqr_proxy_q95_q05,median_absolute_deviation,edge_energy,candidate_modified_fraction,pulse_width,frequency,hatch,pass,velocity,calibration_rank_score,selection_reason
zro2_120_formal,17,17,single,zro2_120_formal:m017,3.691,4.9,58.376,62.853,63.247,760384,1.0,53.476,54.684999999999995,59.556,57.953,4.550000000000004,0.06199999999999761,0.413668620065651,36140,100,0.002,2,3,0.7697478991596639,within_session_high_snr
zro2_120_formal,20,20,single,zro2_120_formal:m020,3.71283,7.283,73.75,78.223,78.572,760384,1.0,66.467,70.03717,74.85917,70.94,4.579999999999998,0.05700000000000216,0.42774177257806584,36140,100,0.004,5,3,0.8050420168067227,within_session_high_snr
zro2_120_formal,21,21,single,zro2_120_formal:m021,1.866,3.033,58.481,63.087,64.532,760384,1.0,55.448,56.615,62.666,60.054,4.714999999999996,0.056999999999999496,0.41968005639255956,36140,100,0.006,3,3,0.7697478991596639,within_session_high_snr
zro2_120_formal,22,22,single,zro2_120_formal:m022,3.856,5.531,55.376,60.172,60.648,760384,1.0,49.845,51.519999999999996,56.792,54.641,4.914999999999999,0.05399999999999494,0.41092395421260836,36140,100,0.006,3,11,0.704201680672269,within_session_high_snr
zro2_120_formal,23,23,single,zro2_120_formal:m023,4.85383,7.64,70.714,75.126,75.686,760384,1.0,63.074,65.86017,70.83217,67.486,4.381,0.060000000000002274,0.3704956969110344,36140,200,0.008,4,3,0.8168067226890756,within_session_high_snr
zro2_120_formal,24,24,single,zro2_120_formal:m024,5.6018300000000005,9.398,75.16,79.584,80.407,760384,1.0,65.762,69.55816999999999,74.80516999999999,70.186,4.558000000000007,0.0660000000000025,0.4079859649861123,36140,200,0.01,5,11,0.8352941176470589,new_process_level_coverage
zro2_120_formal,32,32,single,zro2_120_formal:m032,2.277,3.007,50.871,55.274,55.652,760384,1.0,47.864000000000004,48.594,53.375,52.267,4.442999999999998,0.04700000000000015,0.4224326129955391,43800,50,0.004,2,3,0.626890756302521,new_process_level_coverage
zro2_120_formal,34,34,single,zro2_120_formal:m034,2.145,2.833,56.741,61.355,61.779,760384,1.0,53.908,54.596,59.634,58.522,4.676000000000002,0.045999999999999375,0.4222616467469068,43800,50,0.006,3,3,0.6571428571428573,within_session_high_snr
zro2_120_formal,36,36,single,zro2_120_formal:m036,3.563,4.289,57.624,62.246,62.742,760384,1.0,53.335,54.061,59.178999999999995,57.957,4.707999999999998,0.04600000000000026,0.422344499621244,43800,50,0.008,5,5,0.6638655462184875,within_session_high_snr
zro2_120_formal,38,38,single,zro2_120_formal:m038,4.153,4.879,57.552,62.394,63.033,760384,1.0,52.673,53.399,58.88,57.515,4.834000000000003,0.04999999999999716,0.3974241961956064,43800,100,0.002,2,9,0.7075630252100841,within_session_high_snr
