session_id,measurement_id,sample_id,artifact,pixel_count,row_min,row_max,col_min,col_max,span_x_um,span_y_um,aspect_ratio,bbox_fill,max_correction_um,mean_correction_um
zro2_120_formal,11,11,1,31,37,46,80,90,5.5,5.0,1.1,0.3181818181818182,2.990704580683037,1.7828061698366309
zro2_120_formal,11,11,2,10,50,54,66,70,2.5,2.5,1.0,0.44,2.0536325867895115,0.9720304912679069
zro2_120_formal,11,11,3,19,54,59,122,127,3.0,3.0,1.0,0.5277777777777778,4.62842327339753,2.858053920991375
zro2_120_formal,11,11,4,96,62,71,64,78,7.5,5.0,1.5,0.64,1.7096019453711477,1.2218473597492172
zro2_120_formal,11,11,5,7,72,77,116,119,2.0,3.0,1.5,0.2916666666666667,2.424077933155786,1.7094151905596533
zro2_120_formal,11,11,6,6,83,85,111,113,1.5,1.5,1.0,0.6666666666666666,1.4056483615098756,1.0822328915060275
zro2_120_formal,13,13,1,14,60,66,34,36,1.5,3.5,2.3333333333333335,0.7142857142857143,5.1306340231626315,3.388377425840635
zro2_120_formal,20,20,1,30,10,15,77,82,3.0,3.0,1.0,0.8333333333333334,3.37682630019701,2.3218162904754163
zro2_120_formal,20,20,2,69,10,23,93,100,4.0,7.0,1.75,0.6160714285714286,4.158799826983689,2.2161167319940764
zro2_120_formal,20,20,3,97,19,28,109,123,7.5,5.0,1.5,0.68,3.4613008089875024,2.170951307631168
zro2_120_formal,20,20,4,81,26,34,60,77,9.0,4.5,2.0,0.5,3.9128694638094146,2.489085415372481
zro2_120_formal,20,20,5,6,36,38,118,121,2.0,1.5,1.3333333333333333,0.5,9.672042584424474,8.286212453908208
zro2_120_formal,20,20,6,33,36,46,126,136,5.5,5.5,1.0,0.32231404958677684,9.863780403865334,5.0187925825962925
zro2_120_formal,20,20,7,4,41,42,141,142,1.0,1.0,1.0,1.0,7.706433865243781,4.539158283687646
zro2_120_formal,20,20,8,57,115,127,33,39,3.5,6.5,1.8571428571428572,0.6263736263736264,2.45879502544409,1.8735065721516777
zro2_120_formal,20,20,9,101,130,149,54,61,4.0,10.0,2.5,0.63125,2.277714002512738,1.6282496302274536
zro2_120_formal,23,23,1,46,12,19,10,17,4.0,4.0,1.0,0.765625,17.21466407312696,7.8875257450787135
zro2_120_formal,23,23,2,15,24,29,10,13,2.0,3.0,1.5,0.8333333333333334,12.374034643738092,6.486818417182504
zro2_120_formal,23,23,3,7,39,42,11,13,1.5,2.0,1.3333333333333333,0.8333333333333334,13.241184140109297,7.169416152387517
zro2_120_formal,23,23,4,49,55,62,136,145,5.0,4.0,1.25,0.6125,7.770376758646805,4.159100349599233
zro2_120_formal,24,24,1,65,27,38,68,80,6.5,6.0,1.0833333333333333,0.4230769230769231,8.94892446243874,6.608508431634606
zro2_120_formal,24,24,2,29,40,45,50,59,5.0,3.0,1.6666666666666667,0.48333333333333334,5.574140810239108,3.4152489059693956
zro2_120_formal,24,24,3,34,81,85,58,67,5.0,2.5,2.0,0.68,5.508732484195939,3.15665696765648
zro2_120_formal,25,25,1,18,125,129,67,72,3.0,2.5,1.2,0.6,2.1576411164637275,1.6469879812863444
zro2_120_formal,27,27,1,6,17,21,58,60,1.5,2.5,1.6666666666666667,0.6,2.0270015359563303,1.4664406370186047
zro2_120_formal,27,27,2,7,37,40,73,74,1.0,2.0,2.0,0.875,4.82662326109066,3.5382305821392706
zro2_120_formal,27,27,3,52,41,57,52,58,3.5,8.5,2.4285714285714284,0.4369747899159664,6.809446807028721,4.053269711184763
zro2_120_formal,29,29,1,7,40,41,26,29,2.0,1.0,2.0,0.875,1.4043906150090493,1.0061614321643952
zro2_120_formal,33,33,1,3,134,135,148,149,1.0,1.0,1.0,0.75,1.7360877405079123,1.1215497651747863
zro2_120_formal,35,35,1,20,66,70,52,56,2.5,2.5,1.0,0.8,6.7187819336677155,5.03471030731474
zro2_120_formal,35,35,2,49,114,124,86,91,3.0,5.5,1.8333333333333333,0.7424242424242424,6.376621641315706,4.690719887519015
zro2_120_formal,36,36,1,112,138,149,67,82,8.0,6.0,1.3333333333333333,0.5885416666666666,3.2175085454132883,2.1185865279339993
zro2_120_formal,38,38,1,13,64,68,112,115,2.0,2.5,1.25,0.65,2.018761715866468,1.6087517121943642
zro2_120_formal,38,38,2,128,68,88,89,104,8.0,10.5,1.3125,0.39285714285714285,17.136330767290957,8.621865381280656
zro2_120_formal,38,38,3,208,86,117,117,137,10.5,16.0,1.5238095238095237,0.39285714285714285,11.27486886300779,3.147991158201115
zro2_120_formal,38,38,4,76,89,98,73,84,6.0,5.0,1.2,0.7,18.585220005968225,9.935941939971736
zro2_120_formal,38,38,5,5,103,105,140,142,1.5,1.5,1.0,0.5555555555555556,13.066190612211166,11.028094387905
zro2_120_formal,38,38,6,35,107,119,82,87,3.0,6.5,2.1666666666666665,0.5256410256410257,18.266533547232996,9.730543035012275
zro2_120_formal,38,38,7,27,118,130,100,106,3.5,6.5,1.8571428571428572,0.5824175824175825,16.878273817936112,8.304923406104992
zro2_120_formal,38,38,8,17,120,123,90,95,3.0,2.0,1.5,0.7083333333333334,16.790891302605125,11.867592105904567
zro2_120_formal,38,38,9,47,131,140,142,149,4.0,5.0,1.25,0.5875,7.14810310597689,3.805411905843539
zro2_120_formal,38,38,10,6,133,134,108,111,2.0,1.0,2.0,0.75,16.638441603346315,13.605139611822182
zro2_120_formal,38,38,11,61,135,147,116,126,5.5,6.5,1.1818181818181819,0.48951048951048953,18.964769824572826,11.423585445069111
zro2_120_formal,38,38,12,72,136,149,134,145,6.0,7.0,1.1666666666666667,0.5595238095238095,8.48868745983345,1.6964951909734998
zro2_120_formal,40,40,1,40,14,21,66,72,3.5,4.0,1.1428571428571428,0.7142857142857143,2.168412271665048,1.4698688266111377
zro2_120_formal,40,40,2,6,20,25,53,55,1.5,3.0,2.0,0.5,2.4867027311506362,1.0493226789305166
zro2_120_formal,40,40,3,77,38,52,50,64,7.5,7.5,1.0,0.3422222222222222,3.668123016328778,2.2562901740071117
zro2_120_formal,43,43,1,16,134,138,29,33,2.5,2.5,1.0,0.64,4.7055285924531915,2.968752251591611
zro2_120_formal,43,43,2,22,144,149,10,16,3.5,3.0,1.1666666666666667,0.5952380952380952,6.839022509007087,4.78414904456021
zro2_120_formal,44,44,1,22,73,77,129,134,3.0,2.5,1.2,0.7333333333333333,4.660370739645295,3.3345775523568317
zro2_120_formal,44,44,2,64,101,109,122,130,4.5,4.5,1.0,0.7901234567901234,4.174517070304965,2.4241789326161722
zro2_120_formal,44,44,3,10,103,105,144,148,2.5,1.5,1.6666666666666667,0.6666666666666666,3.293672972828986,2.2042115176138557
zro2_120_formal,44,44,4,21,115,120,103,107,2.5,3.0,1.2,0.7,5.09870923293056,3.309642265928943
zro2_120_formal,44,44,5,49,130,143,114,121,4.0,7.0,1.75,0.4375,5.41318670787043,2.992400873232086
zro2_120_formal,45,45,1,28,48,55,20,27,4.0,4.0,1.0,0.4375,5.372895360788519,3.106648918388966
zro2_120_formal,45,45,2,37,54,65,109,124,8.0,6.0,1.3333333333333333,0.19270833333333334,6.768972047820029,4.143848911891719
zro2_120_formal,45,45,3,46,64,74,21,31,5.5,5.5,1.0,0.38016528925619836,6.877643104986575,4.096646811891838
zro2_120_formal,45,45,4,24,72,76,123,131,4.5,2.5,1.8,0.5333333333333333,3.5894276939680694,2.0059725553652625
zro2_120_formal,45,45,5,44,83,90,66,75,5.0,4.0,1.25,0.5875,9.960881727282938,5.854659079420589
zro2_120_formal,45,45,6,113,94,111,79,94,8.0,9.0,1.125,0.3923611111111111,13.259179609562878,7.160337112047615
zro2_120_formal,45,45,7,5,118,120,89,90,1.0,1.5,1.5,0.8333333333333334,4.925525023607662,2.941675685254862
zro2_120_formal,45,45,8,16,130,141,87,95,4.5,6.0,1.3333333333333333,0.18518518518518517,4.850702965597044,2.854429503044364
zro2_120_formal,54,54,1,4,132,133,76,77,1.0,1.0,1.0,1.0,3.180405012180948,2.90553818455194
zro2_120_formal,58,58,1,56,68,75,23,31,4.5,4.0,1.125,0.7777777777777778,3.0751387478728702,1.9064931165163321
zro2_120_formal,58,58,2,26,82,87,38,43,3.0,3.0,1.0,0.7222222222222222,2.5089955696397155,1.6639941178504252
zro2_120_formal,58,58,3,42,86,95,25,31,3.5,5.0,1.4285714285714286,0.6,1.5535696679012077,0.9536100762667056
zro2_120_formal,58,58,4,28,103,110,16,21,3.0,4.0,1.3333333333333333,0.5833333333333334,4.86623747140991,3.2820673175988335
zro2_120_formal,58,58,5,32,115,122,14,18,2.5,4.0,1.6,0.85,5.585109358158277,2.627259909473331
zro2_120_formal,58,58,6,42,140,149,10,19,5.0,5.0,1.0,0.49,5.235732644833945,1.7292438361598381
zro2_120_formal,59,59,1,240,10,37,105,126,11.0,14.0,1.2727272727272727,0.38961038961038963,10.1025295242639,5.412967342534605
zro2_120_formal,59,59,2,61,20,28,71,88,9.0,4.5,2.0,0.3765432098765432,2.4008438071832714,1.4446396404446098
zro2_120_formal,59,59,3,46,26,34,143,149,3.5,4.5,1.2857142857142858,0.7777777777777778,7.472968169908945,4.509947053755115
zro2_120_formal,59,59,4,24,28,33,59,65,3.5,3.0,1.1666666666666667,0.5714285714285714,3.659574960643596,2.498529242102197
zro2_120_formal,59,59,5,57,45,61,133,144,6.0,8.5,1.4166666666666667,0.35784313725490197,6.705197624112081,3.5109580766294806
zro2_120_formal,59,59,6,7,47,49,92,95,2.0,1.5,1.3333333333333333,0.5833333333333334,1.6517791086111302,1.0490751679019599
zro2_120_formal,59,59,7,4,59,60,116,118,1.5,1.0,1.5,0.6666666666666666,3.176924428705398,2.587800429381968
zro2_120_formal,61,61,1,17,90,94,10,14,2.5,2.5,1.0,0.68,4.618848008982077,3.0993690833470273
zro2_120_formal,61,61,2,26,105,114,22,26,2.5,5.0,2.0,0.54,7.674907577751597,4.787266583702466
zro2_120_formal,61,61,3,20,125,131,22,25,2.0,3.5,1.75,0.75,6.7197962631404025,3.3510966498457138
zro2_120_formal,61,61,4,9,143,148,21,23,1.5,3.0,2.0,0.5555555555555556,7.649466774288975,5.086509178128987
zro2_120_formal,62,62,1,24,128,133,129,139,5.5,3.0,1.8333333333333333,0.36363636363636365,3.6451282841052475,2.696465989866729
zro2_120_formal,62,62,2,5,132,133,128,131,2.0,1.0,2.0,0.625,1.9619681165555036,1.1785501986737388
zro2_120_formal,62,62,3,40,138,149,117,127,5.5,6.0,1.0909090909090908,0.30303030303030304,7.112407620468225,4.612596735664489
zro2_120_formal,63,63,1,13,146,149,143,149,3.5,2.0,1.75,0.6071428571428571,6.28878902256853,3.9303286014644288
zro2_120_formal,66,66,1,13,35,41,35,37,1.5,3.5,2.3333333333333335,0.9047619047619048,8.531942972449034,5.1492234492925935
zro2_120_formal,66,66,2,2,91,95,34,36,1.5,2.5,1.6666666666666667,0.5333333333333333,4.7900032741392735,4.392708769325029
zro2_120_formal,66,66,3,14,106,109,111,116,3.0,2.0,1.5,0.5833333333333334,2.267324010393942,1.4997325347349875
zro2_120_formal,66,66,4,20,141,149,35,40,3.0,4.5,1.5,0.6111111111111112,10.125256434096784,5.450496099597076
zro2_120_formal,67,67,1,30,89,96,118,123,3.0,4.0,1.3333333333333333,0.625,3.0751030920393134,2.178826668722402
zro2_120_formal,68,68,1,38,83,89,110,116,3.5,3.5,1.0,0.7755102040816326,1.8497870234597258,1.3205064523994883
zro2_120_formal,68,68,2,15,128,134,56,59,2.0,3.5,1.75,0.5357142857142857,2.910555929886158,1.9585694019699853
zro2_120_formal,68,68,3,33,137,143,11,16,3.0,3.5,1.1666666666666667,0.7857142857142857,2.2829033167975297,1.738878379277595
zro2_120_formal,70,70,1,16,97,104,10,13,2.0,4.0,2.0,0.6875,9.935967288210989,7.2470608722610095
zro2_120_formal,70,70,2,58,99,107,45,60,8.0,4.5,1.7777777777777777,0.4444444444444444,8.288234821190848,5.059690410869018
zro2_120_formal,70,70,3,25,119,126,112,118,3.5,4.0,1.1428571428571428,0.44642857142857145,2.4505459937708878,1.750072273645439
zro2_120_formal,70,70,4,19,122,125,17,25,4.5,2.0,2.25,0.5833333333333334,10.633074233287957,6.371117114159124
