session_id,measurement_id,sample_id,registration_status,included_in_phase_a,exclusion_reason,exclusion_disposition,available_centered_square_um,limiting_sample
zro2_120_formal,1,1,PASS,True,,,515.6902480598774,False
zro2_120_formal,2,2,PASS,True,,,515.4374547106034,False
zro2_120_formal,3,3,PASS,True,,,474.8779806234068,False
zro2_120_formal,4,4,PASS,True,,,519.1878342370462,False
zro2_120_formal,5,5,PASS,True,,,500.49046066055837,False
zro2_120_formal,6,6,PASS,True,,,518.466376996649,False
zro2_120_formal,7,7,PASS,True,,,508.5399006505301,False
zro2_120_formal,8,8,PASS,True,,,511.9484745045519,False
zro2_120_formal,9,9,PASS,True,,,510.9359263974426,False
zro2_120_formal,10,10,PASS,True,,,517.1494513947752,False
zro2_120_formal,11,11,PASS,True,,,519.192790969385,False
zro2_120_formal,12,12,PASS,True,,,505.21084337287704,False
zro2_120_formal,13,13,PASS,True,,,496.2070285703004,False
zro2_120_formal,14,14,PASS,True,,,505.2356270345706,False
zro2_120_formal,15,15,PASS,True,,,468.8173561523192,False
zro2_120_formal,16,16,PASS,True,,,442.28292390016895,False
zro2_120_formal,17,17,PASS,True,,,499.309767951596,False
zro2_120_formal,18,18,PASS,True,,,514.5568815657737,False
zro2_120_formal,19,19,PASS,True,,,521.5186642873008,False
zro2_120_formal,20,20,PASS,True,,,509.16036069279323,False
zro2_120_formal,21,21,PASS,True,,,483.0575121351533,False
zro2_120_formal,22,22,PASS,True,,,512.3757026554736,False
zro2_120_formal,23,23,PASS,True,,,519.7128289686307,False
zro2_120_formal,24,24,PASS,True,,,472.0131040042817,False
zro2_120_formal,25,25,PASS,True,,,432.84367482804134,True
zro2_120_formal,26,26,PASS,True,,,509.32069489247016,False
zro2_120_formal,27,27,PASS,True,,,479.54900487128793,False
zro2_120_formal,28,28,PASS,True,,,463.3244813714178,False
zro2_120_formal,29,29,PASS,True,,,475.24746102004485,False
zro2_120_formal,30,30,PASS,True,,,516.0042474086748,False
zro2_120_formal,31,31,PASS,True,,,505.07873681119133,False
zro2_120_formal,32,32,PASS,True,,,513.0031578244833,False
zro2_120_formal,33,33,PASS,True,,,511.22190052057755,False
zro2_120_formal,34,34,PASS,True,,,520.4370989362169,False
zro2_120_formal,35,35,PASS,True,,,503.93428095825635,False
zro2_120_formal,36,36,PASS,True,,,518.3955842372832,False
zro2_120_formal,37,37,PASS,True,,,490.68937012770544,False
zro2_120_formal,38,38,PASS,True,,,486.3146260070844,False
zro2_120_formal,39,39,PASS,True,,,508.7183430147233,False
zro2_120_formal,40,40,PASS,True,,,498.17949010875884,False
zro2_120_formal,41,41,PASS,True,,,509.98022415971,False
zro2_120_formal,42,42,PASS,True,,,495.27592106687916,False
zro2_120_formal,43,43,PASS,True,,,485.9747023239803,False
zro2_120_formal,44,44,PASS,True,,,514.1243666516594,False
zro2_120_formal,45,45,PASS,True,,,483.1204390323675,False
zro2_120_formal,46,46,PASS,True,,,514.5767084951286,False
zro2_120_formal,47,47,PASS,True,,,476.1785685234661,False
zro2_120_formal,48,48,PASS,True,,,488.13204674238034,False
zro2_120_formal,49,49,PASS,True,,,520.2499496675425,False
zro2_120_formal,50,50,PASS,True,,,490.0770098464709,False
zro2_120_formal,51,51,PASS,True,,,479.68186960922856,False
zro2_120_formal,52,52,PASS,True,,,485.5838786454777,False
zro2_120_formal,53,53,PASS,True,,,464.45309999213225,False
zro2_120_formal,54,54,PASS,True,,,488.16254531266736,False
zro2_120_formal,55,55,PASS,True,,,507.45245224103496,False
zro2_120_formal,56,56,PASS,True,,,478.36565333589834,False
zro2_120_formal,57,57,PASS,True,,,499.07662609296375,False
zro2_120_formal,58,58,PASS,True,,,509.3775884157708,False
zro2_120_formal,59,59,PASS,True,,,514.3530873036838,False
zro2_120_formal,60,60,PASS,True,,,502.0453582624012,False
zro2_120_formal,61,61,PASS,True,,,512.7554548405559,False
zro2_120_formal,62,62,PASS,True,,,487.9011238547244,False
zro2_120_formal,63,63,PASS,True,,,501.751238466761,False
zro2_120_formal,64,64,PASS,True,,,494.8425144618008,False
zro2_120_formal,65,65,PASS,True,,,494.0001168285134,False
zro2_120_formal,66,66,PASS,True,,,498.13140656878136,False
zro2_120_formal,67,67,PASS,True,,,474.40497303951764,False
zro2_120_formal,68,68,PASS,True,,,482.2576005026907,False
zro2_120_formal,69,69,PASS,True,,,475.2977865196868,False
zro2_120_formal,70,70,PASS,True,,,488.3876041546252,False
zro2_120_formal,71,71,PASS,True,,,475.8982836948456,False
zro2_120_formal,72,72,PASS,True,,,495.4155192453712,False
zro2_120_formal,73,73,PASS,True,,,504.7578479033445,False
zro2_120_formal,74,74,PASS,True,,,497.303632268218,False
zro2_120_formal,75,75,PASS,True,,,487.3850965117459,False
zro2_120_formal,76,76,PASS,True,,,497.8637430224914,False
zro2_120_formal,77,77,PASS,True,,,499.6897445504532,False
zro2_120_formal,78,78,PASS,True,,,487.1719570211817,False
zro2_120_formal,79,79,PASS,True,,,493.6382753677881,False
zro2_120_formal,80,80,PASS,True,,,494.8404867973282,False
zro2_120_formal,81,81,PASS,True,,,486.57790731679233,False
zro2_120_formal,82,82,PASS,True,,,497.5316419557983,False
zro2_120_formal,83,83,PASS,True,,,489.35904183361396,False
zro2_120_formal,84,84,PASS,True,,,499.3511703989117,False
zro2_120_formal,85,85,PASS,True,,,508.17461880997575,False
zro2_120_formal,86,86,PASS,True,,,494.0744678135939,False
zro2_120_formal,87,87,PASS,True,,,521.8246741987401,False
zro2_120_formal,88,88,PASS,True,,,501.6647139830914,False
zro2_120_formal,89,89,PASS,True,,,517.8800150758836,False
zro2_120_formal,90,90,PASS,True,,,503.33624155673266,False
zro2_120_formal,91,91,PASS,True,,,516.0416267386199,False
zro2_120_formal,92,92,PASS,True,,,502.56354062920036,False
zro2_120_formal,93,93,PASS,True,,,493.17729926028875,False
zro2_120_formal,94,94,PASS,True,,,515.6260193984238,False
zro2_120_formal,95,95,PASS,True,,,518.8641302825209,False
zro2_120_formal,96,96,PASS,True,,,516.75522850809,False
zro2_120_formal,97,97,PASS,True,,,474.5111824303428,False
zro2_120_formal,98,98,PASS,True,,,463.9871671522942,False
zro2_120_formal,99,99,PASS,True,,,503.27676076866817,False
zro2_120_formal,100,100,PASS,True,,,468.8854896787802,False
zro2_120_formal,101,101,PASS,True,,,501.11941635026824,False
zro2_120_formal,102,102,PASS,True,,,508.8769584495618,False
zro2_120_formal,103,103,PASS,True,,,499.47240650380513,False
zro2_120_formal,104,104,PASS,True,,,490.2157983519546,False
zro2_120_formal,105,105,PASS,True,,,502.1791900355462,False
zro2_120_formal,106,106,PASS,True,,,509.9469469079707,False
zro2_120_formal,107,107,PASS,True,,,504.924869249742,False
zro2_120_formal,108,108,PASS,True,,,515.7114751489224,False
zro2_120_formal,109,109,PASS,True,,,496.32124227304007,False
zro2_120_formal,110,110,PASS,True,,,506.37360980265703,False
zro2_120_formal,111,111,PASS,True,,,507.9961764457825,False
zro2_120_formal,112,112,PASS,True,,,472.3713242027357,False
zro2_120_formal,113,113,PASS,True,,,507.15009156837414,False
zro2_120_formal,114,114,PASS,True,,,486.95537715078854,False
zro2_120_formal,115,115,PASS,True,,,517.6817457823356,False
zro2_120_formal,116,116,PASS,True,,,520.1166672117029,False
zro2_120_formal,117,117,PASS,True,,,487.68328602149313,False
zro2_120_formal,118,118,PASS,True,,,502.69682308504,False
zro2_120_formal,119,119,PASS,True,,,510.5975611048506,False
zro2_120_formal,120,120,PASS,True,,,500.651813422908,False
zro2_20_supplement,1,1,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,202.04823033172622,False
zro2_20_supplement,1,2,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,198.37871749227975,False
zro2_20_supplement,2,3,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,199.22105269479923,False
zro2_20_supplement,2,4,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,205.90007518842873,False
zro2_20_supplement,3,5,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,202.2527514098686,False
zro2_20_supplement,3,6,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,204.93070073582552,False
zro2_20_supplement,4,7,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,202.90441481495677,False
zro2_20_supplement,4,8,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,208.98653398842342,False
zro2_20_supplement,5,9,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,203.48297553928006,False
zro2_20_supplement,5,10,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,209.83086830685494,False
zro2_20_supplement,6,11,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,204.0322951912975,False
zro2_20_supplement,6,12,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,200.9762131351806,False
zro2_20_supplement,7,13,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,201.0420029147764,False
zro2_20_supplement,7,14,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,201.7889624893109,False
zro2_20_supplement,8,15,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,206.7266720285674,False
zro2_20_supplement,8,16,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,204.14164586391377,False
zro2_20_supplement,9,17,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,200.71559423570307,False
zro2_20_supplement,9,18,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,206.99711225724047,False
zro2_20_supplement,10,19,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,207.33447382519668,False
zro2_20_supplement,10,20,PASS,False,"Paired acquisition layout provides only 198.38 um common centred FOV under manual_v1 centres (13 of 20 samples cannot support a full 200 um square without extrapolation), below the 260 um registered-grid minimum.",remeasurement_required,202.57587257002763,False
zro2_60_pass,1,1,PASS,True,,,320.1577963431347,False
zro2_60_pass,1,2,PASS,True,,,286.90660407709066,False
zro2_60_pass,2,3,PASS,True,,,318.32266842420614,False
zro2_60_pass,2,4,PASS,True,,,286.6015592120681,False
zro2_60_pass,3,5,PASS,True,,,304.47844090935104,False
zro2_60_pass,3,6,PASS,True,,,300.54230699366286,False
zro2_60_pass,4,7,PASS,True,,,294.6420273649242,False
zro2_60_pass,4,8,PASS,True,,,313.2116725307628,False
zro2_60_pass,5,9,PASS,True,,,299.8972807424133,False
zro2_60_pass,5,10,PASS,True,,,303.4744643811205,False
zro2_60_pass,6,11,PASS,True,,,287.48072895331194,False
