session_id,sample_id,design_row_id,cag_measurement_id,roi_within_measurement,mapping_rule,mapping_provenance,mapping_status
zro2_120_formal,1,1,1,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,2,2,2,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,3,3,3,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,4,4,4,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,5,5,5,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,6,6,6,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,7,7,7,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,8,8,8,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,9,9,9,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,10,10,10,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,11,11,11,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,12,12,12,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,13,13,13,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,14,14,14,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,15,15,15,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,16,16,16,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,17,17,17,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,18,18,18,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,19,19,19,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,20,20,20,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,21,21,21,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,22,22,22,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,23,23,23,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,24,24,24,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,25,25,25,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,26,26,26,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,27,27,27,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,28,28,28,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,29,29,29,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,30,30,30,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,31,31,31,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,32,32,32,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,33,33,33,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,34,34,34,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,35,35,35,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,36,36,36,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,37,37,37,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,38,38,38,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,39,39,39,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,40,40,40,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,41,41,41,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,42,42,42,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,43,43,43,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,44,44,44,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,45,45,45,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,46,46,46,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,47,47,47,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
zro2_120_formal,48,48,48,single,one_to_one_measurement_id,user_confirmed_2026-08-30,resolved
