version,group,n,delta_u_median_um,delta_u_mad_um,delta_u_q05_um,delta_u_q95_um,delta_v_median_um,delta_v_mad_um,delta_v_q05_um,delta_v_q95_um,radial_median_um,radial_q90_um,radial_q95_um,radial_max_um,frac_le_close,frac_close_to_moderate,frac_above_moderate
v3,zro2_120_formal,120,0.21455046912103892,0.5553171711322475,-1.001549968343839,11.60381161289577,0.2675525836821304,0.4398759172017841,-2.752381818010971,1.7200591532389449,0.9404796555956472,10.908854689137067,18.39030299077915,81.07486584784577,0.7,0.08333333333333333,0.21666666666666667
v3,zro2_20_supplement,20,0.10682233120152773,0.49429273003718777,-4.564749375916605,1.115438382432437,0.9592857979713632,0.488083608180633,-0.231612483678974,1.602958414321856,1.1476983335117186,1.8518808002011509,5.354248959895403,69.8562554971526,0.95,0.0,0.05
v3,zro2_60_pass,60,0.22978477203841408,0.9020043829422377,-0.9490986310881951,9.28604784603992,0.3066658833131146,0.8627946084151576,-6.397608702184533,2.354398284414196,1.435013663130848,10.897019987568818,13.496924607225209,79.3780257632153,0.6166666666666667,0.16666666666666666,0.21666666666666667
v4,zro2_120_formal,120,0.7963830745876006,1.0636496243366143,-3.1905923640627565,2.9894938954296864,-1.3232276277853074,0.8580066253047591,-2.754992284983383,2.0582675553007608,2.5556923536653797,3.5857199148278394,8.454379167371574,92.68870786687812,0.2833333333333333,0.65,0.06666666666666667
v4,zro2_20_supplement,20,-0.506059621719146,1.3252696608784333,-7.141838748568686,1.5875471139240307,-1.030213699125916,0.7100236673723881,-2.322367860477589,0.8933421980132044,2.029456099812052,2.953174467845789,7.429084023719693,76.97025841766201,0.45,0.5,0.05
v4,zro2_60_pass,60,1.1299154670102496,1.6326131525647298,-2.683087046956309,5.068642800115964,-0.26648872021241754,0.8371310943840233,-1.410593258596675,3.3834266245224196,2.422183054739441,5.692346619693425,14.003963532223237,79.16819776399943,0.4,0.43333333333333335,0.16666666666666666
v5,zro2_120_formal,120,0.4424892154517437,0.6231926007478368,-1.6944156293696777,2.5882627320391816,-0.9895804310569547,0.514789727431813,-1.9778469724374483,0.9155823668001299,1.4401209145952976,2.83504718785756,5.549971886974915,79.06408547471781,0.7333333333333333,0.20833333333333334,0.058333333333333334
v5,zro2_20_supplement,20,-0.84577708671182,1.043181823835667,-6.879338748568687,1.1069460691370998,-1.2258700992882252,0.3539191109450499,-2.414651363699648,-0.42587243353492715,1.9948132532522878,3.464574631657401,7.242458235074897,66.96728551770374,0.5,0.45,0.05
v5,zro2_60_pass,60,0.5833085595025835,0.7984268135639923,-1.2958892174703265,3.6312334679368217,-1.0746693947457586,0.5001982728551555,-2.160577655861049,2.049633470324539,1.7318738218510623,4.968203489737321,9.386287698134472,67.41825431919702,0.6166666666666667,0.2833333333333333,0.1
v6,zro2_120_formal,120,0.2950621962322426,0.6240063326164575,-1.40231305208727,2.5604050497547792,-0.7746076025587563,0.5599958736749926,-2.180378400555967,0.9078110357723849,1.358954576065448,2.7321324120843684,3.51230315295215,41.72712698592063,0.775,0.2,0.025
v6,zro2_20_supplement,20,-0.4011236149806763,1.3087127394033757,-4.69183874856869,1.40004711392403,-1.7318119285253255,0.7128425778121352,-3.1646513636996483,-0.16337243353492695,2.06618568012144,3.9334632703954604,4.939442698838882,13.880375877547916,0.5,0.45,0.05
v6,zro2_60_pass,60,0.3327530377782324,0.7939560805049126,-1.154333144356552,3.5544971565192944,-1.1670090640822965,0.4723366178507926,-2.4105977812476294,0.8682189628666295,1.654798740376338,3.6169322277829323,4.2323830345213205,7.68267503195492,0.6166666666666667,0.3333333333333333,0.05
v7,zro2_120_formal,120,0.46062831535326154,0.5971145521455399,-0.4583514878145072,14.86003834032719,-0.4296882468617258,0.4245413910306244,-1.6565241389813115,0.8042284076459473,0.9876684775190085,10.278006699731062,15.542575333749218,33.97615755974707,0.725,0.075,0.2
v7,zro2_20_supplement,20,0.3604350152754847,0.8775778540999681,-4.168854534103718,1.4534289044528,-0.13274993072244357,0.4686974406169018,-1.4804717200716835,0.520103631448486,1.292253822501156,2.2255973278980163,4.179751102629075,32.43688943689797,0.85,0.1,0.05
v7,zro2_60_pass,60,0.6292466304605568,0.9216488059400803,-0.8706805796039319,23.446969277508323,-0.8020948094069855,0.6114765769176382,-6.762452478823717,0.6037696521814723,1.6266762259212548,12.62812347441573,24.526527903319014,62.41969335295813,0.5833333333333334,0.15,0.26666666666666666
