registration_method,evidence_level,session_id,measurement_id,sample_id,roi_within_measurement,theta_session_deg,d4_transform_session,center_x_um,center_y_um,delta_u_um,delta_v_um,left_evidence,right_evidence,top_evidence,bottom_evidence,joint_evidence_total,x_pair_evidence,y_pair_evidence,outer_reference_scale_um,bootstrap_u_mad_um,bootstrap_v_mad_um,bootstrap_u_ci_span_um,bootstrap_v_ci_span_um,bootstrap_u_q025_um,bootstrap_u_q975_um,bootstrap_v_q025_um,bootstrap_v_q975_um,bootstrap_replicates,u_multimodal,v_multimodal,center_search_boundary_hit,initialization,status,warning,qa_v2_status,qa_v2_region_score,qa_v2_edge_score,qa_v2_weight_sensitivity_span_um,qa_v3_status,qa_v4_status,qa_v5_vs_v2_center_shift_um,qa_v5_vs_v3_center_shift_um,qa_v5_vs_v4_center_shift_um,paired_center_separation_um,slot_assignment_conflict
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,1,1,single,-0.7000000000025182,identity,11.35807089055407,1.6553860775609741,-0.75,-1.0,62.79063526253527,81.48208000174336,198.83739110518638,100.68521252736082,443.79531889682585,144.27271526427862,299.5226036325472,0.14800668191564925,0.75,0.25,2.25,1.75,-2.0,0.25,-2.0,-0.25,256,False,False,False,fixed-domain_component,PASS,,REVIEW,84.98598622985628,11.536901161262923,4.031128874149275,PASS,PASS,4.262171038156078,0.9843314463793109,1.1180339887498951,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,2,2,single,-0.7000000000025182,identity,1.3432365777261324,1.6243241303735998,-1.0,-2.0,34.82451243932274,41.27992754201816,125.41516498909874,77.69058862669563,279.21019359713523,76.1044399813409,203.10575361579436,0.18650249625799617,0.5,0.25,3.0,1.75,-2.0,1.0,-2.75,-1.0,256,False,False,False,fixed-domain_component,PASS,,PASS,44.32061438938943,10.024543858583003,1.5,PASS,PASS,1.4402074743197,1.5304158719693408,0.9013878188659973,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,3,3,single,-0.7000000000025182,identity,1.240896871142045,23.101834808246302,0.0,-1.125,15.650605271905775,16.830009795740054,56.87423245181478,60.14663968666662,149.50148720612722,32.48061506764583,117.0208721384814,0.22017083993618045,0.25,0.625,2.5,2.0,-0.5,2.0,-2.25,-0.25,256,False,False,False,fixed-domain_component,PASS,,REVIEW,17.471984132379472,7.3745125684606405,3.905124837953327,PASS,PASS,4.9149103415564275,0.7727686899218154,1.8750000000000013,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,4,4,single,-0.7000000000025182,identity,3.563783861503071,1.7662581345224175,-1.375,-0.5,9.298894373474504,3.599963244950499,44.755505246854725,55.31743720714479,112.97180007242451,12.898857618425001,100.07294245399952,0.22864801367889387,1.375,0.5,4.25,2.15625,-3.75,0.5,-2.15625,0.0,256,False,False,False,fixed-domain_component,PASS,,PASS,10.155611686369788,6.264425296518374,2.23606797749979,REVIEW,PASS,13.124586640082326,0.8551379192220572,1.7897276329095442,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,5,5,single,-0.7000000000025182,identity,-13.585242682775228,10.56367370803287,-0.75,0.0,20.957668867765566,22.082134770090512,62.29658555526093,72.2814240276119,177.61781322072892,43.03980363785608,134.57800958287282,0.22473535715247836,0.5,0.0,5.0,1.25,-3.0,2.0,-0.75,0.5,256,False,False,False,fixed-domain_component,PASS,,REVIEW,20.766748843947354,6.72309721305988,3.605551275463989,PASS,PASS,3.8113379251296293,0.4159379505439367,0.5590169943749466,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,6,6,single,-0.7000000000025182,identity,-9.816086369716372,2.2724044587635612,-1.5,-0.25,2.089742995756954,0.9738430731551434,25.110518809944402,30.525584333804083,58.69968921266058,3.0635860689120973,55.636103143748485,0.17413646971220217,5.875,0.25,34.90625,1.25,-18.75,16.15625,-1.25,0.0,256,True,False,False,fixed-domain_component,STOP,bootstrap CI span above hard maximum; bootstrap MAD above hard maximum; bootstrap centre distribution is multimodal; bootstrap CI span above review threshold; bootstrap MAD above review threshold,REVIEW,5.3262871792857664,2.7374647017275584,4.6097722286464435,STOP,STOP,14.293593640294326,4.634581720284929,7.750000000000001,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,7,7,single,-0.7000000000025182,identity,-16.76315650199224,7.039659268009649,-1.0,-0.25,26.992230917004434,30.189622903997765,68.33305229004728,79.63797999021295,205.15288610126242,57.1818538210022,147.97103228026023,0.17534219046838195,1.75,0.25,5.25,1.40625,-3.5,1.75,-1.0,0.40625,256,False,False,False,fixed-domain_component,REVIEW,bootstrap MAD above review threshold,PASS,32.94362423958741,6.540467153920149,2.0,REVIEW,PASS,6.392136931468276,0.4441139030108296,2.5124689052802225,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,8,8,single,-0.7000000000025182,identity,7.4268042393486375,-5.391971264966438,-1.0,-1.0,5.998170130647736,7.889425555549548,53.135070373551265,58.682928701403185,125.70559476115174,13.887595686197283,111.81799907495446,0.24319018984565421,1.375,0.5,6.5,2.75,-4.5,2.0,-2.75,0.0,256,False,False,False,fixed-domain_component,REVIEW,bootstrap CI span above review threshold,REVIEW,13.31356336767402,6.557227186407554,3.0413812651491097,STOP,STOP,12.515101151468167,0.5217326764090576,2.7613402542968144,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,9,9,single,-0.7000000000025182,identity,15.617183737909341,5.699864311634904,-1.5,2.75,110.47800406752489,199.70848502285656,228.05487564606193,71.62673430933708,609.8680990457805,310.18648909038143,299.68160995539904,0.21657691880977759,0.25,0.5,2.0,4.125,-1.75,0.25,1.5,5.625,256,False,False,False,fixed-domain_component,PASS,,REVIEW,242.10025850571768,18.423793438149712,4.031128874149275,PASS,PASS,3.311412849380861,1.1442539722496075,0.901387818865996,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,10,10,single,-0.7000000000025182,identity,5.801713277264201,3.9978199074397938,-11.0,0.75,0.017215264848301482,29.969848286278125,37.06652909618825,20.07066108125519,87.12425372856987,29.987063551126425,57.137190177443436,0.1901414760846465,1.0,0.75,4.75,3.40625,-12.75,-8.0,-1.40625,2.0,256,False,False,False,fixed-domain_component,PASS,,PASS,19.56148692975407,2.5819889183754623,2.0,REVIEW,PASS,13.495490007471343,2.0976549207637523,0.5000000000000001,,
