registration_method,evidence_level,session_id,measurement_id,sample_id,roi_within_measurement,theta_session_deg,d4_transform_session,initializer_search_x_min_um,initializer_search_x_max_um,initializer_search_y_min_um,initializer_search_y_max_um,center_x_um,center_y_um,delta_u_um,delta_v_um,left_evidence,right_evidence,top_evidence,bottom_evidence,joint_evidence_total,x_pair_evidence,y_pair_evidence,outer_reference_scale_um,influence_u_mad_um,influence_v_mad_um,influence_u_ci_span_um,influence_v_ci_span_um,influence_u_q025_um,influence_u_q975_um,influence_v_q025_um,influence_v_q975_um,influence_replicates,u_multimodal,v_multimodal,local_search_boundary_hit,global_search_boundary_hit,initialization,status,warning,qa_v2_status,qa_v6_vs_v2_center_shift_um,qa_v3_status,qa_v6_vs_v3_center_shift_um,qa_v4_status,qa_v6_vs_v4_center_shift_um,qa_v5_status,qa_v6_vs_v5_center_shift_um,qa_v6_status,qa_v6_vs_v6_center_shift_um,qa_v2_region_score,qa_v2_edge_score,qa_v2_weight_sensitivity_span_um,paired_center_separation_um,slot_assignment_conflict
feasible_domain_independent_side_constrained_consensus,3,zro2_120_formal,1,1,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,11.572890592309674,2.0026744051549463,0.0,-1.0,54.15307513714222,69.61404300355673,173.78229292371634,87.6006506987946,385.1500617632099,123.76711814069895,261.38294362251094,0.16748372944898063,0.25,0.125,0.5,0.6812499999999999,-0.5,0.0,-1.25,-0.5687500000000001,12,False,False,False,False,fixed-domain_component,PASS,,REVIEW,4.06301395427614,PASS,0.8475929383120387,PASS,1.4791096120198028,PASS,0.4083585272103244,PASS,0.5590169943749481,84.98598622985628,11.536901161262923,4.031128874149275,,
feasible_domain_independent_side_constrained_consensus,3,zro2_120_formal,2,2,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,1.327882215682272,2.578004213147402,-0.75,-1.25,37.675940133550554,45.53487505618529,132.04786699683297,88.27529605555563,303.5339782421245,83.21081518973585,220.3231630523886,0.16938108898525642,0.0,0.0,0.75,0.6812499999999999,-1.25,-0.5,-1.93125,-1.25,12,False,False,False,False,fixed-domain_component,PASS,,PASS,2.224037516602928,PASS,0.6992689570796307,PASS,1.623316448508739,PASS,0.9538036782866902,PASS,0.24999999999999983,44.32061438938943,10.024543858583003,1.5,,
feasible_domain_independent_side_constrained_consensus,3,zro2_120_formal,3,3,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,1.1941042688126626,23.242331749649217,0.0,-1.0,15.07365570526185,16.334839856016703,54.31845008075058,58.54814979471561,144.27509543674475,31.408495561278553,112.86659987546619,0.2260514192172326,0.0,0.0,0.0,0.6812499999999999,0.0,0.0,-1.5,-0.8187500000000001,12,False,False,False,False,fixed-domain_component,PASS,,REVIEW,4.961159041694568,PASS,0.6308915912970728,PASS,1.9253169955088705,PASS,0.14808422662907061,PASS,0.5590169943749482,17.471984132379472,7.3745125684606405,3.905124837953327,,
feasible_domain_independent_side_constrained_consensus,3,zro2_120_formal,4,4,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,4.464493187542853,1.6532683887309876,-0.25,-0.75,7.19860330761278,6.455793908243759,46.87019594342045,58.60067693777047,119.12527009704746,13.65439721585654,105.47087288119093,0.2146572289178757,0.0,0.25,0.18125000000000002,1.1124999999999998,-0.43125,-0.25,-1.18125,-0.06875000000000009,12,False,False,False,False,fixed-domain_component,PASS,,PASS,12.219082655393146,REVIEW,0.3789861142169866,PASS,2.6087882403158575,PASS,0.9077686779510795,PASS,0.3535533905932734,10.155611686369788,6.264425296518374,2.23606797749979,,
feasible_domain_independent_side_constrained_consensus,3,zro2_120_formal,5,5,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,-13.713091886177946,10.381420628553295,-0.75,-0.25,22.510754913063504,24.776215826143115,69.37713008350102,76.98356132173811,193.64766214444575,47.28697073920662,146.36069140523912,0.20356002290848413,0.125,0.0,1.1124999999999998,0.4312499999999999,-0.75,0.3624999999999998,-0.5,-0.06875000000000009,12,False,False,False,False,fixed-domain_component,PASS,,REVIEW,3.8040106056558263,PASS,0.6241405026854955,PASS,0.38019445287104137,PASS,0.22262435578906814,PASS,0.0,20.766748843947354,6.72309721305988,3.605551275463989,,
feasible_domain_independent_side_constrained_consensus,3,zro2_120_formal,6,6,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,-9.761742088907912,2.031732003044339,-1.75,0.0,2.1625393286120898,1.3397164759183335,25.438081037222187,31.218183939600532,60.15852078135314,3.5022558045304235,56.65626497682272,0.16904910280341026,0.25,0.125,0.5,0.5,-2.0,-1.5,0.0,0.5,12,False,False,False,False,fixed-domain_component,PASS,,REVIEW,14.53279633431344,STOP,4.696682879848437,STOP,7.696462074319006,STOP,0.2467317000276003,STOP,2.5124689052802234,5.3262871792857664,2.7374647017275584,4.6097722286464435,,
feasible_domain_independent_side_constrained_consensus,3,zro2_120_formal,7,7,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,-16.953601272223196,6.848840810648232,-1.0,-0.5,26.614404867578287,33.16865622800617,72.8430664625231,83.38088753894499,216.00701509705254,59.78306109558446,156.2239540014681,0.16534599500116517,0.25,0.0,1.1124999999999998,0.79375,-1.18125,-0.06875000000000009,-0.8625,-0.06875000000000009,12,False,False,False,False,fixed-domain_component,PASS,,PASS,6.131341478546331,REVIEW,0.5071961306120095,PASS,2.3126000116452174,REVIEW,0.2695939431406294,PASS,0.24999999999999853,32.94362423958741,6.540467153920149,2.0,,
feasible_domain_independent_side_constrained_consensus,3,zro2_120_formal,8,8,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,7.137102801262164,-5.861146280368575,-0.75,-1.25,9.141801087726996,7.458494018059174,65.45086722359467,68.8773855197753,150.92854784915613,16.60029510578617,134.32825274336997,0.1961542770257498,0.125,0.25,0.7937499999999997,0.9312499999999999,-1.0,-0.20625000000000027,-1.18125,-0.25,12,False,False,False,False,fixed-domain_component,PASS,,REVIEW,12.67264454752616,STOP,0.9986901480229906,STOP,2.5697622996956904,REVIEW,0.5514092113004341,PASS,1.346291201783627,13.31356336767402,6.557227186407554,3.0413812651491097,,
feasible_domain_independent_side_constrained_consensus,3,zro2_120_formal,9,9,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,15.399716464530355,6.318528520555541,-0.5,0.0,104.50435160323977,190.68628180782764,190.90685971492445,68.94194758654034,555.0394407125323,295.19063341106744,259.8488073014648,0.22781378117627868,0.0,0.25,0.0,1.0,-0.5,-0.5,-0.5,0.5,12,False,False,False,False,fixed-domain_component,PASS,,REVIEW,3.899628470399386,PASS,0.6597171148919639,PASS,1.546443837706424,PASS,0.6557723830646479,PASS,0.75,242.10025850571768,18.423793438149712,4.031128874149275,,
feasible_domain_independent_side_constrained_consensus,3,zro2_120_formal,10,10,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,12.27720318411487,3.7506214954080095,0.25,0.25,4.17123183482966,1.397763891070207,33.46385768087511,19.393901843716577,58.42675525049155,5.5689957258998675,52.857759524591685,0.20746691252321994,0.75,0.125,2.0,0.75,-1.75,0.25,-0.5,0.25,12,False,False,False,False,fixed-domain_component,PASS,,PASS,7.015866738775558,REVIEW,4.3826296672825755,PASS,6.512384009451942,PASS,6.480206523609869,PASS,7.750000000000001,19.56148692975407,2.5819889183754623,2.0,,
