dataset_index,session_id,sample_id,shared_height_source_id,session_role,component_id,base_family_key
0,zro2_120_formal,1,zro2_120_formal:m001,formal,4db5fedaca3a9977a840ef0a14e0a347ebf06f58add282691f9764d395c85c56,500|2|11|2
1,zro2_120_formal,2,zro2_120_formal:m002,formal,4158b4ed1d621be17c0f4c7cd25cc4fd5fe8c20a14d93a2ba34e39f37e99b6f2,500|2|9|4
2,zro2_120_formal,3,zro2_120_formal:m003,formal,b37df1aed4968aa8eb3314a64c3014ae9750b8208c938b6c286132a05cb70c01,500|2|7|6
3,zro2_120_formal,4,zro2_120_formal:m004,formal,18adeab07c66f0a6220f42b552e8f6371eec7998e00b068e57fe071ba3c10f72,500|2|9|8
4,zro2_120_formal,5,zro2_120_formal:m005,formal,20caa3962d19a1c914fd7e4ad138c3326e95fec7d73688d1d6b577885be05ce6,500|2|7|8
5,zro2_120_formal,6,zro2_120_formal:m006,formal,d878d557bd642809900e1cd2cbfa297663c19430f739151859fb0df411813932,500|2|7|10
6,zro2_120_formal,7,zro2_120_formal:m007,formal,59ab2c8a76e6cea570ab2bdbab7ec1c6b4a24bf5487ed181e33d3819c2dcf2f6,500|2|5|10
7,zro2_120_formal,8,zro2_120_formal:m008,formal,b81f1a89267dc027a918d7fdd21883843b646707941bd3c6b1588ddfa55e2354,500|2|11|10
8,zro2_120_formal,9,zro2_120_formal:m009,formal,5a8d034dc5bc855c8cc7167052b204006334cad601c697d737030b6cfbbeafac,500|10|3|2
9,zro2_120_formal,10,zro2_120_formal:m010,formal,7374ab8bcdc516fd8ff63f4e609f73f9064a59eb0114fa48fdd2554679d9a876,500|10|3|4
10,zro2_120_formal,11,zro2_120_formal:m011,formal,cb9be340a74e68176b7e3bd98e6f419817eaebc6abb8ea912bdbf7a5c5c10579,500|10|3|6
11,zro2_120_formal,12,zro2_120_formal:m012,formal,96862a41ec960ce1e9ac06b48dad2308ccd05ed8299c6010ee55bc2d7729a83b,500|10|11|8
12,zro2_120_formal,13,zro2_120_formal:m013,formal,0ab16dbb0eafab9ea903793e46df86153f53035cd04d0ae8f2ae7b57a528fb9c,500|10|7|8
13,zro2_120_formal,14,zro2_120_formal:m014,formal,f53192358bead2012e60074318af5f16d7b1dd6ebc9b1930f8b56ed817ac2f20,500|10|9|10
14,zro2_120_formal,15,zro2_120_formal:m015,formal,5d358d88eb01d2343e2814639067c269c27e39a1913ae399dbdce8aae7ccfc5a,500|50|7|8
15,zro2_120_formal,16,zro2_120_formal:m016,formal,8320198d6b750dba772a0e6acbad0f0e283bed44595fb3a4adb50c6d6af03770,500|50|11|8
16,zro2_120_formal,17,zro2_120_formal:m017,formal,87f152dade804f5b19b9d4681d676dc2747996a88f5f39ce329846617e1222ea,500|100|3|2
17,zro2_120_formal,18,zro2_120_formal:m018,formal,26611906f033b61bf220bf93ad35552a42e2ec4d6d54372da30f5a0f3bb7deec,500|100|9|4
18,zro2_120_formal,19,zro2_120_formal:m019,formal,02495b203f4e92e4d84d061078678dfd5ea9465249cd1858a9b84e7b7ffaaf24,500|100|11|4
19,zro2_120_formal,20,zro2_120_formal:m020,formal,ba76e90434e71d41c24161680085b4277285f7a175516149b86a70da126f2240,500|100|3|4
20,zro2_120_formal,21,zro2_120_formal:m021,formal,59923924a2a32b66894219e86e1fbcbbad735ec10b54c5d10adf485dddfe540f,500|100|3|6
21,zro2_120_formal,22,zro2_120_formal:m022,formal,3e82fb2a6944aaa8f9f1da3121bc0805ed614903c8e64509a2e7f66c19e70db5,500|100|11|6
22,zro2_120_formal,23,zro2_120_formal:m023,formal,8fd7101200e3b1cb67e396805be6ff4533f7aa6bb922fa7af059fad2c392f70e,500|200|3|8
23,zro2_120_formal,24,zro2_120_formal:m024,formal,1cc20ba113bb8c81584260fdfdb122fb5f8380ab4610533dedf6e7951b5dd601,500|200|11|10
24,zro2_120_formal,25,zro2_120_formal:m025,formal,f60df8a644040bd0be92f658adf4a27a588d9061d14c5f9eac373efd44410172,1000|2|7|2
25,zro2_120_formal,26,zro2_120_formal:m026,formal,29df981316e2ec1429a8852627cec65def69b5a421a66109aec528bf167f657a,1000|2|11|10
26,zro2_120_formal,27,zro2_120_formal:m027,formal,4f62a47e4f77d454946cedf270fdcc933224efa07a5240ce3b8562d1d19cf86c,1000|10|7|2
27,zro2_120_formal,28,zro2_120_formal:m028,formal,603622c1fc454d943e7bccc8cb062a41eee8581cbcad34ffeb7de56c13a625ca,1000|10|9|4
28,zro2_120_formal,29,zro2_120_formal:m029,formal,432bf64dffb15dc46bcf356604f79c43e0238dae3dca2dd01efd91c4d1703112,1000|10|7|4
29,zro2_120_formal,30,zro2_120_formal:m030,formal,a97bac9b2c736cc33758f16f5332b4e974ef6ef447181c619ab9ff02d88ffb89,1000|10|7|6
30,zro2_120_formal,31,zro2_120_formal:m031,formal,4f7fcbe1719005d11d07758bb4161ee87609b38be4446916dc57c94322330ae2,1000|10|9|8
31,zro2_120_formal,32,zro2_120_formal:m032,formal,cc255d9703401474177cd4c742d77bceb1d9a5aa17481d0048411b58ddf9c519,1000|50|3|4
32,zro2_120_formal,33,zro2_120_formal:m033,formal,052788fd2e1aceae61efd5c34e8e3d76de906357c39fe9b8ec5b8912aaae073e,1000|50|11|4
33,zro2_120_formal,34,zro2_120_formal:m034,formal,8602be088ade4aa03b97055e8634fedfb21f0b6554c53366ac0e3df4de389311,1000|50|3|6
34,zro2_120_formal,35,zro2_120_formal:m035,formal,49be816d3f38705a74dbb36266214c3e232f4efa1137b6dc5a33f7fff88a2412,1000|50|11|8
35,zro2_120_formal,36,zro2_120_formal:m036,formal,2408b1dc1a902affc49faba1eb1a7974a98411526f82e856c2cca0b9effe2a3a,1000|50|5|8
36,zro2_120_formal,37,zro2_120_formal:m037,formal,37b0c28a28a8f3eb013b209db4dc026e7a8b3642f5e16d25d836c7a5dacffa65,1000|50|11|10
37,zro2_120_formal,38,zro2_120_formal:m038,formal,3689c38f9947e8059b87ef5082c010ea4b8b73bef146601bda7f54d88d9986b5,1000|100|9|2
38,zro2_120_formal,39,zro2_120_formal:m039,formal,d73fc8da155734c1b9df67d55a45a97780a6633b3b0e61b3d61b3e01c3d4d5b8,1000|100|3|6
39,zro2_120_formal,40,zro2_120_formal:m040,formal,fa5882873103aa52140e4b087c0124ec6f5e29a6267b8238115a0afb2f7a75eb,1000|100|5|6
40,zro2_120_formal,41,zro2_120_formal:m041,formal,16cd7d03a922a4569cb1f5c8ec1269f8c4c0cc50a98c497a54784441eb27bc6d,1000|100|3|8
41,zro2_120_formal,42,zro2_120_formal:m042,formal,2eeaf71a116d44a24fd554fdc0a8fa13fb10e29ab498f0c725a08261101ea391,1000|100|9|10
42,zro2_120_formal,43,zro2_120_formal:m043,formal,6463d0644a2c1a7038a2068f8c6dd9a391c72f5ee724ae075755ce69054f72ff,1000|100|11|10
43,zro2_120_formal,44,zro2_120_formal:m044,formal,97cdbd709d1cdc651b15abf2347ee874b5a0f4bdddafd2fce6eeacaf576ceda5,1000|200|5|6
44,zro2_120_formal,45,zro2_120_formal:m045,formal,bfce9310f057ffd5a57ffbba380d69a6351ca7fe57b578a67c47b4662bdf52be,1000|200|7|6
45,zro2_120_formal,46,zro2_120_formal:m046,formal,f89410c437f281e05ca92c9f85a89bb4b5b41253d7122ca792e2e8d70d5f9db0,1000|200|11|8
46,zro2_120_formal,47,zro2_120_formal:m047,formal,5404563b0b3f1459042a691c0755a27284de48f249020910321075b3ec11a323,1000|200|9|10
47,zro2_120_formal,48,zro2_120_formal:m048,formal,fa552f7aaa7ae90649c3b52411645dad31e60160adc5de67bb0bf42a39f7cd24,1000|200|11|10
48,zro2_120_formal,49,zro2_120_formal:m049,formal,fa304c0f023238a6e791bd19b20de4880bc0fe3f0d1d849934c60a124f30d055,2000|2|9|6
49,zro2_120_formal,50,zro2_120_formal:m050,formal,fa304c0f023238a6e791bd19b20de4880bc0fe3f0d1d849934c60a124f30d055,2000|2|9|6
50,zro2_120_formal,51,zro2_120_formal:m051,formal,54bdf5810da02479bf93c59aa1b26120bfd5010a0a14423ffbfc4b6a74c3fdb9,2000|2|9|10
51,zro2_120_formal,52,zro2_120_formal:m052,formal,73473a287ae075daec030063466b079c19da048c94a811f5d919417d622c132b,2000|10|5|2
52,zro2_120_formal,53,zro2_120_formal:m053,formal,5ef7f13b66ec12b2261ca84d2486c42a88363c2a07c3f35200d58a57b0f44c42,2000|10|9|2
