dataset_index,max_abs_error_um,mask_equal
0,7.201792300293164e-07,True
1,4.768098236240803e-07,True
2,2.3840827179100188e-07,True
3,1.1920113784924524e-07,True
4,2.3841388507861438e-07,True
5,1.1913949737873963e-07,True
6,2.3841575469418785e-07,True
7,2.3828351558563554e-07,True
8,1.9073200050456762e-06,True
9,2.383958692675492e-07,True
10,1.9072229235916893e-06,True
11,9.536409528720924e-07,True
12,9.536329947934519e-07,True
13,4.768149715062009e-07,True
14,4.767195953547798e-07,True
15,1.9072378165674309e-06,True
16,1.907317994209734e-06,True
17,2.3841813057146055e-07,True
18,4.369575012930227e-07,True
19,3.814563086734779e-06,True
20,1.9072650090379284e-06,True
21,1.907320992700079e-06,True
22,3.814443033434145e-06,True
23,3.814611034158588e-06,True
24,9.535603595622888e-07,True
25,5.779806278027877e-08,True
26,1.9073331856134246e-06,True
27,4.768235655205899e-07,True
28,1.9071816836913058e-06,True
29,9.535536449334359e-07,True
30,4.768207020333648e-07,True
31,1.9073118195933603e-06,True
32,1.9071442167728492e-06,True
33,1.9072307679834921e-06,True
34,4.768052210835094e-07,True
35,1.9071828134542557e-06,True
36,1.907279425950037e-06,True
37,1.9072735213399028e-06,True
38,4.7381500500875973e-07,True
39,1.9072700965239164e-06,True
40,1.9072174950451881e-06,True
41,1.9073308195061145e-06,True
42,1.907267026979298e-06,True
43,1.9073459043283947e-06,True
44,1.9072956902732585e-06,True
45,1.9072751911153318e-06,True
46,1.9072475652137655e-06,True
47,1.9071367489686963e-06,True
48,1.1920589315650432e-07,True
49,1.1920552545063856e-07,True
50,1.1919293241291484e-07,True
51,1.9072632824190805e-06,True
52,9.536732363812916e-07,True
53,1.9073393033863795e-06,True
54,9.536487084460532e-07,True
55,1.907301424353136e-06,True
56,1.9071848385010526e-06,True
57,1.9073166726002455e-06,True
58,1.9073364398991544e-06,True
59,2.3834580531456595e-07,True
60,1.9071647443524853e-06,True
61,1.907347062513054e-06,True
62,1.9073365393751374e-06,True
63,1.907269648881993e-06,True
64,1.9073418116022367e-06,True
65,1.9070453589620229e-06,True
66,3.813076872916099e-06,True
67,3.814507607557971e-06,True
68,4.7633866095964095e-07,True
69,1.9073405752578765e-06,True
70,9.534894935825378e-07,True
71,1.9072945605103087e-06,True
72,9.536652498809417e-07,True
73,9.536063174664378e-07,True
74,1.0158962915340908e-07,True
75,4.768146109057625e-07,True
76,9.536301313062268e-07,True
77,2.3840468976743523e-07,True
78,4.768198138549451e-07,True
79,1.9071469523623819e-06,True
80,1.9072988663992874e-06,True
81,1.9072531216579591e-06,True
82,1.9073139867487043e-06,True
83,1.9071676220505651e-06,True
84,9.536377945096319e-07,True
85,4.764329393225353e-07,True
86,1.906909531612655e-06,True
87,9.536634379969655e-07,True
88,1.9072067800607329e-06,True
89,1.907269592038574e-06,True
90,1.9072570793809973e-06,True
91,9.536307956636847e-07,True
92,1.9073453714213429e-06,True
93,1.907316800497938e-06,True
94,1.9072539885200968e-06,True
95,1.9071912191748197e-06,True
96,9.536573521984337e-07,True
97,4.7683329640335614e-07,True
98,1.1918442988090305e-07,True
99,5.445404038795232e-08,True
100,2.3825775308239372e-07,True
101,1.1863489168817409e-07,True
102,1.1920452447355956e-07,True
103,1.907270622325541e-06,True
104,1.907102110010328e-06,True
105,4.767983003972631e-07,True
106,2.3839864127239707e-07,True
107,9.536522895814414e-07,True
108,2.3841726015660925e-07,True
109,1.9071783654567298e-06,True
110,1.907238711851278e-06,True
111,9.536681133681668e-07,True
112,1.9072923862495372e-06,True
113,1.9073247869982879e-06,True
114,1.9073306063432938e-06,True
115,1.9072511889817179e-06,True
116,4.6783529583649397e-07,True
117,4.7672809877497e-07,True
118,1.9072716881396445e-06,True
119,1.9072106738349248e-06,True
120,4.768296388846238e-07,True
121,4.768364139096093e-07,True
122,9.53642594225812e-07,True
123,9.536502645346445e-07,True
124,1.9072030568167975e-06,True
125,1.9073014740911276e-06,True
126,1.9072041084200464e-06,True
127,1.9072157897426223e-06,True
128,1.90732892235701e-06,True
129,1.9072071779646649e-06,True
130,4.768193981874447e-07,True
131,4.7681596626603096e-07,True
132,1.907344994833693e-06,True
133,1.9072617902793354e-06,True
134,1.9073257533364085e-06,True
135,1.907334564066332e-06,True
136,9.53614677001724e-07,True
137,9.536436991197661e-07,True
138,9.535958014339485e-07,True
139,1.9071753314392481e-06,True
140,2.3840559659760174e-07,True
141,1.907248886823254e-06,True
142,1.907264902456518e-06,True
143,1.907347062513054e-06,True
144,1.9072996977342882e-06,True
145,9.536061611470359e-07,True
146,1.907151784052985e-06,True
147,9.536661167430793e-07,True
148,9.536564569145867e-07,True
149,9.505536233689327e-07,True
150,1.9072741892500744e-06,True
